Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30967099,Cmax,Cmax and AUC0-∞ for MDA were 229 ± 39 (mean ± SD) and 3636 ± 958 µg/L for MDA and 92 ± 61 and 1544 ± 741 µg/L for the metabolite 4-hydroxy-3-methoxyamphetamine (HMA).,"Effects of the Psychedelic Amphetamine MDA (3,4-Methylenedioxyamphetamine) in Healthy Volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30967099/),[μg] / [l],229,7476,DB01454,"3,4-Methylenedioxymethamphetamine"
,30967099,Cmax,Cmax and AUC0-∞ for MDA were 229 ± 39 (mean ± SD) and 3636 ± 958 µg/L for MDA and 92 ± 61 and 1544 ± 741 µg/L for the metabolite 4-hydroxy-3-methoxyamphetamine (HMA).,"Effects of the Psychedelic Amphetamine MDA (3,4-Methylenedioxyamphetamine) in Healthy Volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30967099/),[μg] / [l],3636,7477,DB01454,"3,4-Methylenedioxymethamphetamine"
,30967099,Cmax,Cmax and AUC0-∞ for MDA were 229 ± 39 (mean ± SD) and 3636 ± 958 µg/L for MDA and 92 ± 61 and 1544 ± 741 µg/L for the metabolite 4-hydroxy-3-methoxyamphetamine (HMA).,"Effects of the Psychedelic Amphetamine MDA (3,4-Methylenedioxyamphetamine) in Healthy Volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30967099/),[μg] / [l],92,7478,DB01454,"3,4-Methylenedioxymethamphetamine"
,30967099,AUC0-∞,Cmax and AUC0-∞ for MDA were 229 ± 39 (mean ± SD) and 3636 ± 958 µg/L for MDA and 92 ± 61 and 1544 ± 741 µg/L for the metabolite 4-hydroxy-3-methoxyamphetamine (HMA).,"Effects of the Psychedelic Amphetamine MDA (3,4-Methylenedioxyamphetamine) in Healthy Volunteers. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30967099/),[μg] / [l],3636,7479,DB01454,"3,4-Methylenedioxymethamphetamine"
,30967099,AUC0-∞,Cmax and AUC0-∞ for MDA were 229 ± 39 (mean ± SD) and 3636 ± 958 µg/L for MDA and 92 ± 61 and 1544 ± 741 µg/L for the metabolite 4-hydroxy-3-methoxyamphetamine (HMA).,"Effects of the Psychedelic Amphetamine MDA (3,4-Methylenedioxyamphetamine) in Healthy Volunteers. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30967099/),[μg] / [l],1544,7480,DB01454,"3,4-Methylenedioxymethamphetamine"
,11471875,half-life,In one patient the 4-MTA concentration was determined in a series of plasma samples and this allowed a presumptive half-life of approximately 7 h to be estimated.,Analysis of 4-methylthioamphetamine in clinical specimens. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11471875/),h,7,23795,DB01454,"3,4-Methylenedioxymethamphetamine"
,24141857,Cmax,"After 2.5 mg/kg MDMA, mean MDMA Cmax was 164 ± 47.1 ng/ml, HHMA and HMMA were major metabolites, and <20% of MDMA was metabolized to MDA.","Nonlinear pharmacokinetics of (+/-)3,4-methylenedioxymethamphetamine (MDMA) and its pharmacodynamic consequences in the rat. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24141857/),[ng] / [ml],164,26137,DB01454,"3,4-Methylenedioxymethamphetamine"
,17080504,signal-to-noise ratio,The calibration curves prepared with 1-methyl-3-phenylpropylamine (MPPA) as an internal standard showed good linearity (r = 0.999) with 0.36-0.83 ng/mL detection limit at a signal-to-noise ratio of 3.,"A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17080504/),,3,29104,DB01454,"3,4-Methylenedioxymethamphetamine"
,17080504,C(max),"The pharmacokinetic parameters for MDMA and MDA obtained by triplicate measurements were 426 +/- 23 and 39 +/- 6 ng/mL (C(max)), 20 +/- 5 and 100 +/- 10 min (T(max)), respectively.","A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17080504/),[ng] / [ml],426,29105,DB01454,"3,4-Methylenedioxymethamphetamine"
,17080504,C(max),"The pharmacokinetic parameters for MDMA and MDA obtained by triplicate measurements were 426 +/- 23 and 39 +/- 6 ng/mL (C(max)), 20 +/- 5 and 100 +/- 10 min (T(max)), respectively.","A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17080504/),[ng] / [ml],39,29106,DB01454,"3,4-Methylenedioxymethamphetamine"
