Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12709720,time to reach peak concentration,"After a continuous subcutaneous infusion of 50 microg x kg(-1) x d(-1), abarelix concentrations peaked with the median observed time to reach peak concentration at approximately 28 days.","Pharmacokinetics and pharmacodynamics of abarelix, a gonadotropin-releasing hormone antagonist, after subcutaneous continuous infusion in patients with prostate cancer. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12709720/),d,28,152804,DB00106,Abarelix
,12709720,observed maximum plasma drug concentration,"The mean observed maximum plasma drug concentration and average plasma concentration were 56.1 and 48.6 ng/mL, respectively.","Pharmacokinetics and pharmacodynamics of abarelix, a gonadotropin-releasing hormone antagonist, after subcutaneous continuous infusion in patients with prostate cancer. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12709720/),[ng] / [ml],56.1,152805,DB00106,Abarelix
,12709720,average plasma concentration,"The mean observed maximum plasma drug concentration and average plasma concentration were 56.1 and 48.6 ng/mL, respectively.","Pharmacokinetics and pharmacodynamics of abarelix, a gonadotropin-releasing hormone antagonist, after subcutaneous continuous infusion in patients with prostate cancer. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12709720/),[ng] / [ml],48.6,152806,DB00106,Abarelix
,12709720,observed half-life,The mean observed half-life of abarelix was 10.0 days.,"Pharmacokinetics and pharmacodynamics of abarelix, a gonadotropin-releasing hormone antagonist, after subcutaneous continuous infusion in patients with prostate cancer. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12709720/),d,10.0,152807,DB00106,Abarelix
,12709720,50% inhibitory concentration,"The population pharmacodynamic estimates (percent coefficient of variation) of the 50% inhibitory concentration, maximum organ extraction ratio, and slope and sigmoidicity of the effect-concentration curve of abarelix to testosterone were 3.47 ng/mL (12.4%), 94.9 (1.3%), and 2.92 (16.2%), respectively.","Pharmacokinetics and pharmacodynamics of abarelix, a gonadotropin-releasing hormone antagonist, after subcutaneous continuous infusion in patients with prostate cancer. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12709720/),[ng] / [ml],3.47,152808,DB00106,Abarelix
,15102870,IC(50)s,"The mean IC(50)s of abarelix for T, DHT, FSH, and LH were 2.08, 3.42, 6.43, 4.25 ng/mL, respectively.","Pharmacokinetics and pharmacodynamics of a novel depot formulation of abarelix, a gonadotropin-releasing hormone (GnRH) antagonist, in healthy men ages 50 to 75. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102870/),[ng] / [ml],2.08,153078,DB00106,Abarelix
,15102870,IC(50)s,"The mean IC(50)s of abarelix for T, DHT, FSH, and LH were 2.08, 3.42, 6.43, 4.25 ng/mL, respectively.","Pharmacokinetics and pharmacodynamics of a novel depot formulation of abarelix, a gonadotropin-releasing hormone (GnRH) antagonist, in healthy men ages 50 to 75. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102870/),[ng] / [ml],3.42,153079,DB00106,Abarelix
,15102870,IC(50)s,"The mean IC(50)s of abarelix for T, DHT, FSH, and LH were 2.08, 3.42, 6.43, 4.25 ng/mL, respectively.","Pharmacokinetics and pharmacodynamics of a novel depot formulation of abarelix, a gonadotropin-releasing hormone (GnRH) antagonist, in healthy men ages 50 to 75. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102870/),[ng] / [ml],6.43,153080,DB00106,Abarelix
,15102870,IC(50)s,"The mean IC(50)s of abarelix for T, DHT, FSH, and LH were 2.08, 3.42, 6.43, 4.25 ng/mL, respectively.","Pharmacokinetics and pharmacodynamics of a novel depot formulation of abarelix, a gonadotropin-releasing hormone (GnRH) antagonist, in healthy men ages 50 to 75. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102870/),[ng] / [ml],4.25,153081,DB00106,Abarelix
,15102870,relative bioavailability,The mean relative bioavailability of the depot formulation in reference to the injectable solution was 0.52.,"Pharmacokinetics and pharmacodynamics of a novel depot formulation of abarelix, a gonadotropin-releasing hormone (GnRH) antagonist, in healthy men ages 50 to 75. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102870/),,0.52,153082,DB00106,Abarelix
