Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22282355,IC(100),"The median IC(100) and IC(50) to prolong collagen/adenosine diphosphate-induced closure timewere 27 nmol/L and 12 nmol/L, respectively.",ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),[nM] / [l],27,2423,DB00054,Abciximab
,22282355,IC(50),"The median IC(100) and IC(50) to prolong collagen/adenosine diphosphate-induced closure timewere 27 nmol/L and 12 nmol/L, respectively.",ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),[nM] / [l],27,2424,DB00054,Abciximab
,22282355,IC(50),"The median IC(100) and IC(50) to prolong collagen/adenosine diphosphate-induced closure timewere 27 nmol/L and 12 nmol/L, respectively.",ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),[nM] / [l],12,2425,DB00054,Abciximab
,22282355,terminal half-lives,"The IV and SC terminal half-lives in cynomolgus monkeys were 67 and 65 hours, respectively, and the SC bioavailability was ≈98%.",ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),h,67,2426,DB00054,Abciximab
,22282355,terminal half-lives,"The IV and SC terminal half-lives in cynomolgus monkeys were 67 and 65 hours, respectively, and the SC bioavailability was ≈98%.",ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),h,65,2427,DB00054,Abciximab
≈,22282355,bioavailability,"The IV and SC terminal half-lives in cynomolgus monkeys were 67 and 65 hours, respectively, and the SC bioavailability was ≈98%.",ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),%,98,2428,DB00054,Abciximab
,22282355,T(1/2),Allometric scaling estimates the human T(1/2) would be ≈217 hours.,ARC15105 is a potent antagonist of von Willebrand factor mediated platelet activation and adhesion. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282355/),h,217,2429,DB00054,Abciximab
,15317826,clearance,"Population PK estimates for clearance, central volume, and peripheral volume were 22.0 L/h, 11.0 L, and 13.0 L, respectively (coefficients of variation [CVs] </= 10%).",Pharmacokinetics and pharmacodynamics of argatroban in combination with a platelet glycoprotein IIB/IIIA receptor antagonist in patients undergoing percutaneous coronary intervention. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15317826/),[l] / [h],22.0,4975,DB00054,Abciximab
,15317826,central volume,"Population PK estimates for clearance, central volume, and peripheral volume were 22.0 L/h, 11.0 L, and 13.0 L, respectively (coefficients of variation [CVs] </= 10%).",Pharmacokinetics and pharmacodynamics of argatroban in combination with a platelet glycoprotein IIB/IIIA receptor antagonist in patients undergoing percutaneous coronary intervention. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15317826/),l,11.0,4976,DB00054,Abciximab
,15317826,peripheral volume,"Population PK estimates for clearance, central volume, and peripheral volume were 22.0 L/h, 11.0 L, and 13.0 L, respectively (coefficients of variation [CVs] </= 10%).",Pharmacokinetics and pharmacodynamics of argatroban in combination with a platelet glycoprotein IIB/IIIA receptor antagonist in patients undergoing percutaneous coronary intervention. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15317826/),l,13.0,4977,DB00054,Abciximab
