Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26139379,formation clearance,"The formation clearance of paracetamol-sulphate was 1.46 mL/min/kg(1.4), which was about 5.5 times higher than the formation clearance of the glucuronide of 0.266 mL/min/kg.",Developmental changes rather than repeated administration drive paracetamol glucuronidation in neonates and infants. ,CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26139379/),[ml] / [kg·min],1.46,141,DB00316,Acetaminophen
,26139379,formation clearance,"The formation clearance of paracetamol-sulphate was 1.46 mL/min/kg(1.4), which was about 5.5 times higher than the formation clearance of the glucuronide of 0.266 mL/min/kg.",Developmental changes rather than repeated administration drive paracetamol glucuronidation in neonates and infants. ,CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26139379/),[ml] / [kg·min],0.266,142,DB00316,Acetaminophen
,26139379,renal excretion rate constants,"The renal excretion rate constants of both metabolites was estimated to be 11.4 times higher than the excretion rate constant of unchanged paracetamol, yielding values of 0.580 mL/min/kg.",Developmental changes rather than repeated administration drive paracetamol glucuronidation in neonates and infants. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26139379/),[ml] / [kg·min],0.580,143,DB00316,Acetaminophen
,27537754,plasma Tmax,The median plasma Tmax in the 1 g IV group was 105 and 75 minutes earlier than in the 1 and 1.5 g oral groups.,Comparative Plasma and Cerebrospinal Fluid Pharmacokinetics of Paracetamol After Intravenous and Oral Administration. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27537754/),min,105,613,DB00316,Acetaminophen
,27537754,plasma Tmax,The median plasma Tmax in the 1 g IV group was 105 and 75 minutes earlier than in the 1 and 1.5 g oral groups.,Comparative Plasma and Cerebrospinal Fluid Pharmacokinetics of Paracetamol After Intravenous and Oral Administration. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27537754/),min,75,614,DB00316,Acetaminophen
,10991959,hepatic clearance,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ",CLH-Q25,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),[ml] / [min],10.4,727,DB00316,Acetaminophen
,10991959,apparent intrinsic clearance,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ",CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),[ml] / [min],94.1,728,DB00316,Acetaminophen
,10991959,hepatic extraction ratio,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ",EH-Q39,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),[ml] / [min],94.1,729,DB00316,Acetaminophen
,10991959,biliary excretion half-life,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),min,30.9,730,DB00316,Acetaminophen
,1134883,excretion rates,"Tweleve healthy 2- to 3-day-old full-term infants with plasma bilirubin concentrations of 1.0 to 11.6 mg/100 ml and D-glucaric acid excretion rates of 0.131 to 0.345 mg/kg/day received a single oral dose of acetaminophen, 12 mg/kg.",Pharmacokinetics of acetaminophen in the human neonate: formation of acetaminophen glucuronide and sulfate in relation to plasma bilirubin concentration and D-glucaric acid excretion. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1134883/),[mg] / [d·kg],0.131 to 0.345,731,DB00316,Acetaminophen
