Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27300254,half-life,"Erythrocyte sequestration (half-life = 50.2 ± 18.5 h, mean ± SD, n = 6), resulted in the acetazolamide microdose exhibiting a substantially longer plasma half-life (24.5 ± 5.6 hours, n = 10) than previously reported for therapeutic doses (3-6 hours).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,50.2,8778,DB00819,Acetazolamide
,27300254,plasma half-life,"Erythrocyte sequestration (half-life = 50.2 ± 18.5 h, mean ± SD, n = 6), resulted in the acetazolamide microdose exhibiting a substantially longer plasma half-life (24.5 ± 5.6 hours, n = 10) than previously reported for therapeutic doses (3-6 hours).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,24.5,8779,DB00819,Acetazolamide
,27300254,plasma half-life,"Erythrocyte sequestration (half-life = 50.2 ± 18.5 h, mean ± SD, n = 6), resulted in the acetazolamide microdose exhibiting a substantially longer plasma half-life (24.5 ± 5.6 hours, n = 10) than previously reported for therapeutic doses (3-6 hours).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,3-6,8780,DB00819,Acetazolamide
,27300254,half-life,"After cessation of dosing, the rate of urinary elimination decreased significantly (F3,23 = 247: P < 0.05, n = 6) in a predictable manner with low intersubject variability and a half-life of 16.1 ± 3.8 h (n = 10).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,16.1,8781,DB00819,Acetazolamide
,9029437,KI,"The data are well fitted into the equilibrium expression for KI of dorzolamide against CA II at 37 degrees C, as 8 x 10(-9) M.","Ocular absorption, blood levels, and excretion of dorzolamide, a topically active carbonic anhydrase inhibitor. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029437/),M,8 x 10(-9),10792,DB00819,Acetazolamide
,9029437,renal excretion,"At steady state, renal excretion was 1.3 mg/day and the renal clearance 90 ml/min.","Ocular absorption, blood levels, and excretion of dorzolamide, a topically active carbonic anhydrase inhibitor. ",FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029437/),[mg] / [d],1.3,10793,DB00819,Acetazolamide
,9029437,renal clearance,"At steady state, renal excretion was 1.3 mg/day and the renal clearance 90 ml/min.","Ocular absorption, blood levels, and excretion of dorzolamide, a topically active carbonic anhydrase inhibitor. ",CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029437/),[ml] / [min],90,10794,DB00819,Acetazolamide
,31778632,mass chloride excretion,"Furosemide caused a much greater increase in-urine output and much greater median mass chloride excretion (121.7 mmol [IQR, 81.1-144.6] v 23.3 mmol [IQR, 20.4-57.3]; P < 0.01) than acetazolamide.",A pilot randomised controlled trial evaluating the pharmacodynamic effects of furosemide versus acetazolamide in critically ill patients. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31778632/),mM,121.7,58352,DB00819,Acetazolamide
,31778632,mass chloride excretion,"Furosemide caused a much greater increase in-urine output and much greater median mass chloride excretion (121.7 mmol [IQR, 81.1-144.6] v 23.3 mmol [IQR, 20.4-57.3]; P < 0.01) than acetazolamide.",A pilot randomised controlled trial evaluating the pharmacodynamic effects of furosemide versus acetazolamide in critically ill patients. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31778632/),mM,23.3,58353,DB00819,Acetazolamide
,10951991,mean residence time,"After IV administration of acetazolamide, data analysis revealed a median mean residence time of 1.71 +/- 0.90 hours and median total body clearance of 263 +/- 38 ml/kg/h.",Pharmacokinetics of acetazolimide after intravenous and oral administration in horses. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10951991/),h,1.71,121901,DB00819,Acetazolamide
