Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10494785,t1/2alpha,Plasma half-life of thrombostatin had a t1/2alpha of 2.6 min and a t1/2beta of 24 min in rabbits.,Thrombostatin inhibits induced canine coronary thrombosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10494785/),min,2.6,4995,DB00945,Acetylsalicylic acid
,10494785,t1/2beta,Plasma half-life of thrombostatin had a t1/2alpha of 2.6 min and a t1/2beta of 24 min in rabbits.,Thrombostatin inhibits induced canine coronary thrombosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10494785/),min,24,4996,DB00945,Acetylsalicylic acid
,10494785,t1/2alpha,Ligating the renal arteries did not prolong clearance (t1/2alpha = 2.4 min; t1/2beta = 12 min).,Thrombostatin inhibits induced canine coronary thrombosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10494785/),min,2.4,4997,DB00945,Acetylsalicylic acid
,10494785,t1/2beta,Ligating the renal arteries did not prolong clearance (t1/2alpha = 2.4 min; t1/2beta = 12 min).,Thrombostatin inhibits induced canine coronary thrombosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10494785/),min,12,4998,DB00945,Acetylsalicylic acid
,23264940,flow rate,"The reconstituted samples were chromatographed on a Zorbax XDB Phenyl column by using a mixture of 0.2% acetic acid buffer, methanol, and acetonitrile (20:16:64, v/v) as the mobile phase at a flow rate of 0.8 mL/min.",Simultaneous Determination of Atorvastatin and Aspirin in Human Plasma by LC-MS/MS: Its Pharmacokinetic Application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23264940/),[ml] / [min],0.8,5160,DB00945,Acetylsalicylic acid
,23264940,run time,A run time of 3.0 min for each sample made it possible to analyze more than 300 human plasma samples per day.,Simultaneous Determination of Atorvastatin and Aspirin in Human Plasma by LC-MS/MS: Its Pharmacokinetic Application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23264940/),min,3.0,5161,DB00945,Acetylsalicylic acid
,9044241,recovery,"The recovery of ASA, SA and SUA was between 90-105%.","A highly sensitive HPLC method for the simultaneous determination of acetylsalicylic, salicylic and salicyluric acids in biologic fluids: pharmacokinetic, metabolic and monitoring implications. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9044241/),%,90-105,5501,DB00945,Acetylsalicylic acid
,23081668,total run time,The total run time was 3.00 min; the developed method was validated in human plasma with a lower limit of quantitation of 0.99 ng/mL for aspirin and 2.01 ng/mL for salicylic acid.,Low dose aspirin estimation: an application to a human pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23081668/),min,3.00,5709,DB00945,Acetylsalicylic acid
,23081668,total run time,The total run time was 3.00 min; the developed method was validated in human plasma with a lower limit of quantitation of 0.99 ng/mL for aspirin and 2.01 ng/mL for salicylic acid.,Low dose aspirin estimation: an application to a human pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23081668/),ng,2.01,5710,DB00945,Acetylsalicylic acid
,1261159,T1/2,"Tolmetin, a nonsteroidal anti-inflammatory drug, is rapidly absorbed (10 to 20 min) and rapidly excreted (T1/2 congruent to 60 min) and shows a linear dose-plasma level response in the therapeutic dose range.",Absorption and excretion of tolemetin in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1261159/),min,60,6105,DB00945,Acetylsalicylic acid
