Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,31145389,peak concentration (Cmax),Median peak concentration (Cmax) of free aflibercept in the aqueous was 122 mg/L.,PHARMACOKINETIC STUDY OF INTRAVITREAL AFLIBERCEPT IN HUMANS WITH NEOVASCULAR AGE-RELATED MACULAR DEGENERATION. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31145389/),[mg] / [l],122,11042,DB08885,Aflibercept
,31145389,half-life,The median half-life of free aflibercept was 11 days in the eye.,PHARMACOKINETIC STUDY OF INTRAVITREAL AFLIBERCEPT IN HUMANS WITH NEOVASCULAR AGE-RELATED MACULAR DEGENERATION. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31145389/),d,11,11043,DB08885,Aflibercept
,26305529,Initial mean concentration,Initial mean concentration of aflibercept was 305.4 ± 43.8 μg/mL and remained stable after the first injection with 0.8 ± 0.5 μg/mL.,Intraocular Pharmacokinetics of Aflibercept and Vascular Endothelial Growth Factor-A. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26305529/),[μg] / [ml],305.4,26461,DB08885,Aflibercept
,26305529,level of unbound VEGF-A,Initial mean level of unbound VEGF-A was 190.7 ± 26.9 pg/mL.,Intraocular Pharmacokinetics of Aflibercept and Vascular Endothelial Growth Factor-A. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26305529/),[pg] / [ml],190.7,26462,DB08885,Aflibercept
,25592118,half-life,"Estimated half-life of VEGF-Trap in vitreous, aqueous humor, and retinal/choroid was 87.1, 36.8, and 35.0 h, respectively, and estimated mean residence time was 125.7, 53.1, and 50.5 h, respectively.",Intraocular pharmacokinetics of intravitreal vascular endothelial growth factor-Trap in a rabbit model. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25592118/),h,87.1,30648,DB08885,Aflibercept
,25592118,half-life,"Estimated half-life of VEGF-Trap in vitreous, aqueous humor, and retinal/choroid was 87.1, 36.8, and 35.0 h, respectively, and estimated mean residence time was 125.7, 53.1, and 50.5 h, respectively.",Intraocular pharmacokinetics of intravitreal vascular endothelial growth factor-Trap in a rabbit model. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25592118/),h,36.8,30649,DB08885,Aflibercept
,25592118,half-life,"Estimated half-life of VEGF-Trap in vitreous, aqueous humor, and retinal/choroid was 87.1, 36.8, and 35.0 h, respectively, and estimated mean residence time was 125.7, 53.1, and 50.5 h, respectively.",Intraocular pharmacokinetics of intravitreal vascular endothelial growth factor-Trap in a rabbit model. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25592118/),h,35.0,30650,DB08885,Aflibercept
,25592118,mean residence time,"Estimated half-life of VEGF-Trap in vitreous, aqueous humor, and retinal/choroid was 87.1, 36.8, and 35.0 h, respectively, and estimated mean residence time was 125.7, 53.1, and 50.5 h, respectively.",Intraocular pharmacokinetics of intravitreal vascular endothelial growth factor-Trap in a rabbit model. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25592118/),h,125.7,30651,DB08885,Aflibercept
,25592118,mean residence time,"Estimated half-life of VEGF-Trap in vitreous, aqueous humor, and retinal/choroid was 87.1, 36.8, and 35.0 h, respectively, and estimated mean residence time was 125.7, 53.1, and 50.5 h, respectively.",Intraocular pharmacokinetics of intravitreal vascular endothelial growth factor-Trap in a rabbit model. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25592118/),h,53.1,30652,DB08885,Aflibercept
,25592118,mean residence time,"Estimated half-life of VEGF-Trap in vitreous, aqueous humor, and retinal/choroid was 87.1, 36.8, and 35.0 h, respectively, and estimated mean residence time was 125.7, 53.1, and 50.5 h, respectively.",Intraocular pharmacokinetics of intravitreal vascular endothelial growth factor-Trap in a rabbit model. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25592118/),h,50.5,30653,DB08885,Aflibercept
