Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22282085,overall recovery,"The overall recovery for agomelatine and fluoxetine was 67.10% and 72.96%, respectively.",Validated LC-MS/MS method for quantification of agomelatine in human plasma and its application in a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282085/),%,67.10,31458,DB06594,Agomelatine
,22282085,overall recovery,"The overall recovery for agomelatine and fluoxetine was 67.10% and 72.96%, respectively.",Validated LC-MS/MS method for quantification of agomelatine in human plasma and its application in a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22282085/),%,72.96,31459,DB06594,Agomelatine
,28684900,zeta potential,"The optimum solid lipid nanoparticles have a particle size of 167.70 nm ±0.42, zeta potential of -17.90 mV ±2.70, polydispersity index of 0.12±0.10, entrapment efficiency % of 91.25%±1.70%, the percentage released after 1 h of 35.40%±1.13% and the percentage released after 8 h of 80.87%±5.16%.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),mv,-,36808,DB06594,Agomelatine
,28684900,zeta potential,"The optimum solid lipid nanoparticles have a particle size of 167.70 nm ±0.42, zeta potential of -17.90 mV ±2.70, polydispersity index of 0.12±0.10, entrapment efficiency % of 91.25%±1.70%, the percentage released after 1 h of 35.40%±1.13% and the percentage released after 8 h of 80.87%±5.16%.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),mv,17.90,36809,DB06594,Agomelatine
,28684900,polydispersity index,"The optimum solid lipid nanoparticles have a particle size of 167.70 nm ±0.42, zeta potential of -17.90 mV ±2.70, polydispersity index of 0.12±0.10, entrapment efficiency % of 91.25%±1.70%, the percentage released after 1 h of 35.40%±1.13% and the percentage released after 8 h of 80.87%±5.16%.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),,0.12,36810,DB06594,Agomelatine
,28684900,entrapment efficiency %,"The optimum solid lipid nanoparticles have a particle size of 167.70 nm ±0.42, zeta potential of -17.90 mV ±2.70, polydispersity index of 0.12±0.10, entrapment efficiency % of 91.25%±1.70%, the percentage released after 1 h of 35.40%±1.13% and the percentage released after 8 h of 80.87%±5.16%.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),%,91.25,36811,DB06594,Agomelatine
,28684900,percentage released,"The optimum solid lipid nanoparticles have a particle size of 167.70 nm ±0.42, zeta potential of -17.90 mV ±2.70, polydispersity index of 0.12±0.10, entrapment efficiency % of 91.25%±1.70%, the percentage released after 1 h of 35.40%±1.13% and the percentage released after 8 h of 80.87%±5.16%.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),%,35.40,36812,DB06594,Agomelatine
,28684900,percentage released,"The optimum solid lipid nanoparticles have a particle size of 167.70 nm ±0.42, zeta potential of -17.90 mV ±2.70, polydispersity index of 0.12±0.10, entrapment efficiency % of 91.25%±1.70%, the percentage released after 1 h of 35.40%±1.13% and the percentage released after 8 h of 80.87%±5.16%.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),%,80.87,36813,DB06594,Agomelatine
,28684900,AUC(0-360 min),"The pharmacokinetic study of the optimized solid lipid nanoparticles revealed a significant increase in each of the plasma peak concentration, the AUC(0-360 min) and the absolute bioavailability compared to that of the oral suspension of Valdoxan® with the values of 759.00 ng/mL, 7,805.69 ng⋅min/mL and 44.44%, respectively.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),[min·ng] / [ml],"7,805.69",36814,DB06594,Agomelatine
,28684900,absolute bioavailability,"The pharmacokinetic study of the optimized solid lipid nanoparticles revealed a significant increase in each of the plasma peak concentration, the AUC(0-360 min) and the absolute bioavailability compared to that of the oral suspension of Valdoxan® with the values of 759.00 ng/mL, 7,805.69 ng⋅min/mL and 44.44%, respectively.","Intranasal agomelatine solid lipid nanoparticles to enhance brain delivery: formulation, optimization and in vivo pharmacokinetics. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28684900/),%,44.44,36815,DB06594,Agomelatine
