Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3609075,clearance,"In 8 patients with normal function of the liver and the kidneys, the median clearance of N-PAB was 6.86 ml/min/kg and the median volume of distribution was 1.56 l/kg.",Pharmacokinetics of n-propyl-ajmaline-bitartrate in elderly patients with ventricular ectopic activity. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3609075/),[ml] / [kg·min],6.86,16372,DB01426,Ajmaline
,3609075,volume of distribution,"In 8 patients with normal function of the liver and the kidneys, the median clearance of N-PAB was 6.86 ml/min/kg and the median volume of distribution was 1.56 l/kg.",Pharmacokinetics of n-propyl-ajmaline-bitartrate in elderly patients with ventricular ectopic activity. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3609075/),[l] / [kg],1.56,16373,DB01426,Ajmaline
,3609075,clearance,Two patients had a clearly diminished clearance of 1.58 ml/min/kg without obvious impairment of liver or renal function.,Pharmacokinetics of n-propyl-ajmaline-bitartrate in elderly patients with ventricular ectopic activity. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3609075/),[ml] / [kg·min],1.58,16374,DB01426,Ajmaline
,3609075,clearance,One patient with chronic glomerulonephritis (plasma creatinine 3.4 mg/dl) had a N-PAB clearance of 2.79 ml/min/kg.,Pharmacokinetics of n-propyl-ajmaline-bitartrate in elderly patients with ventricular ectopic activity. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3609075/),[ml] / [kg·min],2.79,16375,DB01426,Ajmaline
,11428656,availability,"The availability of ajmaline in control rats was 16.7%, whereas the availability was increased to 41.1% in rats with renal dysfunction.",Effect of experimental renal dysfunction on bioavailability of ajmaline in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11428656/),%,16.7,37669,DB01426,Ajmaline
,11428656,availability,"The availability of ajmaline in control rats was 16.7%, whereas the availability was increased to 41.1% in rats with renal dysfunction.",Effect of experimental renal dysfunction on bioavailability of ajmaline in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11428656/),%,41.1,37670,DB01426,Ajmaline
,6144760,peak concentration,Quinidine induced a marked increase to give a mean peak concentration of ajmaline which increased from 0.018 micrograms ml-1 after a single administration to 0.141 micrograms ml-1 in combination with quinidine.,Quinidine-induced rise in ajmaline plasma concentration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6144760/),[μg] / [ml],0.018,59095,DB01426,Ajmaline
,6144760,peak concentration,Quinidine induced a marked increase to give a mean peak concentration of ajmaline which increased from 0.018 micrograms ml-1 after a single administration to 0.141 micrograms ml-1 in combination with quinidine.,Quinidine-induced rise in ajmaline plasma concentration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6144760/),[μg] / [ml],0.141,59096,DB01426,Ajmaline
,2924068,steady state distribution volume,The steady state distribution volume of ajmaline decreased from 4.81 l kg-1 in control rats to 3.80 l kg-1 in hyperthyroid rats and the total body blood clearance was slightly higher in hyperthyroid rats than in control rats.,Pharmacokinetics and dromotropic activity of ajmaline in rats with hyperthyroidism. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2924068/),[l] / [kg],4.81,65240,DB01426,Ajmaline
,2924068,steady state distribution volume,The steady state distribution volume of ajmaline decreased from 4.81 l kg-1 in control rats to 3.80 l kg-1 in hyperthyroid rats and the total body blood clearance was slightly higher in hyperthyroid rats than in control rats.,Pharmacokinetics and dromotropic activity of ajmaline in rats with hyperthyroidism. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2924068/),[l] / [kg],3.80,65241,DB01426,Ajmaline
,882146,t0.5alpha,A rapid distribution phase with a t0.5alpha of 3.0 min for ajmaline and 2.5 min for quindine was followed by a disposition phase with a t0.5beta of 16 min for ajmaline and 20 min for quinidine.,The pharmacokinetics and organ distribution of ajmaline and quindine in the mouse. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/882146/),min,3.0,67998,DB01426,Ajmaline
,882146,t0.5alpha,A rapid distribution phase with a t0.5alpha of 3.0 min for ajmaline and 2.5 min for quindine was followed by a disposition phase with a t0.5beta of 16 min for ajmaline and 20 min for quinidine.,The pharmacokinetics and organ distribution of ajmaline and quindine in the mouse. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/882146/),min,2.5,67999,DB01426,Ajmaline
,882146,t0.5beta,A rapid distribution phase with a t0.5alpha of 3.0 min for ajmaline and 2.5 min for quindine was followed by a disposition phase with a t0.5beta of 16 min for ajmaline and 20 min for quinidine.,The pharmacokinetics and organ distribution of ajmaline and quindine in the mouse. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/882146/),min,16,68000,DB01426,Ajmaline
