Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11863282,total run time,The total run time was 21 min.,Determination of alendronate in human urine as 9-fluorenylmethyl derivative by high-performance liquid chromatography. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11863282/),min,21,32868,DB00630,Alendronate
,22002562,total run time,The total run time was 6.5 min.,Trimethylsilyldiazomethane derivatization coupled with solid-phase extraction for the determination of alendronate in human plasma by LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22002562/),min,6.5,43014,DB00630,Alendronate
,7554702,oral bioavailability,"In women, oral bioavailability of alendronate was independent of dose (5 to 80 mg) and averaged (90% confidence interval) 0.76% (0.58, 0.98) when taken with water in the fasting state, followed by a meal 2 hours later.",Studies of the oral bioavailability of alendronate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7554702/),%,0.76,47621,DB00630,Alendronate
,7554702,Bioavailability,"Bioavailability was similar in men [0.59%, (0.43, 0.81)].",Studies of the oral bioavailability of alendronate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7554702/),%,0.59,47622,DB00630,Alendronate
,7554702,bioavailability,"Black coffee or orange juice alone, when taken with the drug, also reduced bioavailability (approximately 60%).",Studies of the oral bioavailability of alendronate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7554702/),%,60,47623,DB00630,Alendronate
,1686238,terminal half-life,The terminal half-life of alendronate in bone was about 200 days for the rat.,"Physiological disposition of alendronate, a potent anti-osteolytic bisphosphonate, in laboratory animals. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1686238/),d,200,47951,DB00630,Alendronate
,1686238,terminal half-life,"Based on urinary excretion, the terminal half-life was estimated to be about 1000 days for the dog.","Physiological disposition of alendronate, a potent anti-osteolytic bisphosphonate, in laboratory animals. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1686238/),d,1000,47952,DB00630,Alendronate
less,12669737,oral bioavailability,"Alendronate, like all bisphosphonates, is absorbed poorly in animals and humans; oral bioavailability is less than 2% in all species studied, including humans.",Pharmacokinetics of alendronate: an overview. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12669737/),%,2,58894,DB00630,Alendronate
,12669737,urinary recovery,"Renal excretion is the only route of elimination, and urinary recovery is similar among species, ranging from 30% to 50% in a 24-hour collection period.",Pharmacokinetics of alendronate: an overview. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12669737/),%,30,58895,DB00630,Alendronate
,12669737,urinary recovery,"Renal excretion is the only route of elimination, and urinary recovery is similar among species, ranging from 30% to 50% in a 24-hour collection period.",Pharmacokinetics of alendronate: an overview. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12669737/),%,50,58896,DB00630,Alendronate
,23886303,peak plasma alendronate concentration,A peak plasma alendronate concentration of 33.10 ± 14.32 ng/mL was attained after 1.00 ± 0.16 h.,A simple pharmacokinetic model of alendronate developed using plasma concentration and urine excretion data from healthy men. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23886303/),[ng] / [ml],33.10,59489,DB00630,Alendronate
,23886303,excre,"The cumulative amount of alendronate excreted in urine and peak excretion rate were 731.28 ± 654.57 μg and 314.68 ± 395.43 μg/h, respectively.",A simple pharmacokinetic model of alendronate developed using plasma concentration and urine excretion data from healthy men. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23886303/),μg,731.28,59490,DB00630,Alendronate
,23886303,peak excretion rate,"The cumulative amount of alendronate excreted in urine and peak excretion rate were 731.28 ± 654.57 μg and 314.68 ± 395.43 μg/h, respectively.",A simple pharmacokinetic model of alendronate developed using plasma concentration and urine excretion data from healthy men. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23886303/),[μg] / [h],314.68,59491,DB00630,Alendronate
,23886303,absorption rate constant,The absorption rate constant was 2.68 ± 0.95 h(-1).,A simple pharmacokinetic model of alendronate developed using plasma concentration and urine excretion data from healthy men. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23886303/),1/[h],2.68,59492,DB00630,Alendronate
,23886303,elimination rate constants Kurine,"The elimination rate constants Kurine and Knon-ur were 0.005 ± 0.004 h(-1) and 0.42 ± 0.08 h(-1), respectively.",A simple pharmacokinetic model of alendronate developed using plasma concentration and urine excretion data from healthy men. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23886303/),1/[h],0.005,59493,DB00630,Alendronate
,23886303,Knon-ur,"The elimination rate constants Kurine and Knon-ur were 0.005 ± 0.004 h(-1) and 0.42 ± 0.08 h(-1), respectively.",A simple pharmacokinetic model of alendronate developed using plasma concentration and urine excretion data from healthy men. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23886303/),1/[h],0.42,59494,DB00630,Alendronate
,8070316,"apparent uptake clearance (CL,up)","Following intravenous administration (0.8 or 1 mg/kg), the apparent uptake clearance (CL,up) by tibia in dogs and rats was approximately 0.075 and 0.18 ml/min/g bone tissue, respectively.",Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),[ml] / [bone·g·min·tissue],0.075,66215,DB00630,Alendronate
,8070316,"apparent uptake clearance (CL,up)","Following intravenous administration (0.8 or 1 mg/kg), the apparent uptake clearance (CL,up) by tibia in dogs and rats was approximately 0.075 and 0.18 ml/min/g bone tissue, respectively.",Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),[ml] / [bone·g·min·tissue],0.18,66216,DB00630,Alendronate
,8070316,unbound fraction,The unbound fraction of alendronate was approximately 0.03 for the rat and 0.53 for the dog.,Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),,0.03,66217,DB00630,Alendronate
,8070316,unbound fraction,The unbound fraction of alendronate was approximately 0.03 for the rat and 0.53 for the dog.,Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),,0.53,66218,DB00630,Alendronate
,8070316,Plasma flow,"Plasma flow to the tibia of dogs and rats is reported to be approximately 0.09 and 0.25 ml/min/g, respectively.",Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,Q-Q54,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),[ml] / [g·min],0.09,66219,DB00630,Alendronate
,8070316,Plasma flow,"Plasma flow to the tibia of dogs and rats is reported to be approximately 0.09 and 0.25 ml/min/g, respectively.",Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,Q-Q54,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),[ml] / [g·min],0.25,66220,DB00630,Alendronate
,8070316,CLin,"By applying the equation, the CLin was estimated to be approximately 10 ml/min/g for the rat and 0.3 ml/min/g for the dog.",Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),[ml] / [g·min],10,66221,DB00630,Alendronate
,8070316,CLin,"By applying the equation, the CLin was estimated to be approximately 10 ml/min/g for the rat and 0.3 ml/min/g for the dog.",Nonlinear kinetics of alendronate. Plasma protein binding and bone uptake. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8070316/),[ml] / [g·min],0.3,66222,DB00630,Alendronate
,19591131,maximum plasma concentration (C(max)),"Following the oral administration of 70 mg alendronate sodium to beagle dogs, the maximum plasma concentration (C(max)) and elimination half-life were 152 +/- 27.3 and 1.75 +/- 0.267 h, respectively.",A simple and rapid high-performance liquid chromatography method for determination of alendronate sodium in beagle dog plasma with application to preclinical pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19591131/),h,152,72060,DB00630,Alendronate
,19591131,elimination half-life,"Following the oral administration of 70 mg alendronate sodium to beagle dogs, the maximum plasma concentration (C(max)) and elimination half-life were 152 +/- 27.3 and 1.75 +/- 0.267 h, respectively.",A simple and rapid high-performance liquid chromatography method for determination of alendronate sodium in beagle dog plasma with application to preclinical pharmacokinetic study. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/19591131/),h,1.75,72061,DB00630,Alendronate
,10384857,Oral bioavailability,"Oral bioavailability is about 0.9 to 1.8%, and food markedly inhibits oral absorption.",Pharmacokinetics of alendronate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10384857/),%,0.9 to 1.8,78906,DB00630,Alendronate
,10384857,oral bioavailability,"The oral bioavailability of alendronate in the fasted state is about 0.7%, with no significant difference between men and women.",Pharmacokinetics of alendronate. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10384857/),%,0.7,78907,DB00630,Alendronate
greater,8298197,terminal half-life,The terminal half-life was estimated to be greater than 10 years.,Clinical pharmacology of alendronate sodium. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8298197/),years,10,94336,DB00630,Alendronate
,8298197,oral bioavailability,"When taken after an overnight fast, 2 h before breakfast, the oral bioavailability of alendronate averages approximately 0.75% of dose with substantial variability (coefficient of variation 55%-75%) both between and within subjects.",Clinical pharmacology of alendronate sodium. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8298197/),%,0.75,94337,DB00630,Alendronate
,20214414,Ae(infinity),"The highest Ae(infinity) (1267.7+/-65.2 ng) was found in the formulation containing 6% caprylic acid in propylene glycol (PG), which was 5.4- and 2.0-times higher than the PG only formulation and oral administration, respectively.",Pharmacokinetic characteristics of formulated alendronate transdermal delivery systems in rats and humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20214414/),ng,1267.7,102224,DB00630,Alendronate
,20214414,Ae(infinity),"The Ae(infinity) values from the transdermal delivery system containing 6% caprylic acid (53.8 mg as alendronate) and an oral product (Fosamax), 70 mg as alendronate) in humans were 127.0 +/- 34.2 microg and 237.2 +/- 56.3 microg, respectively.",Pharmacokinetic characteristics of formulated alendronate transdermal delivery systems in rats and humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20214414/),μg,127.0,102225,DB00630,Alendronate
,20214414,Ae(infinity),"The Ae(infinity) values from the transdermal delivery system containing 6% caprylic acid (53.8 mg as alendronate) and an oral product (Fosamax), 70 mg as alendronate) in humans were 127.0 +/- 34.2 microg and 237.2 +/- 56.3 microg, respectively.",Pharmacokinetic characteristics of formulated alendronate transdermal delivery systems in rats and humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20214414/),μg,237.2,102226,DB00630,Alendronate
,20214414,relative Ae(infinity) ratio,The dose-adjusted relative Ae(infinity) ratio of the transdermal delivery system to oral product was calculated to be 69.7%.,Pharmacokinetic characteristics of formulated alendronate transdermal delivery systems in rats and humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20214414/),,69.,102227,DB00630,Alendronate
,20214414,half-life,"The long half-life of alendronate in the transdermal delivery system (50.6 +/- 6.4 h), compared to that of the oral product (3.5 +/- 1.1 h) could allow less-frequent dosing.",Pharmacokinetic characteristics of formulated alendronate transdermal delivery systems in rats and humans. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20214414/),h,50.6,102228,DB00630,Alendronate
,20214414,half-life,"The long half-life of alendronate in the transdermal delivery system (50.6 +/- 6.4 h), compared to that of the oral product (3.5 +/- 1.1 h) could allow less-frequent dosing.",Pharmacokinetic characteristics of formulated alendronate transdermal delivery systems in rats and humans. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20214414/),h,3.5,102229,DB00630,Alendronate
,23681426,peak (Umax),"The peak (Umax) and the average (Uave) urinary excretion rate of alendronate and the time to reach Umax (Tmax) were 2.94 μg/h, 0.901 μg/h and 6.77 h, respectively.",Improved dosage form of the combined alendronate and calcitriol (Maxmarvil®) on the absorption of alendronate in Korean postmenopausal women. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23681426/),[μg] / [h],2.94,109602,DB00630,Alendronate
,23681426,Uave,"The peak (Umax) and the average (Uave) urinary excretion rate of alendronate and the time to reach Umax (Tmax) were 2.94 μg/h, 0.901 μg/h and 6.77 h, respectively.",Improved dosage form of the combined alendronate and calcitriol (Maxmarvil®) on the absorption of alendronate in Korean postmenopausal women. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23681426/),[μg] / [h],2.94,109603,DB00630,Alendronate
,23681426,urinary excretion rate,"The peak (Umax) and the average (Uave) urinary excretion rate of alendronate and the time to reach Umax (Tmax) were 2.94 μg/h, 0.901 μg/h and 6.77 h, respectively.",Improved dosage form of the combined alendronate and calcitriol (Maxmarvil®) on the absorption of alendronate in Korean postmenopausal women. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23681426/),[μg] / [h],2.94,109604,DB00630,Alendronate
