Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21342321,PTH,The patients who achieved target PTH of 16-32 pmol/L were 82% in the calcitriol and 67% in the alfacalcidol group (P = 0.44).,Randomized trial comparing pulse calcitriol and alfacalcidol for the treatment of secondary hyperparathyroidism in haemodialysis patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21342321/),[pM] / [l],16-32,94563,DB01436,Alfacalcidol
,10705507,specific radioactivity,"[22,23-(3)H4]1 alpha OHD3 (5) showed high specific radioactivity (111.5 Ci/mmol) and was used successfully in pharmacokinetics studies with rats.",Synthesis and pharmacokinetics of 1 alpha-hydroxyvitamin D3 tritiated at 22 and 23 positions showing high specific radioactivity. ,Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10705507/),[ci] / [mM],111.5,141974,DB01436,Alfacalcidol
,11981071,bioavailability,"After oral administration of 1,25(OH)(2)D(3) the bioavailability of 1,25(OH)(2)D(3) was 70.6+/-5.8/72.2+/-4.8% in healthy volunteers/uraemic patients (n.s.).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),%,70.6,154805,DB01436,Alfacalcidol
,11981071,bioavailability,"After oral administration of 1,25(OH)(2)D(3) the bioavailability of 1,25(OH)(2)D(3) was 70.6+/-5.8/72.2+/-4.8% in healthy volunteers/uraemic patients (n.s.).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),%,72.2,154806,DB01436,Alfacalcidol
,11981071,volume of distribution,"After i.v. administration the volume of distribution of 1,25(OH)(2)D(3) was similar, 0.49+/-0.14 vs 0.27+/-0.06 l/kg in healthy volunteers vs uraemic patients (n.s.), while the metabolic clearance rate of 1,25(OH)(2)D(3) was 57% lower in the uraemic patients, 23.5+/-4.34 vs 10.1+/-1.35 ml/min in healthy volunteers vs uraemic patients, respectively (P<0.03).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),[l] / [kg],0.49,154807,DB01436,Alfacalcidol
,11981071,volume of distribution,"After i.v. administration the volume of distribution of 1,25(OH)(2)D(3) was similar, 0.49+/-0.14 vs 0.27+/-0.06 l/kg in healthy volunteers vs uraemic patients (n.s.), while the metabolic clearance rate of 1,25(OH)(2)D(3) was 57% lower in the uraemic patients, 23.5+/-4.34 vs 10.1+/-1.35 ml/min in healthy volunteers vs uraemic patients, respectively (P<0.03).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),[l] / [kg],0.27,154808,DB01436,Alfacalcidol
,11981071,metabolic clearance rate,"After i.v. administration the volume of distribution of 1,25(OH)(2)D(3) was similar, 0.49+/-0.14 vs 0.27+/-0.06 l/kg in healthy volunteers vs uraemic patients (n.s.), while the metabolic clearance rate of 1,25(OH)(2)D(3) was 57% lower in the uraemic patients, 23.5+/-4.34 vs 10.1+/-1.35 ml/min in healthy volunteers vs uraemic patients, respectively (P<0.03).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),[ml] / [min],23.5,154809,DB01436,Alfacalcidol
,11981071,metabolic clearance rate,"After i.v. administration the volume of distribution of 1,25(OH)(2)D(3) was similar, 0.49+/-0.14 vs 0.27+/-0.06 l/kg in healthy volunteers vs uraemic patients (n.s.), while the metabolic clearance rate of 1,25(OH)(2)D(3) was 57% lower in the uraemic patients, 23.5+/-4.34 vs 10.1+/-1.35 ml/min in healthy volunteers vs uraemic patients, respectively (P<0.03).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),[ml] / [min],10.1,154810,DB01436,Alfacalcidol
,11981071,bioavailability,"The bioavailability of 1,25(OH)(2)D(3) after i.v. administration of 1alpha(OH)D(3) was 42.4+/-11.0/42.0+/-2.0% in healthy volunteers/uraemic patients (n.s.); and after oral administration of 1alpha(OH)D(3) 42.0+/-2.0/29.8+/-3.1% in healthy volunteers/uraemic patients (n.s.).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),%,42.4,154811,DB01436,Alfacalcidol
,11981071,bioavailability,"The bioavailability of 1,25(OH)(2)D(3) after i.v. administration of 1alpha(OH)D(3) was 42.4+/-11.0/42.0+/-2.0% in healthy volunteers/uraemic patients (n.s.); and after oral administration of 1alpha(OH)D(3) 42.0+/-2.0/29.8+/-3.1% in healthy volunteers/uraemic patients (n.s.).","Pharmacokinetics of 1,25(OH)(2)D(3) and 1alpha(OH)D(3) in normal and uraemic men. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11981071/),%,42.0,154812,DB01436,Alfacalcidol
