Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3927954,duration of adequate analgesia,"Maximum pain relief developed within 10-15 min and the average duration of adequate analgesia was 78 min with the lower dose and 45 min with the higher dose, but this difference was not statistically significant.",Clinical assessment and plasma pharmacokinetics associated with intramuscular or extradural alfentanil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3927954/),min,78,5386,DB00802,Alfentanil
,3927954,duration of adequate analgesia,"Maximum pain relief developed within 10-15 min and the average duration of adequate analgesia was 78 min with the lower dose and 45 min with the higher dose, but this difference was not statistically significant.",Clinical assessment and plasma pharmacokinetics associated with intramuscular or extradural alfentanil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3927954/),min,45,5387,DB00802,Alfentanil
,15581380,half-time,"By virtue of these distinctive pharmacokinetic properties, the context-sensitive half-time (i.e. the time required for the drug's plasma concentration to decrease by 50% after cessation of an infusion) of remifentanil remains consistently short (3.2 minutes), even following an infusion of long duration (> or =8 hours).",Remifentanil update: clinical science and utility. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15581380/),min,3.2,6722,DB00802,Alfentanil
,1923912,total-body clearance,"Noncompartmental pharmacokinetic analysis of the data revealed the following estimates (mean +/- SD): total-body clearance 3.24 +/- 2.23 ml/kg/minute, volume of distribution 0.54 +/- 0.21 L/kg, and elimination half-life 4.14 +/- 2.58 hours.",The disposition of alfentanil in neonates with respiratory distress. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1923912/),[ml] / [kg·min],3.24,8481,DB00802,Alfentanil
,1923912,volume of distribution,"Noncompartmental pharmacokinetic analysis of the data revealed the following estimates (mean +/- SD): total-body clearance 3.24 +/- 2.23 ml/kg/minute, volume of distribution 0.54 +/- 0.21 L/kg, and elimination half-life 4.14 +/- 2.58 hours.",The disposition of alfentanil in neonates with respiratory distress. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1923912/),[l] / [kg],0.54,8482,DB00802,Alfentanil
,1923912,elimination half-life,"Noncompartmental pharmacokinetic analysis of the data revealed the following estimates (mean +/- SD): total-body clearance 3.24 +/- 2.23 ml/kg/minute, volume of distribution 0.54 +/- 0.21 L/kg, and elimination half-life 4.14 +/- 2.58 hours.",The disposition of alfentanil in neonates with respiratory distress. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1923912/),h,4.14,8483,DB00802,Alfentanil
,18467078,k1e,"For morphine, hysteresis was best described by an extended-catenary biophase distribution model with different values for k1e and keo of 0.038+/-0.003 and 0.043+/-0.003 min(-1), respectively.",Pharmacokinetic/pharmacodynamic modelling of the EEG effects of opioids: the role of complex biophase distribution kinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18467078/),1/[min],0.038,14909,DB00802,Alfentanil
,18467078,keo,"For morphine, hysteresis was best described by an extended-catenary biophase distribution model with different values for k1e and keo of 0.038+/-0.003 and 0.043+/-0.003 min(-1), respectively.",Pharmacokinetic/pharmacodynamic modelling of the EEG effects of opioids: the role of complex biophase distribution kinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18467078/),1/[min],0.043,14910,DB00802,Alfentanil
,18467078,k1e,"Between the different opioids, the values of k1e ranged from 0.04 to 0.47 min(-1).",Pharmacokinetic/pharmacodynamic modelling of the EEG effects of opioids: the role of complex biophase distribution kinetics. ,"λ1, λ2-Q67",[Article Link](https://pubmed.ncbi.nlm.nih.gov/18467078/),1/[min],0.04 to 0.47,14911,DB00802,Alfentanil
,18467078,EC50,Between opioids significant differences in potency (EC50 range 1.2-451 ng/ml) and intrinsic activity (alpha range 18-109 microV) were observed.,Pharmacokinetic/pharmacodynamic modelling of the EEG effects of opioids: the role of complex biophase distribution kinetics. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18467078/),[ng] / [ml],1.2-451,14912,DB00802,Alfentanil
,18467078,alpha,Between opioids significant differences in potency (EC50 range 1.2-451 ng/ml) and intrinsic activity (alpha range 18-109 microV) were observed.,Pharmacokinetic/pharmacodynamic modelling of the EEG effects of opioids: the role of complex biophase distribution kinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18467078/),μv,18-109,14913,DB00802,Alfentanil
,8061260,clearance,"The set of Scott et al with the lowest clearance (2.4 mL/kg/min) shows the best accuracy (MDAPE: 19.5%) and precision (P10: -40%, P90: 16%).",Predictive accuracy of alfentanil infusion in coronary artery surgery: a prebypass study in middle-aged and elderly patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8061260/),[ml] / [kg·min],2.4,24143,DB00802,Alfentanil
,8572340,Target plasma concentrations,"Target plasma concentrations for propofol were 150, 300, and 600 ng/ml for 1 h at each concentration; for alfentanil it was 40 ng/ml for 3 h.","Effects of combining propofol and alfentanil on ventilation, analgesia, sedation, and emesis in human volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8572340/),[ng] / [ml],150,26130,DB00802,Alfentanil
,8572340,Target plasma concentrations,"Target plasma concentrations for propofol were 150, 300, and 600 ng/ml for 1 h at each concentration; for alfentanil it was 40 ng/ml for 3 h.","Effects of combining propofol and alfentanil on ventilation, analgesia, sedation, and emesis in human volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8572340/),[ng] / [ml],300,26131,DB00802,Alfentanil
,8572340,Target plasma concentrations,"Target plasma concentrations for propofol were 150, 300, and 600 ng/ml for 1 h at each concentration; for alfentanil it was 40 ng/ml for 3 h.","Effects of combining propofol and alfentanil on ventilation, analgesia, sedation, and emesis in human volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8572340/),[ng] / [ml],600,26132,DB00802,Alfentanil
,8572340,Target plasma concentrations,"Target plasma concentrations for propofol were 150, 300, and 600 ng/ml for 1 h at each concentration; for alfentanil it was 40 ng/ml for 3 h.","Effects of combining propofol and alfentanil on ventilation, analgesia, sedation, and emesis in human volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8572340/),,40,26133,DB00802,Alfentanil
,9009935,V1,"The parameters for the simple three-compartment pharmacokinetic model were V1 = 4.98 l, V2 = 9.01 l, V3 = 6.54 l, Cl1 = 2.46 l/min, Cl2 = 1.69 l/min, and Cl3 = 0.065 l/min.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),l,4.98,28910,DB00802,Alfentanil
,9009935,V2,"The parameters for the simple three-compartment pharmacokinetic model were V1 = 4.98 l, V2 = 9.01 l, V3 = 6.54 l, Cl1 = 2.46 l/min, Cl2 = 1.69 l/min, and Cl3 = 0.065 l/min.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),l,9.01,28911,DB00802,Alfentanil
,9009935,V3,"The parameters for the simple three-compartment pharmacokinetic model were V1 = 4.98 l, V2 = 9.01 l, V3 = 6.54 l, Cl1 = 2.46 l/min, Cl2 = 1.69 l/min, and Cl3 = 0.065 l/min.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),l,6.54,28912,DB00802,Alfentanil
,9009935,Cl1,"The parameters for the simple three-compartment pharmacokinetic model were V1 = 4.98 l, V2 = 9.01 l, V3 = 6.54 l, Cl1 = 2.46 l/min, Cl2 = 1.69 l/min, and Cl3 = 0.065 l/min.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),[l] / [min],2.46,28913,DB00802,Alfentanil
,9009935,Cl2,"The parameters for the simple three-compartment pharmacokinetic model were V1 = 4.98 l, V2 = 9.01 l, V3 = 6.54 l, Cl1 = 2.46 l/min, Cl2 = 1.69 l/min, and Cl3 = 0.065 l/min.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),[l] / [min],1.69,28914,DB00802,Alfentanil
,9009935,Cl3,"The parameters for the simple three-compartment pharmacokinetic model were V1 = 4.98 l, V2 = 9.01 l, V3 = 6.54 l, Cl1 = 2.46 l/min, Cl2 = 1.69 l/min, and Cl3 = 0.065 l/min.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),[l] / [min],0.065,28915,DB00802,Alfentanil
,9009935,Ke0,"The parameters for the simple sigmoid Emax pharmacodynamic model were Ke0 = 0.516 min-1, E0 = 20 Hz, Emax = 5.62 Hz, EC50 = 11.2 ng/ml, and gamma = 2.51.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),1/[min],0.516,28916,DB00802,Alfentanil
,9009935,E0,"The parameters for the simple sigmoid Emax pharmacodynamic model were Ke0 = 0.516 min-1, E0 = 20 Hz, Emax = 5.62 Hz, EC50 = 11.2 ng/ml, and gamma = 2.51.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),hz,20,28917,DB00802,Alfentanil
,9009935,Emax,"The parameters for the simple sigmoid Emax pharmacodynamic model were Ke0 = 0.516 min-1, E0 = 20 Hz, Emax = 5.62 Hz, EC50 = 11.2 ng/ml, and gamma = 2.51.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),hz,5.62,28918,DB00802,Alfentanil
,9009935,EC50,"The parameters for the simple sigmoid Emax pharmacodynamic model were Ke0 = 0.516 min-1, E0 = 20 Hz, Emax = 5.62 Hz, EC50 = 11.2 ng/ml, and gamma = 2.51.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),[ng] / [ml],11.2,28919,DB00802,Alfentanil
,9009935,gamma,"The parameters for the simple sigmoid Emax pharmacodynamic model were Ke0 = 0.516 min-1, E0 = 20 Hz, Emax = 5.62 Hz, EC50 = 11.2 ng/ml, and gamma = 2.51.",Influence of age and gender on the pharmacokinetics and pharmacodynamics of remifentanil. I. Model development. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9009935/),,2.51,28920,DB00802,Alfentanil
,7486179,V1,Parameters for the simple three-compartment model are: V1 = 19.2 ml.kg-1; V2 = 99 ml.kg-1; V3 = 2344 ml.kg-1; Cl1 = 2.5 ml.kg-1.min-1; Cl2 = 38 ml.kg-1.min-1; and Cl3 = 15 ml.kg-1.min-1.,Pharmacokinetics of computer-controlled alfentanil administration in children undergoing cardiac surgery. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7486179/),[ml] / [kg],19.2,32722,DB00802,Alfentanil
,7486179,V2,Parameters for the simple three-compartment model are: V1 = 19.2 ml.kg-1; V2 = 99 ml.kg-1; V3 = 2344 ml.kg-1; Cl1 = 2.5 ml.kg-1.min-1; Cl2 = 38 ml.kg-1.min-1; and Cl3 = 15 ml.kg-1.min-1.,Pharmacokinetics of computer-controlled alfentanil administration in children undergoing cardiac surgery. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7486179/),[ml] / [kg],99,32723,DB00802,Alfentanil
,7486179,V3,Parameters for the simple three-compartment model are: V1 = 19.2 ml.kg-1; V2 = 99 ml.kg-1; V3 = 2344 ml.kg-1; Cl1 = 2.5 ml.kg-1.min-1; Cl2 = 38 ml.kg-1.min-1; and Cl3 = 15 ml.kg-1.min-1.,Pharmacokinetics of computer-controlled alfentanil administration in children undergoing cardiac surgery. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7486179/),[ml] / [kg],2344,32724,DB00802,Alfentanil
,7486179,Cl1,Parameters for the simple three-compartment model are: V1 = 19.2 ml.kg-1; V2 = 99 ml.kg-1; V3 = 2344 ml.kg-1; Cl1 = 2.5 ml.kg-1.min-1; Cl2 = 38 ml.kg-1.min-1; and Cl3 = 15 ml.kg-1.min-1.,Pharmacokinetics of computer-controlled alfentanil administration in children undergoing cardiac surgery. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7486179/),[ml] / [kg·min],2.5,32725,DB00802,Alfentanil
,7486179,Cl2,Parameters for the simple three-compartment model are: V1 = 19.2 ml.kg-1; V2 = 99 ml.kg-1; V3 = 2344 ml.kg-1; Cl1 = 2.5 ml.kg-1.min-1; Cl2 = 38 ml.kg-1.min-1; and Cl3 = 15 ml.kg-1.min-1.,Pharmacokinetics of computer-controlled alfentanil administration in children undergoing cardiac surgery. ,Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7486179/),[ml] / [kg·min],38,32726,DB00802,Alfentanil
,7486179,Cl3,Parameters for the simple three-compartment model are: V1 = 19.2 ml.kg-1; V2 = 99 ml.kg-1; V3 = 2344 ml.kg-1; Cl1 = 2.5 ml.kg-1.min-1; Cl2 = 38 ml.kg-1.min-1; and Cl3 = 15 ml.kg-1.min-1.,Pharmacokinetics of computer-controlled alfentanil administration in children undergoing cardiac surgery. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7486179/),[ml] / [kg·min],15,32727,DB00802,Alfentanil
,1679616,concentration producing 50% inhibition (IC50),"The concentration producing 50% inhibition (IC50) of alfentanil (10 microM) oxidation was 0.7-1.0 and 2.8-4.0 microM for D-medetomidine and L-medetomidine, respectively.",Influence of dexmedetomidine and clonidine on human liver microsomal alfentanil metabolism. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1679616/),μM,0.7-1.0,32863,DB00802,Alfentanil
,1679616,concentration producing 50% inhibition (IC50),"The concentration producing 50% inhibition (IC50) of alfentanil (10 microM) oxidation was 0.7-1.0 and 2.8-4.0 microM for D-medetomidine and L-medetomidine, respectively.",Influence of dexmedetomidine and clonidine on human liver microsomal alfentanil metabolism. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1679616/),μM,2.8-4.0,32864,DB00802,Alfentanil
,31802534,infusion rate,The mean propofol infusion rate was significantly higher in patients not monitored by BIS scores than in those who were (5.44 ± 2.12 vs 4.76 ± 1.84 mg/kg/h; P = 0.016).,Target-controlled propofol infusion with or without bispectral index monitoring of sedation during advanced gastrointestinal endoscopy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31802534/),[mg] / [h·kg],5.44,34296,DB00802,Alfentanil
,31802534,infusion rate,The mean propofol infusion rate was significantly higher in patients not monitored by BIS scores than in those who were (5.44 ± 2.12 vs 4.76 ± 1.84 mg/kg/h; P = 0.016).,Target-controlled propofol infusion with or without bispectral index monitoring of sedation during advanced gastrointestinal endoscopy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31802534/),[mg] / [h·kg],4.76,34297,DB00802,Alfentanil
,9265933,half-life,The equilibration half-life between plasma and effect site concentrations (T1/2 (keo)) was 16.8 min (median; range: 4.4-41.6 min).,Pharmacodynamic modelling of the analgesic effects of piritramide in postoperative patients. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9265933/),min,16.8,34917,DB00802,Alfentanil
,9265933,T1/2 (keo)),The equilibration half-life between plasma and effect site concentrations (T1/2 (keo)) was 16.8 min (median; range: 4.4-41.6 min).,Pharmacodynamic modelling of the analgesic effects of piritramide in postoperative patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9265933/),min,16.8,34918,DB00802,Alfentanil
