Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7904983,elimination half-life,"Surprisingly, a significantly shorter elimination half-life was found after 20 days on cimetidine (from 5.1 +/- 0.4 h to 4.4 +/- 0.5 h).",The effect of cimetidine on the pharmacokinetics of single oral doses of alfuzosin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7904983/),h,5.1,4806,DB00346,Alfuzosin
,7904983,elimination half-life,"Surprisingly, a significantly shorter elimination half-life was found after 20 days on cimetidine (from 5.1 +/- 0.4 h to 4.4 +/- 0.5 h).",The effect of cimetidine on the pharmacokinetics of single oral doses of alfuzosin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7904983/),h,4.4,4807,DB00346,Alfuzosin
,12139205,Cmax,"Mean Cmax value of 10 mg OD alfuzosin was 15.8 ng/ml at a median t(max) of 9.0 h; Cmax was higher and reached earlier from 2.5 mg alfuzosin TID: 19.3 ng/ml, 19.7 ng/ml and 20.3 at 1.0 hour after each dosing, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),[ng] / [ml],15.8,12279,DB00346,Alfuzosin
,12139205,t(max),"Mean Cmax value of 10 mg OD alfuzosin was 15.8 ng/ml at a median t(max) of 9.0 h; Cmax was higher and reached earlier from 2.5 mg alfuzosin TID: 19.3 ng/ml, 19.7 ng/ml and 20.3 at 1.0 hour after each dosing, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),h,9.0,12280,DB00346,Alfuzosin
,12139205,Cmax,"Mean Cmax value of 10 mg OD alfuzosin was 15.8 ng/ml at a median t(max) of 9.0 h; Cmax was higher and reached earlier from 2.5 mg alfuzosin TID: 19.3 ng/ml, 19.7 ng/ml and 20.3 at 1.0 hour after each dosing, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),[ng] / [ml],19.3,12281,DB00346,Alfuzosin
,12139205,Cmax,"Mean Cmax value of 10 mg OD alfuzosin was 15.8 ng/ml at a median t(max) of 9.0 h; Cmax was higher and reached earlier from 2.5 mg alfuzosin TID: 19.3 ng/ml, 19.7 ng/ml and 20.3 at 1.0 hour after each dosing, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),[ng] / [ml],19.7,12282,DB00346,Alfuzosin
,12139205,Cmax,"Mean Cmax value of 10 mg OD alfuzosin was 15.8 ng/ml at a median t(max) of 9.0 h; Cmax was higher and reached earlier from 2.5 mg alfuzosin TID: 19.3 ng/ml, 19.7 ng/ml and 20.3 at 1.0 hour after each dosing, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),,20.3,12283,DB00346,Alfuzosin
,12139205,AUC(0-24),"Mean AUC(0-24) values after OD and TID were 228.3 and 226.0 ng x h/ml, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),[h·ng] / [ml],228.3,12284,DB00346,Alfuzosin
,12139205,AUC(0-24),"Mean AUC(0-24) values after OD and TID were 228.3 and 226.0 ng x h/ml, respectively.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),[h·ng] / [ml],226.0,12285,DB00346,Alfuzosin
,12139205,relative bioavailability,"Based on AUC(0-24) values corrected by the administered daily dose, the relative bioavailability of alfuzosin OD was 75.7% with a 90% confidence interval of 68.0 - 84.3%.","Alfuzosin, an alpha1-adrenoceptor antagonist for the treatment of benign prostatic hyperplasia: once daily versus 3 times daily dosing in healthy subjects. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12139205/),%,75.7,12286,DB00346,Alfuzosin
