Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3428840,T1/2 alpha,Pharmacokinetics at a high repetitive dose (16 mg/kg) shows a biexponential plasma decay with T1/2 alpha of 8.33 +/- 2.47 min and T1/2 beta 2.8 +/- 0.7 hr.,Pharmacokinetics of high-dose i.v. alizapride in prevention of cisplatin-induced emesis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3428840/),min,8.33,21082,DB01425,Alizapride
,3428840,T1/2 beta,Pharmacokinetics at a high repetitive dose (16 mg/kg) shows a biexponential plasma decay with T1/2 alpha of 8.33 +/- 2.47 min and T1/2 beta 2.8 +/- 0.7 hr.,Pharmacokinetics of high-dose i.v. alizapride in prevention of cisplatin-induced emesis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3428840/),h,2.8,21083,DB01425,Alizapride
,1838490,biodisponibility,"The pharmacokinetics of the drug are as follows: absorption begins about 30 minutes after the administration per os, its biodisponibility is about 60%, its clearance: 20 ml/minute and its elimination half life about 3 hours.","[Ondansetron: a specific 5-HT3 serotonin receptor inhibitor, a new antiemetic in oncology]. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1838490/),%,60,126480,DB01425,Alizapride
,1838490,clearance,"The pharmacokinetics of the drug are as follows: absorption begins about 30 minutes after the administration per os, its biodisponibility is about 60%, its clearance: 20 ml/minute and its elimination half life about 3 hours.","[Ondansetron: a specific 5-HT3 serotonin receptor inhibitor, a new antiemetic in oncology]. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1838490/),[ml] / [min],20,126481,DB01425,Alizapride
,1838490,elimination half life,"The pharmacokinetics of the drug are as follows: absorption begins about 30 minutes after the administration per os, its biodisponibility is about 60%, its clearance: 20 ml/minute and its elimination half life about 3 hours.","[Ondansetron: a specific 5-HT3 serotonin receptor inhibitor, a new antiemetic in oncology]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1838490/),h,3,126482,DB01425,Alizapride
,6827466,detection limit,The detection limit was 5 ng/ml in plasma or urine samples.,"High-performance liquid chromatographic determination of alizapride, a new antiemetic compound, and its application to a dose-dependent pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6827466/),[ng] / [ml],5,135195,DB01425,Alizapride
,6827466,half-lives,"It showed a two-phase decrease in plasma concentrations, after intravenous injection, with half-lives of 7.5-min and 2.5-hr, respectively.","High-performance liquid chromatographic determination of alizapride, a new antiemetic compound, and its application to a dose-dependent pharmacokinetic study. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6827466/),min,7.5,135196,DB01425,Alizapride
,6827466,half-lives,"It showed a two-phase decrease in plasma concentrations, after intravenous injection, with half-lives of 7.5-min and 2.5-hr, respectively.","High-performance liquid chromatographic determination of alizapride, a new antiemetic compound, and its application to a dose-dependent pharmacokinetic study. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6827466/),h,2.5,135197,DB01425,Alizapride
,3667781,detection limit,"The detector response is linear from 25 to 10,000 ng/ml, and the detection limit is 3 ng/ml for alizapride and 10 ng/ml for metoclopramide.",Liquid chromatographic analysis of alizapride and metoclopramide in human plasma and urine using solid-phase extraction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3667781/),[ng] / [ml],3,185208,DB01425,Alizapride
,3667781,detection limit,"The detector response is linear from 25 to 10,000 ng/ml, and the detection limit is 3 ng/ml for alizapride and 10 ng/ml for metoclopramide.",Liquid chromatographic analysis of alizapride and metoclopramide in human plasma and urine using solid-phase extraction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3667781/),[ng] / [ml],10,185209,DB01425,Alizapride
