Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1412612,elimination half-life,"Preliminary pharmacokinetic data in humans indicate that the plasma drug disappearance curve was biphasic with a mean elimination half-life of 10.6 +/- 1.7 h, total clearance rate of 11.1 +/- 0.4 ml/min/m2, and area under the plasma drug concentration-time curve of 1,289-1,546 ng-h/ml.",Determination of plicamycin in plasma by radioimmunoassay. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1412612/),h,10.6,1192,DB00437,Allopurinol
,1412612,total clearance rate,"Preliminary pharmacokinetic data in humans indicate that the plasma drug disappearance curve was biphasic with a mean elimination half-life of 10.6 +/- 1.7 h, total clearance rate of 11.1 +/- 0.4 ml/min/m2, and area under the plasma drug concentration-time curve of 1,289-1,546 ng-h/ml.",Determination of plicamycin in plasma by radioimmunoassay. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1412612/),[ml] / [m2·min],11.1,1193,DB00437,Allopurinol
,1412612,area under the plasma drug concentration-time curve,"Preliminary pharmacokinetic data in humans indicate that the plasma drug disappearance curve was biphasic with a mean elimination half-life of 10.6 +/- 1.7 h, total clearance rate of 11.1 +/- 0.4 ml/min/m2, and area under the plasma drug concentration-time curve of 1,289-1,546 ng-h/ml.",Determination of plicamycin in plasma by radioimmunoassay. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1412612/),[ng-h] / [ml],"1,289-1,546",1194,DB00437,Allopurinol
,3581647,renal clearance,"The renal clearance of oxipurinol was reduced from 19.6 +/- 1.5 ml/min during the normal diet to 10.9 +/- 0.8 and 12.0 +/- 0.9 ml/min (both P less than 0.001) during the restricted diet at 2 and 4 weeks, respectively.",Sustained reductions in oxipurinol renal clearance during a restricted diet. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3581647/),[ml] / [min],19.6,6219,DB00437,Allopurinol
,3581647,renal clearance,"The renal clearance of oxipurinol was reduced from 19.6 +/- 1.5 ml/min during the normal diet to 10.9 +/- 0.8 and 12.0 +/- 0.9 ml/min (both P less than 0.001) during the restricted diet at 2 and 4 weeks, respectively.",Sustained reductions in oxipurinol renal clearance during a restricted diet. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3581647/),[ml] / [min],10.9,6220,DB00437,Allopurinol
,3581647,renal clearance,"The renal clearance of oxipurinol was reduced from 19.6 +/- 1.5 ml/min during the normal diet to 10.9 +/- 0.8 and 12.0 +/- 0.9 ml/min (both P less than 0.001) during the restricted diet at 2 and 4 weeks, respectively.",Sustained reductions in oxipurinol renal clearance during a restricted diet. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3581647/),[ml] / [min],12.0,6221,DB00437,Allopurinol
,3581647,half-life,"Furthermore, the plasma oxipurinol half-life was increased from 27.0 +/- 1.7 hours during the normal diet to 51.1 +/- 4.3 and 45.7 +/- 3.7 hours (both P less than 0.001) during the restricted diet at 2 and 4 weeks, respectively.",Sustained reductions in oxipurinol renal clearance during a restricted diet. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3581647/),h,27.0,6222,DB00437,Allopurinol
,3581647,half-life,"Furthermore, the plasma oxipurinol half-life was increased from 27.0 +/- 1.7 hours during the normal diet to 51.1 +/- 4.3 and 45.7 +/- 3.7 hours (both P less than 0.001) during the restricted diet at 2 and 4 weeks, respectively.",Sustained reductions in oxipurinol renal clearance during a restricted diet. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3581647/),h,51.1,6223,DB00437,Allopurinol
,3581647,half-life,"Furthermore, the plasma oxipurinol half-life was increased from 27.0 +/- 1.7 hours during the normal diet to 51.1 +/- 4.3 and 45.7 +/- 3.7 hours (both P less than 0.001) during the restricted diet at 2 and 4 weeks, respectively.",Sustained reductions in oxipurinol renal clearance during a restricted diet. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3581647/),h,45.7,6224,DB00437,Allopurinol
,31613735,plasma protein binding,"In addition to lesinurad (plasma protein binding 98.2%), the matrix effects from special population plasma on the quantitation of verapamil (PPB 89.6%), allopurinol and oxypurinol (PPB negligible) were also investigated.",The Effects of Special Patient Population Plasma on Pharmacokinetic Quantifications Using LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31613735/),%,98.2,10887,DB00437,Allopurinol
,4052144,half-life,The oxipurinol half-life of 17 +/- 5.1 h is prolonged under steady state conditions to 19.7 +/- 5.8 h.,[The clinical pharmacokinetics of allopurinol. 2. Allopurinol/oxypurinol pharmacokinetics following allopurinol in single doses and multiple application]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4052144/),h,17,14541,DB00437,Allopurinol
,4052144,half-life,The oxipurinol half-life of 17 +/- 5.1 h is prolonged under steady state conditions to 19.7 +/- 5.8 h.,[The clinical pharmacokinetics of allopurinol. 2. Allopurinol/oxypurinol pharmacokinetics following allopurinol in single doses and multiple application]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4052144/),h,19.7,14542,DB00437,Allopurinol
,4052144,half-life,Based on the results of this study and on data from different authors the range of 17-21 h is discussed as the most frequent oxipurinol half-life.,[The clinical pharmacokinetics of allopurinol. 2. Allopurinol/oxypurinol pharmacokinetics following allopurinol in single doses and multiple application]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4052144/),h,17-21,14543,DB00437,Allopurinol
