Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11304902,AUC,"Mean alprazolam AUC was 210 and 202 ng.h/mL in the absence and the presence of alosetron, respectively.",Effect of alosetron on the pharmacokinetics of alprazolam. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11304902/),[h·ng] / [ml],210,1249,DB00969,Alosetron
,11304902,AUC,"Mean alprazolam AUC was 210 and 202 ng.h/mL in the absence and the presence of alosetron, respectively.",Effect of alosetron on the pharmacokinetics of alprazolam. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11304902/),[h·ng] / [ml],202,1250,DB00969,Alosetron
,11736869,Cmax,"Alosetron had no significant effect on theophylline plasma concentrations (Cmax approximately 9 microg ml(-1), AUC approximately 90 microg ml(-1) h) or oral formation clearance of three major metabolites produced via CYP1A2: 3-methylxanthine, 1-methylurate and 1,3-dimethylurate (5, 7 and 16 ml min(-1), respectively).",Effect of alosetron on theophylline pharmacokinetics. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736869/),[μg] / [ml],9,19144,DB00969,Alosetron
,11736869,AUC,"Alosetron had no significant effect on theophylline plasma concentrations (Cmax approximately 9 microg ml(-1), AUC approximately 90 microg ml(-1) h) or oral formation clearance of three major metabolites produced via CYP1A2: 3-methylxanthine, 1-methylurate and 1,3-dimethylurate (5, 7 and 16 ml min(-1), respectively).",Effect of alosetron on theophylline pharmacokinetics. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736869/),[h·μg] / [ml],90,19145,DB00969,Alosetron
,11736869,oral formation clearance,"Alosetron had no significant effect on theophylline plasma concentrations (Cmax approximately 9 microg ml(-1), AUC approximately 90 microg ml(-1) h) or oral formation clearance of three major metabolites produced via CYP1A2: 3-methylxanthine, 1-methylurate and 1,3-dimethylurate (5, 7 and 16 ml min(-1), respectively).",Effect of alosetron on theophylline pharmacokinetics. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736869/),[ml] / [min],5,19146,DB00969,Alosetron
,11736869,oral formation clearance,"Alosetron had no significant effect on theophylline plasma concentrations (Cmax approximately 9 microg ml(-1), AUC approximately 90 microg ml(-1) h) or oral formation clearance of three major metabolites produced via CYP1A2: 3-methylxanthine, 1-methylurate and 1,3-dimethylurate (5, 7 and 16 ml min(-1), respectively).",Effect of alosetron on theophylline pharmacokinetics. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736869/),[ml] / [min],7,19147,DB00969,Alosetron
,11736869,oral formation clearance,"Alosetron had no significant effect on theophylline plasma concentrations (Cmax approximately 9 microg ml(-1), AUC approximately 90 microg ml(-1) h) or oral formation clearance of three major metabolites produced via CYP1A2: 3-methylxanthine, 1-methylurate and 1,3-dimethylurate (5, 7 and 16 ml min(-1), respectively).",Effect of alosetron on theophylline pharmacokinetics. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736869/),[ml] / [min],16,19148,DB00969,Alosetron
,25761551,m/z,"For quantitative analysis, the multiple reaction monitoring transitions studied were m/z 295.1/201.0 for ALO and m/z 299.1/205.1 for IS in the positive ionization mode.",Application of a UPLC-MS/MS method for the analysis of alosetron in human plasma to support a bioequivalence study in healthy males and females. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25761551/),,295.1,35345,DB00969,Alosetron
,25761551,m/z,"For quantitative analysis, the multiple reaction monitoring transitions studied were m/z 295.1/201.0 for ALO and m/z 299.1/205.1 for IS in the positive ionization mode.",Application of a UPLC-MS/MS method for the analysis of alosetron in human plasma to support a bioequivalence study in healthy males and females. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25761551/),,201.0,35346,DB00969,Alosetron
,25761551,m/,"For quantitative analysis, the multiple reaction monitoring transitions studied were m/z 295.1/201.0 for ALO and m/z 299.1/205.1 for IS in the positive ionization mode.",Application of a UPLC-MS/MS method for the analysis of alosetron in human plasma to support a bioequivalence study in healthy males and females. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25761551/),,299.1,35347,DB00969,Alosetron
,25761551,m/,"For quantitative analysis, the multiple reaction monitoring transitions studied were m/z 295.1/201.0 for ALO and m/z 299.1/205.1 for IS in the positive ionization mode.",Application of a UPLC-MS/MS method for the analysis of alosetron in human plasma to support a bioequivalence study in healthy males and females. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25761551/),,205.1,35348,DB00969,Alosetron
,25761551,recovery,The assay recovery was within 97-103% for ALO and IS.,Application of a UPLC-MS/MS method for the analysis of alosetron in human plasma to support a bioequivalence study in healthy males and females. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25761551/),%,97-103,35349,DB00969,Alosetron
,11060667,bioavailability,"In pharmacokinetic studies, bioavailability of alosetron in healthy volunteers is approximately 60% and the plasma half-life is about 1.5 h.",Pharmacology and clinical experience with alosetron. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11060667/),%,60,60476,DB00969,Alosetron
,11060667,plasma half-life,"In pharmacokinetic studies, bioavailability of alosetron in healthy volunteers is approximately 60% and the plasma half-life is about 1.5 h.",Pharmacology and clinical experience with alosetron. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11060667/),h,1.5,60477,DB00969,Alosetron
,7751433,dose-normalized Cmax,"Mean pharmacokinetic parameters of haloperidol in the presence of alosetron and placebo treatments were not significantly (P > .05) different: dose-normalized Cmax (6.40 versus 5.75 ng/mL), dose-normalized Cmin (2.00 versus 1.90 ng/mL), dose-normalized AUC (85.97 versus 68.48 ng.hr/mL), and CL/f (78.23 versus 104.7 L/hr).",Effect of alosetron (a new 5-HT3 receptor antagonist) on the pharmacokinetics of haloperidol in schizophrenic patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751433/),[ng] / [ml],6.40,88551,DB00969,Alosetron
,7751433,dose-normalized Cmax,"Mean pharmacokinetic parameters of haloperidol in the presence of alosetron and placebo treatments were not significantly (P > .05) different: dose-normalized Cmax (6.40 versus 5.75 ng/mL), dose-normalized Cmin (2.00 versus 1.90 ng/mL), dose-normalized AUC (85.97 versus 68.48 ng.hr/mL), and CL/f (78.23 versus 104.7 L/hr).",Effect of alosetron (a new 5-HT3 receptor antagonist) on the pharmacokinetics of haloperidol in schizophrenic patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751433/),[ng] / [ml],5.75,88552,DB00969,Alosetron
,7751433,dose-normalized Cmin,"Mean pharmacokinetic parameters of haloperidol in the presence of alosetron and placebo treatments were not significantly (P > .05) different: dose-normalized Cmax (6.40 versus 5.75 ng/mL), dose-normalized Cmin (2.00 versus 1.90 ng/mL), dose-normalized AUC (85.97 versus 68.48 ng.hr/mL), and CL/f (78.23 versus 104.7 L/hr).",Effect of alosetron (a new 5-HT3 receptor antagonist) on the pharmacokinetics of haloperidol in schizophrenic patients. ,Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751433/),[ng] / [ml],2.00,88553,DB00969,Alosetron
,7751433,dose-normalized Cmin,"Mean pharmacokinetic parameters of haloperidol in the presence of alosetron and placebo treatments were not significantly (P > .05) different: dose-normalized Cmax (6.40 versus 5.75 ng/mL), dose-normalized Cmin (2.00 versus 1.90 ng/mL), dose-normalized AUC (85.97 versus 68.48 ng.hr/mL), and CL/f (78.23 versus 104.7 L/hr).",Effect of alosetron (a new 5-HT3 receptor antagonist) on the pharmacokinetics of haloperidol in schizophrenic patients. ,Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751433/),[ng] / [ml],1.90,88554,DB00969,Alosetron
,7751433,dose-normalized AUC,"Mean pharmacokinetic parameters of haloperidol in the presence of alosetron and placebo treatments were not significantly (P > .05) different: dose-normalized Cmax (6.40 versus 5.75 ng/mL), dose-normalized Cmin (2.00 versus 1.90 ng/mL), dose-normalized AUC (85.97 versus 68.48 ng.hr/mL), and CL/f (78.23 versus 104.7 L/hr).",Effect of alosetron (a new 5-HT3 receptor antagonist) on the pharmacokinetics of haloperidol in schizophrenic patients. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7751433/),[h·ng] / [ml],85.97,88555,DB00969,Alosetron
