Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
<,26581431,initial,Half-lives of plasma clearance of silica-coated (65)ZnO were shorter (initial - <1 min; terminal - 2.5 min) than uncoated (65)ZnO (initial - 1.9 min; terminal - 38 min).,Surface modification of zinc oxide nanoparticles with amorphous silica alters their fate in the circulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26581431/),min,1,9197,DB00058,Alpha-1-proteinase inhibitor
,26581431,terminal,Half-lives of plasma clearance of silica-coated (65)ZnO were shorter (initial - <1 min; terminal - 2.5 min) than uncoated (65)ZnO (initial - 1.9 min; terminal - 38 min).,Surface modification of zinc oxide nanoparticles with amorphous silica alters their fate in the circulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26581431/),min,2.5,9198,DB00058,Alpha-1-proteinase inhibitor
,26581431,initial,Half-lives of plasma clearance of silica-coated (65)ZnO were shorter (initial - <1 min; terminal - 2.5 min) than uncoated (65)ZnO (initial - 1.9 min; terminal - 38 min).,Surface modification of zinc oxide nanoparticles with amorphous silica alters their fate in the circulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26581431/),min,1.9,9199,DB00058,Alpha-1-proteinase inhibitor
,26581431,terminal,Half-lives of plasma clearance of silica-coated (65)ZnO were shorter (initial - <1 min; terminal - 2.5 min) than uncoated (65)ZnO (initial - 1.9 min; terminal - 38 min).,Surface modification of zinc oxide nanoparticles with amorphous silica alters their fate in the circulation. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/26581431/),min,38,9200,DB00058,Alpha-1-proteinase inhibitor
,8378355,k(inactivation)/K(i),"The intrinsic potency of these compounds, as exemplified by L-680,833 (k(inactivation)/K(i) of 622,000 M-1.s-1), is reflected at the cellular level where it inhibits generation of the specific N-terminal cleavage product A alpha-(1-21) from the A alpha chain of fibrinogen by enzyme released from isolated polymorphonuclear leukocytes stimulated with fMet-Leu-Phe with an IC50 of 0.06 microM.","Chemical, biochemical, pharmacokinetic, and biological properties of L-680,833: a potent, orally active monocyclic beta-lactam inhibitor of human polymorphonuclear leukocyte elastase. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8378355/),1/[M·s],"622,000",10258,DB00058,Alpha-1-proteinase inhibitor
,8378355,IC50,"The intrinsic potency of these compounds, as exemplified by L-680,833 (k(inactivation)/K(i) of 622,000 M-1.s-1), is reflected at the cellular level where it inhibits generation of the specific N-terminal cleavage product A alpha-(1-21) from the A alpha chain of fibrinogen by enzyme released from isolated polymorphonuclear leukocytes stimulated with fMet-Leu-Phe with an IC50 of 0.06 microM.","Chemical, biochemical, pharmacokinetic, and biological properties of L-680,833: a potent, orally active monocyclic beta-lactam inhibitor of human polymorphonuclear leukocyte elastase. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8378355/),μM,0.06,10259,DB00058,Alpha-1-proteinase inhibitor
,8378355,IC50,"The inhibitory activity of L-680,833 is also apparent in whole blood stimulated with A23187, where it inhibits formation of A alpha-(1-21) and PMNE-alpha 1-proteinase inhibitor complex formation with IC50 values of 9 microM.","Chemical, biochemical, pharmacokinetic, and biological properties of L-680,833: a potent, orally active monocyclic beta-lactam inhibitor of human polymorphonuclear leukocyte elastase. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8378355/),μM,9,10260,DB00058,Alpha-1-proteinase inhibitor
,20920295,AUC₀₋₇,"Mean AUC₀₋₇ (days) was 155.9 versus 152.4 mg*h/mL for Prolastin-C and Prolastin, respectively.",Pharmacokinetic comparability of Prolastin®-C to Prolastin® in alpha₁-antitrypsin deficiency: a randomized study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20920295/),[h·mg] / [ml],155.9,10708,DB00058,Alpha-1-proteinase inhibitor
,20920295,AUC₀₋₇,"Mean AUC₀₋₇ (days) was 155.9 versus 152.4 mg*h/mL for Prolastin-C and Prolastin, respectively.",Pharmacokinetic comparability of Prolastin®-C to Prolastin® in alpha₁-antitrypsin deficiency: a randomized study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20920295/),[h·mg] / [ml],152.4,10709,DB00058,Alpha-1-proteinase inhibitor
,3260074,serum half-life,"Compared with baseline data, significant elevations of serum A1PI (measured both antigenically and as anti-elastase activity) occurred, with a serum half-life approximating 110 hours.",Intravenous administration of alpha-1-proteinase inhibitor in patients of PiZ and PiM phenotype. Preliminary report. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3260074/),h,110,16293,DB00058,Alpha-1-proteinase inhibitor
