Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1583404,steady state antigen concentration,Pharmacokinetics of the rt-PA showed a steady state antigen concentration of 240 ng/ml and activity of 200 IU/ml during the initial 2-hour infusion and a postinfusion half-life of 5 minutes.,Comparison of dosage schedules of rt-PA in the treatment of proximal deep vein thrombosis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583404/),[ng] / [ml],240,4623,DB00009,Alteplase
,1583404,activity,Pharmacokinetics of the rt-PA showed a steady state antigen concentration of 240 ng/ml and activity of 200 IU/ml during the initial 2-hour infusion and a postinfusion half-life of 5 minutes.,Comparison of dosage schedules of rt-PA in the treatment of proximal deep vein thrombosis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583404/),[iu] / [ml],200,4624,DB00009,Alteplase
,1583404,half-life,Pharmacokinetics of the rt-PA showed a steady state antigen concentration of 240 ng/ml and activity of 200 IU/ml during the initial 2-hour infusion and a postinfusion half-life of 5 minutes.,Comparison of dosage schedules of rt-PA in the treatment of proximal deep vein thrombosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583404/),min,5,4625,DB00009,Alteplase
,12177691,K(i),"DPC423, 1-[3-(aminomethyl)phenyl]-N-[3-fluoro-2'-(methylsulfonyl)[1,1'-biphenyl]-4-yl]-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide, is a synthetic, orally bioavailable, competitive, and selective inhibitor of human coagulation factor Xa (K(i) [nM]: factor Xa, 0.15; trypsin, 60; thrombin, 6000; plasma kallikrein, 61; activated protein C, 1800; factor IXa, 2200; factor VIIa, >15,000; chymotrypsin, >17,000; urokinase, >19,000; plasmin, >35,000; tissue plasminogen activator, >45,000; complement factor I, 44,000 [IC(50)]).","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,0.15,7185,DB00009,Alteplase
,12177691,K(i),"DPC423, 1-[3-(aminomethyl)phenyl]-N-[3-fluoro-2'-(methylsulfonyl)[1,1'-biphenyl]-4-yl]-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide, is a synthetic, orally bioavailable, competitive, and selective inhibitor of human coagulation factor Xa (K(i) [nM]: factor Xa, 0.15; trypsin, 60; thrombin, 6000; plasma kallikrein, 61; activated protein C, 1800; factor IXa, 2200; factor VIIa, >15,000; chymotrypsin, >17,000; urokinase, >19,000; plasmin, >35,000; tissue plasminogen activator, >45,000; complement factor I, 44,000 [IC(50)]).","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,44,7186,DB00009,Alteplase
,12177691,oral bioavailability,"In dogs, DPC423 had a good pharmacokinetic profile with an oral bioavailability of 57%, a plasma clearance of 0.24 L/kg/h, and a plasma half-life of 7.5 h.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),%,57,7187,DB00009,Alteplase
,12177691,plasma clearance,"In dogs, DPC423 had a good pharmacokinetic profile with an oral bioavailability of 57%, a plasma clearance of 0.24 L/kg/h, and a plasma half-life of 7.5 h.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),[l] / [h·kg],0.24,7188,DB00009,Alteplase
,12177691,plasma half-life,"In dogs, DPC423 had a good pharmacokinetic profile with an oral bioavailability of 57%, a plasma clearance of 0.24 L/kg/h, and a plasma half-life of 7.5 h.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),h,7.5,7189,DB00009,Alteplase
,12177691,IC(50),"In rabbit and rat models of arteriovenous shunt thrombosis, DPC423 was an effective antithrombotic agent with an IC(50) of 150 and 470 nM, respectively.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,150,7190,DB00009,Alteplase
,12177691,IC(50),"In rabbit and rat models of arteriovenous shunt thrombosis, DPC423 was an effective antithrombotic agent with an IC(50) of 150 and 470 nM, respectively.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,470,7191,DB00009,Alteplase
