Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21898816,flow rate,"Separation was achieved on a CN column (200 mm×4.6 mm) using acetonitrile-10 mM orthophosphoric acid containing 1 mL/L triethylamine (45:55, v/v) at a flow rate of 1 mL/min.",A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),[ml] / [min],1,6200,DB00915,Amantadine
,21898816,Limit of detection,"Limit of detection and limit of quantification were found to be 0.3 and 1.0 ng/mL, respectively.",A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),[ng] / [ml],0.3,6201,DB00915,Amantadine
,21898816,limit of quantification,"Limit of detection and limit of quantification were found to be 0.3 and 1.0 ng/mL, respectively.",A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),[ng] / [ml],1.0,6202,DB00915,Amantadine
,21898816,recovery,Average recovery was also found to be around 94%.,A new HPLC method with fluorescence detection for the determination of memantine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21898816/),%,94,6203,DB00915,Amantadine
,7756105,apparent volume of distribution (V2/F),"Its apparent volume of distribution (V2/F) was higher in smokers than nonsmokers, 6.05 +/- 0.86 vs 4.87 +/- 0.85 l kg-1; (mean +/- s.d., 10/group, P < 0.011), and no gender-associated effect was observed.",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),[l] / [kg],6.05,15445,DB00915,Amantadine
,7756105,apparent volume of distribution (V2/F),"Its apparent volume of distribution (V2/F) was higher in smokers than nonsmokers, 6.05 +/- 0.86 vs 4.87 +/- 0.85 l kg-1; (mean +/- s.d., 10/group, P < 0.011), and no gender-associated effect was observed.",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),[l] / [kg],4.87,15446,DB00915,Amantadine
,7756105,urinary recovery,"Renal clearance did not vary with time-interval, but urinary recovery at 48 h was higher in men than in women (60.2 +/- 7.5% vs 47.0 +/- 15.0%, P < 0.032).",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),%,60.2,15447,DB00915,Amantadine
,7756105,urinary recovery,"Renal clearance did not vary with time-interval, but urinary recovery at 48 h was higher in men than in women (60.2 +/- 7.5% vs 47.0 +/- 15.0%, P < 0.032).",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),%,47.0,15448,DB00915,Amantadine
,7756105,renal clearances,"Males had higher renal clearances than females when normalised for body mass index (BMI, 0.492 +/- 0.284 vs 0.248 +/- 0.137 l-1 BMI h-1, (10/group, P < 0.032)).",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),1/[l],0.492,15449,DB00915,Amantadine
,7756105,renal clearances,"Males had higher renal clearances than females when normalised for body mass index (BMI, 0.492 +/- 0.284 vs 0.248 +/- 0.137 l-1 BMI h-1, (10/group, P < 0.032)).",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),1/[l],0.248,15450,DB00915,Amantadine
,7756105,weight normalised renal clearance,"On combining data from a previous study, the weight normalised renal clearance was also higher in men than in women, 0.160 +/- 0.075 vs 0.102 +/- 0.053 l kg-1 h-1 (19/group, P < 0.01).",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),[l] / [h·kg],0.160,15451,DB00915,Amantadine
,7756105,weight normalised renal clearance,"On combining data from a previous study, the weight normalised renal clearance was also higher in men than in women, 0.160 +/- 0.075 vs 0.102 +/- 0.053 l kg-1 h-1 (19/group, P < 0.01).",Chronic tobacco smoking and gender as variables affecting amantadine disposition in healthy subjects. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7756105/),[l] / [h·kg],0.102,15452,DB00915,Amantadine
,25427541,CMAX,The mean (range) amantadine CMAX was 275 ng/mL (225-351 ng/mL) at 2.6 h (1-4 h) with a terminal half-life of 4.96 h (4.11-6.59 h).,Pharmacokinetics of oral amantadine in greyhound dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427541/),[ng] / [ml],275,18247,DB00915,Amantadine
,25427541,terminal half-life,The mean (range) amantadine CMAX was 275 ng/mL (225-351 ng/mL) at 2.6 h (1-4 h) with a terminal half-life of 4.96 h (4.11-6.59 h).,Pharmacokinetics of oral amantadine in greyhound dogs. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427541/),h,4.96,18248,DB00915,Amantadine
,20129511,total body clearance,Amantadine total body clearance was 0.17 L/h/kg with a half-life of 13.9 hours.,Pharmacokinetics of amantadine in children with impaired consciousness due to acquired brain injury: preliminary findings using a sparse-sampling technique. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20129511/),[l] / [h·kg],0.17,18414,DB00915,Amantadine
,20129511,half-life,Amantadine total body clearance was 0.17 L/h/kg with a half-life of 13.9 hours.,Pharmacokinetics of amantadine in children with impaired consciousness due to acquired brain injury: preliminary findings using a sparse-sampling technique. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20129511/),h,13.9,18415,DB00915,Amantadine
,7840556,elimination half-life,"GG167 was metabolically stable, with an elimination half-life of 10 min following intravenous administration.","Inhibition of influenza virus replication in mice by GG167 (4-guanidino-2,4-dideoxy-2,3-dehydro-N-acetylneuraminic acid) is consistent with extracellular activity of viral neuraminidase (sialidase). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7840556/),min,10,25260,DB00915,Amantadine
