Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1801966,Mean residence time,"Mean residence time and steady state volume of distribution were 23-36 min and 0.20-0.311 kg-1, respectively, and were dose independent at the dose of 0.3-3 mumole kg-1.","Pharmacokinetics of ambenonium, a reversible cholinesterase inhibitor, in rats. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1801966/),min,23-36,134302,DB01122,Ambenonium
,1801966,steady state volume of distribution,"Mean residence time and steady state volume of distribution were 23-36 min and 0.20-0.311 kg-1, respectively, and were dose independent at the dose of 0.3-3 mumole kg-1.","Pharmacokinetics of ambenonium, a reversible cholinesterase inhibitor, in rats. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1801966/),1/[kg],0.20-0.311,134303,DB01122,Ambenonium
,1801966,Total body clearance,Total body clearance of 8.2 ml min-1 kg-1 over 0.3 mumole kg-1 was slightly increased to 11.3 ml min-1 kg-1 at 3 mumole kg-1.,"Pharmacokinetics of ambenonium, a reversible cholinesterase inhibitor, in rats. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1801966/),[ml] / [kg·min],8.2,134304,DB01122,Ambenonium
,1801966,Total body clearance,Total body clearance of 8.2 ml min-1 kg-1 over 0.3 mumole kg-1 was slightly increased to 11.3 ml min-1 kg-1 at 3 mumole kg-1.,"Pharmacokinetics of ambenonium, a reversible cholinesterase inhibitor, in rats. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1801966/),[ml] / [kg·min],11.3,134305,DB01122,Ambenonium
,1823874,maximum serum concentration,Levels varied considerably between different patients (maximum serum concentration of ambenonium chloride ranged from 0.129 to 0.812 micrograms/ml) and no correlation between the daily dose and the AUC was found.,Pharmacokinetic studies of ambenonium chloride in patients with myasthenia gravis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1823874/),[μg] / [ml],0.129 to 0.812,160001,DB01122,Ambenonium
,9044164,volumes of distribution at steady state,Pharmacokinetics of these drugs are dose-independent and have similar volumes of distribution at steady state (0.4-0.6 L/kg various doses).,Pharmacodynamic analysis of contractile potentiation by cholinesterase inhibitors in rats. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9044164/),[l] / [kg],0.4-0.6,191870,DB01122,Ambenonium
,9044164,Inhibitory constants,"Inhibitory constants of ChE inhibitors to bovine erythrocyte AChE determined in vitro were 2019, 276, 26, and 3.7 nM for edrophonium, pyridostigmine, neostigmine, and ambenonium, respectively.",Pharmacodynamic analysis of contractile potentiation by cholinesterase inhibitors in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9044164/),nM,2019,191871,DB01122,Ambenonium
,9044164,Inhibitory constants,"Inhibitory constants of ChE inhibitors to bovine erythrocyte AChE determined in vitro were 2019, 276, 26, and 3.7 nM for edrophonium, pyridostigmine, neostigmine, and ambenonium, respectively.",Pharmacodynamic analysis of contractile potentiation by cholinesterase inhibitors in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9044164/),nM,276,191872,DB01122,Ambenonium
,9044164,Inhibitory constants,"Inhibitory constants of ChE inhibitors to bovine erythrocyte AChE determined in vitro were 2019, 276, 26, and 3.7 nM for edrophonium, pyridostigmine, neostigmine, and ambenonium, respectively.",Pharmacodynamic analysis of contractile potentiation by cholinesterase inhibitors in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9044164/),nM,26,191873,DB01122,Ambenonium
,9044164,Inhibitory constants,"Inhibitory constants of ChE inhibitors to bovine erythrocyte AChE determined in vitro were 2019, 276, 26, and 3.7 nM for edrophonium, pyridostigmine, neostigmine, and ambenonium, respectively.",Pharmacodynamic analysis of contractile potentiation by cholinesterase inhibitors in rats. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9044164/),nM,3.7,191874,DB01122,Ambenonium
,8364473,Detection limit,"Detection limit of this method is 1 nM, which is twice lower than the most sensitive HPLC method reported previously.",Sensitive determination of ambenonium in plasma using inhibitory activity to acetylcholinesterase. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8364473/),nM,1,202874,DB01122,Ambenonium
,3235545,detection limits,"The detection limits at a signal-to-noise ratio of 5 were 100 pmol/ml using 0.2 ml of plasma and bile, 250 pmol/ml using 0.2 ml of urine and 200 pmol/g using 1 ml of tissue homogenates containing 0.1 g/ml of each tissue.",Determination of ambenonium in biological samples by reversed-phase ion-pair liquid chromatography. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3235545/),[pM] / [ml],5,243895,DB01122,Ambenonium
,3235545,detection limits,"The detection limits at a signal-to-noise ratio of 5 were 100 pmol/ml using 0.2 ml of plasma and bile, 250 pmol/ml using 0.2 ml of urine and 200 pmol/g using 1 ml of tissue homogenates containing 0.1 g/ml of each tissue.",Determination of ambenonium in biological samples by reversed-phase ion-pair liquid chromatography. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3235545/),[pM] / [ml],100,243896,DB01122,Ambenonium
