Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
less,26579409,plasma protein binding,The plasma protein binding of DRDE-07 was found to be less than 25% at all concentrations studied.,"Preclinical investigation of the pharmacokinetics, metabolism, and protein and red blood cell binding of DRDE-07: a prophylactic agent against sulphur mustard. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26579409/),%,25,3600,DB01143,Amifostine
,12576438,MTD,The MTD for irinotecan administered in combination with cisplatin (30 mg/m(2)) was 50 mg/m(2).,Phase I clinical and pharmacologic study of weekly cisplatin and irinotecan combined with amifostine for refractory solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12576438/),[mg] / [m],50,7517,DB01143,Amifostine
,12576438,maximum plasma concentrations (C(max)),"The maximum plasma concentrations (C(max)) for free cisplatin and WR-1065 were 4.5 +/- 1.6 micro M and approximately 89 +/- 10 micro M, respectively.",Phase I clinical and pharmacologic study of weekly cisplatin and irinotecan combined with amifostine for refractory solid tumors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12576438/),μM,4.5,7518,DB01143,Amifostine
,12576438,maximum plasma concentrations (C(max)),"The maximum plasma concentrations (C(max)) for free cisplatin and WR-1065 were 4.5 +/- 1.6 micro M and approximately 89 +/- 10 micro M, respectively.",Phase I clinical and pharmacologic study of weekly cisplatin and irinotecan combined with amifostine for refractory solid tumors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12576438/),μM,89,7519,DB01143,Amifostine
,12576438,half-life (t(1/2)),The half-life (t(1/2)) for free plasma cisplatin was 25.4 +/- 5.4 min.,Phase I clinical and pharmacologic study of weekly cisplatin and irinotecan combined with amifostine for refractory solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12576438/),min,25.4,7520,DB01143,Amifostine
,12576438,initial t(1/2),The initial t(1/2) for plasma WR-1065 was approximately 7 min and terminal t(1/2) approximately 24 min.,Phase I clinical and pharmacologic study of weekly cisplatin and irinotecan combined with amifostine for refractory solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12576438/),min,7,7521,DB01143,Amifostine
,12576438,terminal t(1/2),The initial t(1/2) for plasma WR-1065 was approximately 7 min and terminal t(1/2) approximately 24 min.,Phase I clinical and pharmacologic study of weekly cisplatin and irinotecan combined with amifostine for refractory solid tumors. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12576438/),min,24,7522,DB01143,Amifostine
,3019967,minimum detectable limit,"Following i.v. administration of ethiofos (120-150 mg per kg body weight) to monkeys, plasma concentrations of unchanged drug ranged from 477 micrograms/mL (2.23 mM) down to the minimum detectable limit of the analytical procedure (0.05 micrograms/mL, 0.23 microM) 2-3 hours postinfusion.",A method for the combined measurement of ethiofos and WR-1065 in plasma: application to pharmacokinetic experiments with ethiofos and its metabolites. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3019967/),[μg] / [ml],0.05,53060,DB01143,Amifostine
,3019967,minimum detectable limit,"Following i.v. administration of ethiofos (120-150 mg per kg body weight) to monkeys, plasma concentrations of unchanged drug ranged from 477 micrograms/mL (2.23 mM) down to the minimum detectable limit of the analytical procedure (0.05 micrograms/mL, 0.23 microM) 2-3 hours postinfusion.",A method for the combined measurement of ethiofos and WR-1065 in plasma: application to pharmacokinetic experiments with ethiofos and its metabolites. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3019967/),μM,0.23,53061,DB01143,Amifostine
,3019967,Clearances,Clearances averaged 43.5 +/- 13.4 (SD) mL min-1 kg-1 and half-lives observed in the 20-60 minute postinfusion period were 8-15 min.,A method for the combined measurement of ethiofos and WR-1065 in plasma: application to pharmacokinetic experiments with ethiofos and its metabolites. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3019967/),[ml] / [kg·min],43.5,53062,DB01143,Amifostine
