Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,31996411,sodium excretion,Dietary sodium restriction reduced sodium excretion from 160 to 64 mmol per day.,A Randomized Trial of Distal Diuretics versus Dietary Sodium Restriction for Hypertension in Chronic Kidney Disease. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31996411/),[mM] / [d],160,839,DB00594,Amiloride
,7917906,half-life,"The pharmacokinetics of HMA in mice was studied by using high-performance liquid chromatography: after intraperitoneal injection of 20 micrograms g-1, the plasma level of HMA peaked at 8 microM after about 15 min and decreased to 1 microM at 120 min; the half-life was 35 min.","Inhibition of the regulation of intracellular pH: potential of 5-(N,N-hexamethylene) amiloride in tumour-selective therapy. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7917906/),min,35,3609,DB00594,Amiloride
,7917906,surviving fraction,"Nigericin and HMA, at doses of 1.25 micrograms g-1 and 10 micrograms g-1 respectively, failed to cause significant cell killing in the EMT-6 murine tumour, but the surviving fraction was reduced to approximately 0.004 when hydralazine was administered with nigericin and HMA.","Inhibition of the regulation of intracellular pH: potential of 5-(N,N-hexamethylene) amiloride in tumour-selective therapy. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7917906/),,0.004,3610,DB00594,Amiloride
,30032652,% transmittance,"The experimental values observed for dependent variables such as hydrodynamic diameter (nm), % transmittance and % cumulative drug release were found to be 89.36 ± 11.18 nm, 99.23 ± 0.84% and 80.36 ± 5.48%, respectively.",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),%,99.23,10495,DB00594,Amiloride
,30032652,% cumulative drug release,"The experimental values observed for dependent variables such as hydrodynamic diameter (nm), % transmittance and % cumulative drug release were found to be 89.36 ± 11.18 nm, 99.23 ± 0.84% and 80.36 ± 5.48%, respectively.",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),%,80.36,10496,DB00594,Amiloride
,30032652,polydispersity index,"Results showed; a spherical shape (transmission electron microscopy and scanning electron microscopy - assisted morphological characterization), polydispersity index (0.231 ± 0.018), zeta potential (-9.83 ± 0.12 mV), refractive index (1.38 ± 0.042), viscosity (41 ± 5 cp), pH (6.4 ± 0.18) and drug content of 98.28 ± 0.29%, for optimized Amiloride-loaded-Nanoemulsion (Amilo-NE).",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),,0.231,10497,DB00594,Amiloride
,30032652,zeta potential,"Results showed; a spherical shape (transmission electron microscopy and scanning electron microscopy - assisted morphological characterization), polydispersity index (0.231 ± 0.018), zeta potential (-9.83 ± 0.12 mV), refractive index (1.38 ± 0.042), viscosity (41 ± 5 cp), pH (6.4 ± 0.18) and drug content of 98.28 ± 0.29%, for optimized Amiloride-loaded-Nanoemulsion (Amilo-NE).",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),mv,-,10498,DB00594,Amiloride
,30032652,zeta potential,"Results showed; a spherical shape (transmission electron microscopy and scanning electron microscopy - assisted morphological characterization), polydispersity index (0.231 ± 0.018), zeta potential (-9.83 ± 0.12 mV), refractive index (1.38 ± 0.042), viscosity (41 ± 5 cp), pH (6.4 ± 0.18) and drug content of 98.28 ± 0.29%, for optimized Amiloride-loaded-Nanoemulsion (Amilo-NE).",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),mv,9.83,10499,DB00594,Amiloride
,30032652,refractive index,"Results showed; a spherical shape (transmission electron microscopy and scanning electron microscopy - assisted morphological characterization), polydispersity index (0.231 ± 0.018), zeta potential (-9.83 ± 0.12 mV), refractive index (1.38 ± 0.042), viscosity (41 ± 5 cp), pH (6.4 ± 0.18) and drug content of 98.28 ± 0.29%, for optimized Amiloride-loaded-Nanoemulsion (Amilo-NE).",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),,1.38,10500,DB00594,Amiloride
,30032652,viscosity,"Results showed; a spherical shape (transmission electron microscopy and scanning electron microscopy - assisted morphological characterization), polydispersity index (0.231 ± 0.018), zeta potential (-9.83 ± 0.12 mV), refractive index (1.38 ± 0.042), viscosity (41 ± 5 cp), pH (6.4 ± 0.18) and drug content of 98.28 ± 0.29%, for optimized Amiloride-loaded-Nanoemulsion (Amilo-NE).",Impact of ultrasonication techniques on the preparation of novel Amiloride-nanoemulsion used for intranasal delivery in the treatment of epilepsy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30032652/),cp,41,10501,DB00594,Amiloride
