Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6120807,Recovery of radioactivity,Recovery of radioactivity in urine after iv administration of 0.2 mg/kg was 79 +/- 0.6% of the radioactive dose.,Pharmacokinetic disposition of guanabenz in the rhesus monkey. ,Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6120807/),%,79,85162,DB02533,Aminoguanidine
,6120807,terminal elimination half-life,Plasma concentration/time profiles after 1-mg/kg iv and ig doses were fitted by polyexponential equations with a terminal elimination half-life of 12.0 +/- 1.1 hr.,Pharmacokinetic disposition of guanabenz in the rhesus monkey. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6120807/),h,12.0,85163,DB02533,Aminoguanidine
,6120807,volume of distribution (VSSD,"A large volume of distribution (VSSD = 10.3 +/- 0.7 liters/kg) indicated extensive extravascular distribution of the drug, which was confirmed by 14C-distribution studies.",Pharmacokinetic disposition of guanabenz in the rhesus monkey. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6120807/),[l] / [kg],10.3,85164,DB02533,Aminoguanidine
,6120807,systemic clearance,The systemic clearance was 27.5 +/- 1.4 ml/min/kg with hepatic clearance appearing to be the major determinant in guanabenz elimination.,Pharmacokinetic disposition of guanabenz in the rhesus monkey. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6120807/),[ml] / [kg·min],27.5,85165,DB02533,Aminoguanidine
,6120807,systemic availability,The low systemic availability of 0.19-0.31 reflects the extensive presystemic extraction (first-pass effect) of the drug.,Pharmacokinetic disposition of guanabenz in the rhesus monkey. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6120807/),,0.19-0.31,85166,DB02533,Aminoguanidine
,21818805,half-life,The half-life after 1 h was estimated to be about 3 h; 0.7% of the administered (14)C dose of ODX remained in circulation after 24 h.,Application of accelerator mass spectrometry to macromolecules: preclinical pharmacokinetic studies on a polybisphosphonate. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21818805/),h,3,165178,DB02533,Aminoguanidine
,7872319,maximum aminoguanidine concentration (Cmax),"During the interdialytic period, the maximum aminoguanidine concentration (Cmax) and time to reach Cmax was 4.5 micrograms/mL and 1.5 hours, respectively.",The pharmacokinetics of aminoguanidine in end-stage renal disease patients on hemodialysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7872319/),[μg] / [ml],4.5,182819,DB02533,Aminoguanidine
,7872319,time to reach Cmax,"During the interdialytic period, the maximum aminoguanidine concentration (Cmax) and time to reach Cmax was 4.5 micrograms/mL and 1.5 hours, respectively.",The pharmacokinetics of aminoguanidine in end-stage renal disease patients on hemodialysis. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7872319/),h,1.5,182820,DB02533,Aminoguanidine
,7872319,terminal elimination half-life,The terminal elimination half-life in these patients was prolonged (37.9 hours).,The pharmacokinetics of aminoguanidine in end-stage renal disease patients on hemodialysis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7872319/),h,37.9,182821,DB02533,Aminoguanidine
,7872319,renal clearance,The renal clearance was 2.1 mL/min.,The pharmacokinetics of aminoguanidine in end-stage renal disease patients on hemodialysis. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7872319/),[ml] / [min],2.1,182822,DB02533,Aminoguanidine
,7872319,half-life,"During hemodialysis, the half-life of aminoguanidine was shortened to 3.9 hours.",The pharmacokinetics of aminoguanidine in end-stage renal disease patients on hemodialysis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7872319/),h,3.9,182823,DB02533,Aminoguanidine
,7872319,clearance,The hemodialysis clearance of aminoguanidine was 203.6 mL/min.,The pharmacokinetics of aminoguanidine in end-stage renal disease patients on hemodialysis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7872319/),[ml] / [min],203.6,182824,DB02533,Aminoguanidine
,8930185,half-life,"A 24-hr pharmacokinetic analysis showed that AG was readily absorbed after i.p. administration, peaked in plasma (9.0 micrograms/ml) at 0.5 hr and had a half-life of 1.88 hr.",Pharmacokinetics of aminoguanidine administration and effects on the diabetes frequency in nonobese diabetic mice. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930185/),h,1.88,194790,DB02533,Aminoguanidine
,8930185,area under the curve,"Steady-state values for the area under the curve for the therapeutic regimen were 20.51 and 16.35 (micrograms)(hr)/ml for the 0000 to 1600 and 1600 to 2400 hr, respectively.",Pharmacokinetics of aminoguanidine administration and effects on the diabetes frequency in nonobese diabetic mice. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930185/),[μgrams)(hr] / [ml],20.51,194791,DB02533,Aminoguanidine
,8930185,area under the curve,"Steady-state values for the area under the curve for the therapeutic regimen were 20.51 and 16.35 (micrograms)(hr)/ml for the 0000 to 1600 and 1600 to 2400 hr, respectively.",Pharmacokinetics of aminoguanidine administration and effects on the diabetes frequency in nonobese diabetic mice. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930185/),[μgrams)(hr] / [ml],16.35,194792,DB02533,Aminoguanidine
