Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,32361907,accumulation,Spectroscopy revealed fluorescence (median 2945.65 a.u.) and PpIX accumulation (median 18.31 μg/ml) in all 43 analyzed samples.,Real-time in vivo kinetics of protoporphyrin IX after administration of 5-aminolevulinic acid in meningiomas and comparative analyses with glioblastomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32361907/),[μg] / [ml],18.31,18279,DB00855,Aminolevulinic acid
,32361907,Fluorescence intensity,Fluorescence intensity (2961.50 a.u. vs 118.41 a.u.; p < .001) and PpIX concentrations (18.72 μg/ml vs .98 μg/ml; p < .001) were higher in samples with (N = 30) than without (N = 2) visible intraoperative tumor fluorescence.,Real-time in vivo kinetics of protoporphyrin IX after administration of 5-aminolevulinic acid in meningiomas and comparative analyses with glioblastomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32361907/),a·u,2961.50,18280,DB00855,Aminolevulinic acid
,32361907,Fluorescence intensity,Fluorescence intensity (2961.50 a.u. vs 118.41 a.u.; p < .001) and PpIX concentrations (18.72 μg/ml vs .98 μg/ml; p < .001) were higher in samples with (N = 30) than without (N = 2) visible intraoperative tumor fluorescence.,Real-time in vivo kinetics of protoporphyrin IX after administration of 5-aminolevulinic acid in meningiomas and comparative analyses with glioblastomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32361907/),a·u,118.41,18281,DB00855,Aminolevulinic acid
,32361907,concentrations,Fluorescence intensity (2961.50 a.u. vs 118.41 a.u.; p < .001) and PpIX concentrations (18.72 μg/ml vs .98 μg/ml; p < .001) were higher in samples with (N = 30) than without (N = 2) visible intraoperative tumor fluorescence.,Real-time in vivo kinetics of protoporphyrin IX after administration of 5-aminolevulinic acid in meningiomas and comparative analyses with glioblastomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32361907/),[μg] / [ml],18.72,18282,DB00855,Aminolevulinic acid
,32361907,concentrations,Fluorescence intensity (2961.50 a.u. vs 118.41 a.u.; p < .001) and PpIX concentrations (18.72 μg/ml vs .98 μg/ml; p < .001) were higher in samples with (N = 30) than without (N = 2) visible intraoperative tumor fluorescence.,Real-time in vivo kinetics of protoporphyrin IX after administration of 5-aminolevulinic acid in meningiomas and comparative analyses with glioblastomas. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32361907/),μg,98,18283,DB00855,Aminolevulinic acid
,9372622,maximum concentration,"For inhalation of 5-ALA, a mean maximum concentration of 12 micrograms l-1 could be detected 4.1 h after application, for intravesical instillation, the mean maximum concentration was found to be 1 microgram l-1 2.9 h after application.",Pharmacokinetics of 5-aminolevulinic acid-induced protoporphyrin IX in skin and blood. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9372622/),[μg] / [l],12,21325,DB00855,Aminolevulinic acid
,9372622,maximum concentration,"For inhalation of 5-ALA, a mean maximum concentration of 12 micrograms l-1 could be detected 4.1 h after application, for intravesical instillation, the mean maximum concentration was found to be 1 microgram l-1 2.9 h after application.",Pharmacokinetics of 5-aminolevulinic acid-induced protoporphyrin IX in skin and blood. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9372622/),[μg] / [l],1,21326,DB00855,Aminolevulinic acid
,9372622,maximum concentration,The kinetics of 5-ALA in the plasma peaked much earlier with a maximum concentration of 32 mg l-1 about 30 min.,Pharmacokinetics of 5-aminolevulinic acid-induced protoporphyrin IX in skin and blood. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9372622/),[mg] / [l],32,21327,DB00855,Aminolevulinic acid
,12126311,km,"The km value at two different fluences, 36.0 and 57.6 J/cm2, are estimated as 3.0636+/-0.7083 h(-1) and 6.9231+/-2.17651 h(-1), respectively.","In vivo pharmacokinetics of 8-aminolevulinic acid-induced protoporphyrin IX during pre- and post-photodynamic therapy in 7,12-dimethylbenz(a)nthracene-treated skin carcinogenesis in Swiss mice: a comparison by three-compartment model. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12126311/),1/[h],3.0636,24247,DB00855,Aminolevulinic acid
,12126311,km,"The km value at two different fluences, 36.0 and 57.6 J/cm2, are estimated as 3.0636+/-0.7083 h(-1) and 6.9231+/-2.17651 h(-1), respectively.","In vivo pharmacokinetics of 8-aminolevulinic acid-induced protoporphyrin IX during pre- and post-photodynamic therapy in 7,12-dimethylbenz(a)nthracene-treated skin carcinogenesis in Swiss mice: a comparison by three-compartment model. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12126311/),1/[h],6.9231,24248,DB00855,Aminolevulinic acid
