Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28906164,extraction recoveries,"The mean extraction recoveries across QC levels were within 91.4%, and the matrix effects were within 94.5%.",Comparative pharmacokinetics study of anastrozole after single administration and combination with celecoxib. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28906164/),%,91.4,4325,DB01217,Anastrozole
,11487258,steady-state trough plasma concentrations,"The geometric mean steady-state trough plasma concentrations of tamoxifen and DMT were statistically equivalent in patients receiving tamoxifen alone or in combination with anastrozole: geometric mean tamoxifen = 94.8 ng ml(-1)and 95.3 ng ml(-1)in tamoxifen alone and combination groups, respectively; geometric mean DMT = 265.1 and 277.6 ng ml(-1)in the tamoxifen and anastrozole and tamoxifen groups, respectively.","Pharmacokinetics of anastrozole and tamoxifen alone, and in combination, during adjuvant endocrine therapy for early breast cancer in postmenopausal women: a sub-protocol of the 'Arimidex and tamoxifen alone or in combination' (ATAC) trial. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11487258/),[ng] / [ml],94.8,7328,DB01217,Anastrozole
,11487258,steady-state trough plasma concentrations,"The geometric mean steady-state trough plasma concentrations of tamoxifen and DMT were statistically equivalent in patients receiving tamoxifen alone or in combination with anastrozole: geometric mean tamoxifen = 94.8 ng ml(-1)and 95.3 ng ml(-1)in tamoxifen alone and combination groups, respectively; geometric mean DMT = 265.1 and 277.6 ng ml(-1)in the tamoxifen and anastrozole and tamoxifen groups, respectively.","Pharmacokinetics of anastrozole and tamoxifen alone, and in combination, during adjuvant endocrine therapy for early breast cancer in postmenopausal women: a sub-protocol of the 'Arimidex and tamoxifen alone or in combination' (ATAC) trial. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11487258/),[ng] / [ml],95.3,7329,DB01217,Anastrozole
,11487258,steady-state trough plasma concentrations,"The geometric mean steady-state trough plasma concentrations of tamoxifen and DMT were statistically equivalent in patients receiving tamoxifen alone or in combination with anastrozole: geometric mean tamoxifen = 94.8 ng ml(-1)and 95.3 ng ml(-1)in tamoxifen alone and combination groups, respectively; geometric mean DMT = 265.1 and 277.6 ng ml(-1)in the tamoxifen and anastrozole and tamoxifen groups, respectively.","Pharmacokinetics of anastrozole and tamoxifen alone, and in combination, during adjuvant endocrine therapy for early breast cancer in postmenopausal women: a sub-protocol of the 'Arimidex and tamoxifen alone or in combination' (ATAC) trial. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11487258/),[ng] / [ml],265.1,7330,DB01217,Anastrozole
,11487258,steady-state trough plasma concentrations,"The geometric mean steady-state trough plasma concentrations of tamoxifen and DMT were statistically equivalent in patients receiving tamoxifen alone or in combination with anastrozole: geometric mean tamoxifen = 94.8 ng ml(-1)and 95.3 ng ml(-1)in tamoxifen alone and combination groups, respectively; geometric mean DMT = 265.1 and 277.6 ng ml(-1)in the tamoxifen and anastrozole and tamoxifen groups, respectively.","Pharmacokinetics of anastrozole and tamoxifen alone, and in combination, during adjuvant endocrine therapy for early breast cancer in postmenopausal women: a sub-protocol of the 'Arimidex and tamoxifen alone or in combination' (ATAC) trial. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11487258/),[ng] / [ml],277.6,7331,DB01217,Anastrozole
,30345900,Cmax,"The results indicated that psoralen could significantly increase the Cmax (from 56.74 ± 3.17 ng/mL to 83.26 ± 6.87 ng/mL), and t1/2 (from 10.80 ± 1.05 to 14.29 ± 1.38 h) of anastrozole (p < 0.05).",Effects of psoralen on the pharmacokinetics of anastrozole in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30345900/),[ng] / [ml],56.74,13788,DB01217,Anastrozole
,30345900,Cmax,"The results indicated that psoralen could significantly increase the Cmax (from 56.74 ± 3.17 ng/mL to 83.26 ± 6.87 ng/mL), and t1/2 (from 10.80 ± 1.05 to 14.29 ± 1.38 h) of anastrozole (p < 0.05).",Effects of psoralen on the pharmacokinetics of anastrozole in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30345900/),[ng] / [ml],83.26,13789,DB01217,Anastrozole
,30345900,t1/2,"The results indicated that psoralen could significantly increase the Cmax (from 56.74 ± 3.17 ng/mL to 83.26 ± 6.87 ng/mL), and t1/2 (from 10.80 ± 1.05 to 14.29 ± 1.38 h) of anastrozole (p < 0.05).",Effects of psoralen on the pharmacokinetics of anastrozole in rats. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30345900/),h,10.80,13790,DB01217,Anastrozole
,30345900,t1/2,"The results indicated that psoralen could significantly increase the Cmax (from 56.74 ± 3.17 ng/mL to 83.26 ± 6.87 ng/mL), and t1/2 (from 10.80 ± 1.05 to 14.29 ± 1.38 h) of anastrozole (p < 0.05).",Effects of psoralen on the pharmacokinetics of anastrozole in rats. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30345900/),h,14.29,13791,DB01217,Anastrozole
,30345900,efflux ratio,Psoralen could also significantly decrease the efflux ratio of anastrozole from 1.88 to 1.32 (p < 0.05).,Effects of psoralen on the pharmacokinetics of anastrozole in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30345900/),,1.88,13792,DB01217,Anastrozole
