Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6088752,si,"Consequently the sieving coefficients of salicylic acid and antipyrine in one rat are not significantly different from one but in the other are significantly smaller than one, resulting in 0.6-0.7 in average.",Solvent drag in jejunal absorption of salicylic acid and antipyrine obtained by in situ single-pass perfusion method in rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6088752/),,0.6-0.7,1987,DB01435,Antipyrine
excess,1587055,t 1/2 beta,Amlodipine is an exception with a t 1/2 beta in excess of 30h.,Clinical pharmacokinetics of calcium antagonists. An update. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1587055/),h,30,2483,DB01435,Antipyrine
,2723115,total clearance,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),[ml] / [kg·min],3.34,3045,DB01435,Antipyrine
,2723115,total clearance,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),[ml] / [kg·min],5.63,3046,DB01435,Antipyrine
,2723115,total elimination rate constant,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),1/[h],0.400,3047,DB01435,Antipyrine
,2723115,total elimination rate constant,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),1/[h],0.721,3048,DB01435,Antipyrine
,2723115,elimination half-life,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),h,7.36,3049,DB01435,Antipyrine
,2723115,elimination half-life,"The elimination of midazolam was significantly retarded in the patients as indicated by its lower total clearance (3.34 vs. 5.63 ml/min/kg), lower total elimination rate constant (0.400 vs. 0.721 h-1), and longer elimination half-life (7.36 vs. 3.80 h).",Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),h,3.80,3050,DB01435,Antipyrine
,2723115,bioavailability,The bioavailability of oral midazolam was significantly (P less than 0.05) higher in patients than controls (76% vs. 38%).,Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),%,76,3051,DB01435,Antipyrine
,2723115,bioavailability,The bioavailability of oral midazolam was significantly (P less than 0.05) higher in patients than controls (76% vs. 38%).,Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2723115/),%,38,3052,DB01435,Antipyrine
