Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15618680,plasma total clearance (CL(tot)),"At 2 mg/kg, the plasma total clearance (CL(tot)) of AP was high (279+/-80 mL/h), and its volume of distribution (Vd(ss)) was large (245+/-99 mL).",Nonlinear pharmacokinetics of aprindine in guinea pigs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15618680/),[ml] / [h],279,75391,DB01429,Aprindine
,15618680,volume of distribution (Vd(ss)),"At 2 mg/kg, the plasma total clearance (CL(tot)) of AP was high (279+/-80 mL/h), and its volume of distribution (Vd(ss)) was large (245+/-99 mL).",Nonlinear pharmacokinetics of aprindine in guinea pigs. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15618680/),ml,245,75392,DB01429,Aprindine
,1233249,half-lives,"Disappearance of aprindine from plasma was slow, by far exceeding the half-lives found in healthy volunteers, and ranging from 20 to over 100 h.","Absorption, half-life, and toxicity of oral aprindine in patients with acute myocardial infarction. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1233249/),h,20 to over 100,99726,DB01429,Aprindine
,2437934,maximal plasma concentration,Oral administration of aprindine in a single dose of 100-150 mg resulted in a mean maximal plasma concentration of 0.77 microgram/ml and a mean elimination half-life of 26.5 h.,Non-linear pharmacokinetics of aprindine hydrochloride in oral administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2437934/),[μg] / [ml],0.77,106200,DB01429,Aprindine
,2437934,elimination half-life,Oral administration of aprindine in a single dose of 100-150 mg resulted in a mean maximal plasma concentration of 0.77 microgram/ml and a mean elimination half-life of 26.5 h.,Non-linear pharmacokinetics of aprindine hydrochloride in oral administration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2437934/),h,26.5,106201,DB01429,Aprindine
,2437934,steady-state minimal plasma concentration,The mean steady-state minimal plasma concentration with a 10 mg dosage was 0.28 microgram/ml.,Non-linear pharmacokinetics of aprindine hydrochloride in oral administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2437934/),[μg] / [ml],0.28,106202,DB01429,Aprindine
,1814630,clearance,"Thus, a notable difference in the clearance values of the drug was obtained between the intestinal lumen (14.8 ml/h) and the peritoneal cavity (4.94 ml/h).",Transport to intestinal lumen and peritoneal cavity of intravenously administered aprinidine in rats. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1814630/),[ml] / [h],14.8,129705,DB01429,Aprindine
,1814630,clearance,"Thus, a notable difference in the clearance values of the drug was obtained between the intestinal lumen (14.8 ml/h) and the peritoneal cavity (4.94 ml/h).",Transport to intestinal lumen and peritoneal cavity of intravenously administered aprinidine in rats. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1814630/),[ml] / [h],4.94,129706,DB01429,Aprindine
,6714286,plasma half-life (t 1/2 beta),"The mean plasma half-life (t 1/2 beta) increased from 8.0 +/- 2.1 h (SD) after a 25 mg dose of 9.4 +/- 2.9 h after 50 mg and to 15.8 +/- 2.6 h after 100 mg, with a decrease in total plasma clearance (Cl/F) and volume of distribution at steady state (V dss/F) and during beta-phase (V d beta/F).",Dose-dependent pharmacokinetics of aprindine in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6714286/),h,8.0,194664,DB01429,Aprindine
,6714286,plasma half-life (t 1/2 beta),"The mean plasma half-life (t 1/2 beta) increased from 8.0 +/- 2.1 h (SD) after a 25 mg dose of 9.4 +/- 2.9 h after 50 mg and to 15.8 +/- 2.6 h after 100 mg, with a decrease in total plasma clearance (Cl/F) and volume of distribution at steady state (V dss/F) and during beta-phase (V d beta/F).",Dose-dependent pharmacokinetics of aprindine in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6714286/),,9.4,194665,DB01429,Aprindine
,6714286,plasma half-life (t 1/2 beta),"The mean plasma half-life (t 1/2 beta) increased from 8.0 +/- 2.1 h (SD) after a 25 mg dose of 9.4 +/- 2.9 h after 50 mg and to 15.8 +/- 2.6 h after 100 mg, with a decrease in total plasma clearance (Cl/F) and volume of distribution at steady state (V dss/F) and during beta-phase (V d beta/F).",Dose-dependent pharmacokinetics of aprindine in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6714286/),h,15.8,194666,DB01429,Aprindine
