Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15317826,clearance,"Population PK estimates for clearance, central volume, and peripheral volume were 22.0 L/h, 11.0 L, and 13.0 L, respectively (coefficients of variation [CVs] </= 10%).",Pharmacokinetics and pharmacodynamics of argatroban in combination with a platelet glycoprotein IIB/IIIA receptor antagonist in patients undergoing percutaneous coronary intervention. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15317826/),[l] / [h],22.0,4975,DB00278,Argatroban
,15317826,central volume,"Population PK estimates for clearance, central volume, and peripheral volume were 22.0 L/h, 11.0 L, and 13.0 L, respectively (coefficients of variation [CVs] </= 10%).",Pharmacokinetics and pharmacodynamics of argatroban in combination with a platelet glycoprotein IIB/IIIA receptor antagonist in patients undergoing percutaneous coronary intervention. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15317826/),l,11.0,4976,DB00278,Argatroban
,15317826,peripheral volume,"Population PK estimates for clearance, central volume, and peripheral volume were 22.0 L/h, 11.0 L, and 13.0 L, respectively (coefficients of variation [CVs] </= 10%).",Pharmacokinetics and pharmacodynamics of argatroban in combination with a platelet glycoprotein IIB/IIIA receptor antagonist in patients undergoing percutaneous coronary intervention. ,V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15317826/),l,13.0,4977,DB00278,Argatroban
,10730687,clearance,"Mean +/- SD clearance, steady-state volume of distribution, and half-life values (40 healthy volunteers) were 4.7 +/- 1.1 ml/minute/kg, 179.5 +/- 33.0 ml/kg, and 46.2 +/- 10.2 minutes, respectively.","The pharmacokinetics and pharmacodynamics of argatroban: effects of age, gender, and hepatic or renal dysfunction. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10730687/),[ml] / [kg·min],4.7,27115,DB00278,Argatroban
,10730687,steady-state volume of distribution,"Mean +/- SD clearance, steady-state volume of distribution, and half-life values (40 healthy volunteers) were 4.7 +/- 1.1 ml/minute/kg, 179.5 +/- 33.0 ml/kg, and 46.2 +/- 10.2 minutes, respectively.","The pharmacokinetics and pharmacodynamics of argatroban: effects of age, gender, and hepatic or renal dysfunction. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10730687/),[ml] / [kg],179.5,27116,DB00278,Argatroban
,10730687,half-life,"Mean +/- SD clearance, steady-state volume of distribution, and half-life values (40 healthy volunteers) were 4.7 +/- 1.1 ml/minute/kg, 179.5 +/- 33.0 ml/kg, and 46.2 +/- 10.2 minutes, respectively.","The pharmacokinetics and pharmacodynamics of argatroban: effects of age, gender, and hepatic or renal dysfunction. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10730687/),min,46.2,27117,DB00278,Argatroban
,26792118,plasma half-life,Median argatroban plasma half-life was 2.7 hours (interquartile range 1.8 to 7.3).,Argatroban pharmacokinetics and pharmacodynamics in critically ill cardiac surgical patients with suspected heparin-induced thrombocytopenia. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26792118/),h,2.7,60472,DB00278,Argatroban
,20421511,clearance,The clearance in a typical 20-kg pediatric patient was 3.1 L/h.,Pharmacokinetic and pharmacodynamic basis for effective argatroban dosing in pediatrics. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20421511/),[l] / [h],3.1,81350,DB00278,Argatroban
,20421511,clearance,"In 4 patients with elevated serum bilirubin levels, the estimated clearance was 0.6 L/h.",Pharmacokinetic and pharmacodynamic basis for effective argatroban dosing in pediatrics. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20421511/),[l] / [h],0.6,81351,DB00278,Argatroban
,9363360,late gain loss,"In the clinical study, the mean late gain loss was 8.2 and 27.3% in the argatroban and control groups, respectively (P < 0.05).",Effects of locally administered argatroban on restenosis after balloon angioplasty: experimental and clinical study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9363360/),%,8.2,88131,DB00278,Argatroban
