Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30623677,globule size,"After various evaluation test, the globule size and zeta potential for optimized formulation (SES4) were found to be 137.9 nm and -28.8 mV respectively.","Self-emulsifying drug delivery system for enhanced solubility of asenapine maleate: design, characterization, in vitro, ex vivo and in vivo appraisal. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30623677/),nm,137.9,52341,DB06216,Asenapine
,30623677,zeta potential,"After various evaluation test, the globule size and zeta potential for optimized formulation (SES4) were found to be 137.9 nm and -28.8 mV respectively.","Self-emulsifying drug delivery system for enhanced solubility of asenapine maleate: design, characterization, in vitro, ex vivo and in vivo appraisal. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30623677/),mv,-,52342,DB06216,Asenapine
,30623677,zeta potential,"After various evaluation test, the globule size and zeta potential for optimized formulation (SES4) were found to be 137.9 nm and -28.8 mV respectively.","Self-emulsifying drug delivery system for enhanced solubility of asenapine maleate: design, characterization, in vitro, ex vivo and in vivo appraisal. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30623677/),mv,28.8,52343,DB06216,Asenapine
,30623677,bioavailability,The bioavailability increased by 1.64 folds with 16.55 ± 3.11% as extend of lymphatic absorption (r = 0.9732).,"Self-emulsifying drug delivery system for enhanced solubility of asenapine maleate: design, characterization, in vitro, ex vivo and in vivo appraisal. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30623677/),%,16.55,52344,DB06216,Asenapine
,33734167,peak-to-trough asenapine plasma concentration ratio,"During daily application of HP-3070, steady-state PK was reached within approximately 72 hours after initiating daily dosing and was characterized by peak-to-trough asenapine plasma concentration ratio of approximately 1.5.",Pharmacokinetic Profile of the Asenapine Transdermal System (HP-3070). ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33734167/),,1.5,71329,DB06216,Asenapine
<,27625143,oral,"Its oral and sublingual bioavailability is <2% and 35%, respectively, due to first pass metabolism and poor solubility.",Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),%,2,72435,DB06216,Asenapine
<,27625143,bioavailability,"Its oral and sublingual bioavailability is <2% and 35%, respectively, due to first pass metabolism and poor solubility.",Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),%,2,72436,DB06216,Asenapine
,27625143,bioavailability,"Its oral and sublingual bioavailability is <2% and 35%, respectively, due to first pass metabolism and poor solubility.",Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),%,35,72437,DB06216,Asenapine
,27625143,Maximum % drug diffusion,Maximum % drug diffusion was obtained at the end of 120 min (99.1 ± 0.44%w/v).,Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),[%w] / [v],99.1,72438,DB06216,Asenapine
,27625143,Dissolution,Dissolution in simulated nasal fluid was 92.33 ± 0.15%w/v at the end of 120 min.,Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),[%w] / [v],92.33,72439,DB06216,Asenapine
,27625143,Cmax,Cmax for nasal gel was found to be more (9 ng/ml) as compared to AM-HPβCD (5.5 ng/mL) and oral standard solution (2 ng/ml).,Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),[ng] / [ml],9,72440,DB06216,Asenapine
,27625143,Cmax,Cmax for nasal gel was found to be more (9 ng/ml) as compared to AM-HPβCD (5.5 ng/mL) and oral standard solution (2 ng/ml).,Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),[ng] / [ml],5.5,72441,DB06216,Asenapine
,27625143,Cmax,Cmax for nasal gel was found to be more (9 ng/ml) as compared to AM-HPβCD (5.5 ng/mL) and oral standard solution (2 ng/ml).,Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),[ng] / [ml],2,72442,DB06216,Asenapine
,27625143,Tmax,Tmax was found to be 1.5 h.,Pharmacodynamic and pharmacokinetic investigation of cyclodextrin-mediated asenapine maleate in situ nasal gel for improved bioavailability. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27625143/),h,1.5,72443,DB06216,Asenapine
,28737445,recovery,The method showed good linearity (10-500 ng/ml) with recovery 83-102%.,Preclinical pharmacokinetics and biodistribution studies of asenapine maleate using novel and sensitive RP-HPLC method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28737445/),%,83-102,76829,DB06216,Asenapine
,28737445,half-life,"In pharmacokinetics study, half-life was 32.74 ± 7.51 h due to slow elimination of drug.",Preclinical pharmacokinetics and biodistribution studies of asenapine maleate using novel and sensitive RP-HPLC method. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28737445/),h,32.74,76830,DB06216,Asenapine
,29126941,zeta potential,"The best formulation was characterized for particle size (184.2±5.59nm), zeta potential (18.83±1.18mV), entrapment efficiency (83.52±2.59%) and surface morphology (spherical and smooth).",Glycol chitosan functionalized asenapine nanostructured lipid carriers for targeted brain delivery: Pharmacokinetic and teratogenic assessment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29126941/),mv,18.83,87321,DB06216,Asenapine
