Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2233283,peak plasma concentration (Cmax,"For plasma phenylalanine following capsule ingestion, there was a smaller peak plasma concentration (Cmax; 103.3 v 126.6 mumol/L), a longer time to peak concentration (tmax; 108.6 v 36.6 minutes), but no significant difference in the area under the plasma concentration-time curve (AUC) (7,656 v 7,200 mumol.min/L) when compared with solution ingestion.",Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),[μM] / [l],103.3,60272,DB00168,Aspartame
,2233283,peak plasma concentration (Cmax,"For plasma phenylalanine following capsule ingestion, there was a smaller peak plasma concentration (Cmax; 103.3 v 126.6 mumol/L), a longer time to peak concentration (tmax; 108.6 v 36.6 minutes), but no significant difference in the area under the plasma concentration-time curve (AUC) (7,656 v 7,200 mumol.min/L) when compared with solution ingestion.",Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),[μM] / [l],126.6,60273,DB00168,Aspartame
,2233283,time to peak concentration (tmax,"For plasma phenylalanine following capsule ingestion, there was a smaller peak plasma concentration (Cmax; 103.3 v 126.6 mumol/L), a longer time to peak concentration (tmax; 108.6 v 36.6 minutes), but no significant difference in the area under the plasma concentration-time curve (AUC) (7,656 v 7,200 mumol.min/L) when compared with solution ingestion.",Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),min,108.6,60274,DB00168,Aspartame
,2233283,time to peak concentration (tmax,"For plasma phenylalanine following capsule ingestion, there was a smaller peak plasma concentration (Cmax; 103.3 v 126.6 mumol/L), a longer time to peak concentration (tmax; 108.6 v 36.6 minutes), but no significant difference in the area under the plasma concentration-time curve (AUC) (7,656 v 7,200 mumol.min/L) when compared with solution ingestion.",Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),min,36.6,60275,DB00168,Aspartame
,2233283,area under the plasma concentration-time curve (AUC),"For plasma phenylalanine following capsule ingestion, there was a smaller peak plasma concentration (Cmax; 103.3 v 126.6 mumol/L), a longer time to peak concentration (tmax; 108.6 v 36.6 minutes), but no significant difference in the area under the plasma concentration-time curve (AUC) (7,656 v 7,200 mumol.min/L) when compared with solution ingestion.",Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),[min·μM] / [l],"7,656",60276,DB00168,Aspartame
,2233283,area under the plasma concentration-time curve (AUC),"For plasma phenylalanine following capsule ingestion, there was a smaller peak plasma concentration (Cmax; 103.3 v 126.6 mumol/L), a longer time to peak concentration (tmax; 108.6 v 36.6 minutes), but no significant difference in the area under the plasma concentration-time curve (AUC) (7,656 v 7,200 mumol.min/L) when compared with solution ingestion.",Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),[min·μM] / [l],"7,200",60277,DB00168,Aspartame
,2233283,maximum plasma Phe/LNAA ratio,The maximum plasma Phe/LNAA ratio was smaller (0.16 v 0.19) with capsules.,Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),,0.16,60278,DB00168,Aspartame
,2233283,maximum plasma Phe/LNAA ratio,The maximum plasma Phe/LNAA ratio was smaller (0.16 v 0.19) with capsules.,Bioavailability of phenylalanine and aspartate from aspartame (20 mg/kg) in capsules and solution. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2233283/),,0.19,60279,DB00168,Aspartame
,2502388,Peak plasma L-phenylalanine concentrations,Peak plasma L-phenylalanine concentrations of approximately 2000 mumoles/l occurred 1-4 h after the highest dose of L-phenylalanine or aspartame.,"Lack of effect of aspartame or of L-phenylalanine on photically induced myoclonus in the baboon, Papio papio. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2502388/),[mumoles] / [l],2000,68548,DB00168,Aspartame
,3574137,Peak plasma phenylalanine levels,"Peak plasma phenylalanine levels were significantly higher (191 +/- 65.4 v 117 +/- 39.5 mumol/L, mean +/- SD) and were reached significantly earlier (32 +/- 15 v 123 +/- 74 minutes) when aspartame was administered in solution than when it was administered in capsules.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),[μM] / [l],191,98712,DB00168,Aspartame
,3574137,Peak plasma phenylalanine levels,"Peak plasma phenylalanine levels were significantly higher (191 +/- 65.4 v 117 +/- 39.5 mumol/L, mean +/- SD) and were reached significantly earlier (32 +/- 15 v 123 +/- 74 minutes) when aspartame was administered in solution than when it was administered in capsules.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),[μM] / [l],117,98713,DB00168,Aspartame
,3574137,area under the four-hour plasma phenylalanine concentration-time curve,"The area under the four-hour plasma phenylalanine concentration-time curve was significantly higher (15,340 +/- 4,820 v 8,465 +/- 3,356 mumol/L X min) when aspartame was ingested in solution.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),[μM] / [l·min],"15,340",98714,DB00168,Aspartame
,3574137,area under the four-hour plasma phenylalanine concentration-time curve,"The area under the four-hour plasma phenylalanine concentration-time curve was significantly higher (15,340 +/- 4,820 v 8,465 +/- 3,356 mumol/L X min) when aspartame was ingested in solution.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),[μM] / [l·min],"8,465",98715,DB00168,Aspartame
,3574137,peak plasma aspartate concentrations,"Similarly, peak plasma aspartate concentrations were significantly higher 26.2 +/- 16.3 v 10.4 +/- 5.0 mumol/L) and were reached significantly earlier (30 +/- 14 v 106 +/- 61.3 min) when aspartame was administered in solution.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),[μM] / [l],26.2,98716,DB00168,Aspartame
,3574137,peak plasma aspartate concentrations,"Similarly, peak plasma aspartate concentrations were significantly higher 26.2 +/- 16.3 v 10.4 +/- 5.0 mumol/L) and were reached significantly earlier (30 +/- 14 v 106 +/- 61.3 min) when aspartame was administered in solution.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),[μM] / [l],10.4,98717,DB00168,Aspartame
,3574137,peak plasma aspartate concentrations,"Similarly, peak plasma aspartate concentrations were significantly higher 26.2 +/- 16.3 v 10.4 +/- 5.0 mumol/L) and were reached significantly earlier (30 +/- 14 v 106 +/- 61.3 min) when aspartame was administered in solution.",Plasma amino acid concentrations in normal adults administered aspartame in capsules or solution: lack of bioequivalence. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3574137/),,106,98718,DB00168,Aspartame
,2197852,area under the plasma concentration-time curve (AUC),"Evaluation of the area under the plasma concentration-time curve (AUC) for phenylalanine also showed no significant difference between groups (197 +/- 49.1 vs 182 +/- 28.3 mumol.L-1.h for aspartame alone and aspartame plus sucrose, respectively).",Effect of sucrose on the metabolic disposition of aspartame. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2197852/),[h·μM] / [l],197,171432,DB00168,Aspartame
,2197852,area under the plasma concentration-time curve (AUC),"Evaluation of the area under the plasma concentration-time curve (AUC) for phenylalanine also showed no significant difference between groups (197 +/- 49.1 vs 182 +/- 28.3 mumol.L-1.h for aspartame alone and aspartame plus sucrose, respectively).",Effect of sucrose on the metabolic disposition of aspartame. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2197852/),[h·μM] / [l],182,171433,DB00168,Aspartame
,8670556,maximum concentration (Cmax),Baseline concentrations of phenylalanine (the main metabolite of aspartame) rose after ingestion with a significantly higher maximum concentration (Cmax) (81.3 vs.,Aspartame pharmacokinetics - the effect of ageing. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8670556/),,81.3,190467,DB00168,Aspartame
,8670556,area under the plasma concentration-time curve extrapolated to infinity AUC 9(0-infinity),"63.3 micromol/1, p<0.01) and area under the plasma concentration-time curve extrapolated to infinity AUC 9(0-infinity)(518.7 vs. 353.5 micromol . h/l, p<0.01) in the elderly group.",Aspartame pharmacokinetics - the effect of ageing. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8670556/),[h·μM] / [l],518.7,190468,DB00168,Aspartame
,8670556,area under the plasma concentration-time curve extrapolated to infinity AUC 9(0-infinity),"63.3 micromol/1, p<0.01) and area under the plasma concentration-time curve extrapolated to infinity AUC 9(0-infinity)(518.7 vs. 353.5 micromol . h/l, p<0.01) in the elderly group.",Aspartame pharmacokinetics - the effect of ageing. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8670556/),[h·μM] / [l],353.5,190469,DB00168,Aspartame
,8670556,volume of distribution (V),The higher concentrations reflected a significant fall in volume of distribution (V) from 2.03 to 1.59 1/kg (p <0.05) and clearance (CL) from 7.3 to 4.9 ml/min/kg (p <0.005) in the elderly group.,Aspartame pharmacokinetics - the effect of ageing. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8670556/),[1] / [kg],2.03 to 1.59,190470,DB00168,Aspartame
,8670556,clearance (CL),The higher concentrations reflected a significant fall in volume of distribution (V) from 2.03 to 1.59 1/kg (p <0.05) and clearance (CL) from 7.3 to 4.9 ml/min/kg (p <0.005) in the elderly group.,Aspartame pharmacokinetics - the effect of ageing. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8670556/),[ml] / [kg·min],7.3 to 4.9,190471,DB00168,Aspartame
,8670556,elimination half life,The greater effect on CL than on V resulted in a small but non-significant rise in elimination half life (3.5 to 3.9 hours).,Aspartame pharmacokinetics - the effect of ageing. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8670556/),h,3.5 to 3.9,190472,DB00168,Aspartame
<,22139694,friability,The tablets' hardness was maintained in the range of 2-3 kg and friability was <1% for all batches.,Formulation and in vivo evaluation of ondansetron orally disintegrating tablets using different superdisintegrants. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22139694/),%,1,191828,DB00168,Aspartame
,1553388,Cmaxs,"Mean PHE Cmaxs ranged from 73.6 to 1,161 nmol/ml in the rat, and from 78.6 to 1,967 nmol/ml in the mouse.",Plasma concentrations and pharmacokinetics of phenylalanine in rats and mice administered aspartame. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553388/),[nM] / [ml],"73.6 to 1,161",245605,DB00168,Aspartame
,1553388,Cmaxs,"Mean PHE Cmaxs ranged from 73.6 to 1,161 nmol/ml in the rat, and from 78.6 to 1,967 nmol/ml in the mouse.",Plasma concentrations and pharmacokinetics of phenylalanine in rats and mice administered aspartame. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553388/),[nM] / [ml],"78.6 to 1,967",245606,DB00168,Aspartame
,1553388,Cmaxs,"TYR Cmaxs ranged from 91.6 to 502 nmol/ml and from 89.2 to 792 nmol/ml in the rat and mouse, respectively.",Plasma concentrations and pharmacokinetics of phenylalanine in rats and mice administered aspartame. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553388/),[nM] / [ml],91.6 to 502,245607,DB00168,Aspartame
,1553388,Cmaxs,"TYR Cmaxs ranged from 91.6 to 502 nmol/ml and from 89.2 to 792 nmol/ml in the rat and mouse, respectively.",Plasma concentrations and pharmacokinetics of phenylalanine in rats and mice administered aspartame. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553388/),[nM] / [ml],89.2 to 792,245608,DB00168,Aspartame
,1553388,Peak plasma PHE/LNAA ratios,Peak plasma PHE/LNAA ratios ranged from 0.112 to 1.117 in rats and from 0.121 to 1.769 in mice.,Plasma concentrations and pharmacokinetics of phenylalanine in rats and mice administered aspartame. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553388/),,0.112 to 1.117,245609,DB00168,Aspartame
,1553388,Peak plasma PHE/LNAA ratios,Peak plasma PHE/LNAA ratios ranged from 0.112 to 1.117 in rats and from 0.121 to 1.769 in mice.,Plasma concentrations and pharmacokinetics of phenylalanine in rats and mice administered aspartame. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553388/),,0.121 to 1.769,245610,DB00168,Aspartame
,3623338,total urinary D,Mean (+/- SD) total urinary DKP excreted during the first 24-hr period after dosing was 6.68 +/- 1.30 mg (4.83 +/- 0.23% of the ingested DKP dose).,Plasma and urine diketopiperazine concentrations in normal adults ingesting large quantities of aspartame. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3623338/),mg,6.68,247025,DB00168,Aspartame
,3623338,excreted,Mean (+/- SD) total urinary DKP excreted during the first 24-hr period after dosing was 6.68 +/- 1.30 mg (4.83 +/- 0.23% of the ingested DKP dose).,Plasma and urine diketopiperazine concentrations in normal adults ingesting large quantities of aspartame. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3623338/),mg,6.68,247026,DB00168,Aspartame
,3623338,excreted,Mean (+/- SD) total urinary DKP excreted during the first 24-hr period after dosing was 6.68 +/- 1.30 mg (4.83 +/- 0.23% of the ingested DKP dose).,Plasma and urine diketopiperazine concentrations in normal adults ingesting large quantities of aspartame. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3623338/),%,4.83,247027,DB00168,Aspartame
