Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29976060,bioavailability,Pharmacokinetic studies in rats showed an increase in the bioavailability of peptide 12 > 70-fold (from 0.58 ± 0.11% to 43.8 ± 14.9%) after applying the LPCM method to peptide 12 and converting it to the prodrug 12P.,Enhancing Oral Bioavailability of Cyclic RGD Hexa-peptides by the Lipophilic Prodrug Charge Masking Approach: Redirection of Peptide Intestinal Permeability from a Paracellular to Transcellular Pathway. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29976060/),%,0.58,1759,DB00335,Atenolol
,29976060,bioavailability,Pharmacokinetic studies in rats showed an increase in the bioavailability of peptide 12 > 70-fold (from 0.58 ± 0.11% to 43.8 ± 14.9%) after applying the LPCM method to peptide 12 and converting it to the prodrug 12P.,Enhancing Oral Bioavailability of Cyclic RGD Hexa-peptides by the Lipophilic Prodrug Charge Masking Approach: Redirection of Peptide Intestinal Permeability from a Paracellular to Transcellular Pathway. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29976060/),%,43.8,1760,DB00335,Atenolol
,14602188,area under the curve (AUC),"The area under the curve (AUC) was significantly higher in the enhancer group (12,402+/-3061 ng/ml.h) than that in the control group (8507+/-2092 ng/ml.h), showing about 46% increased bioavailability (P<0.05).",Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),[ng] / [h·ml],"12,402",2643,DB00335,Atenolol
,14602188,area under the curve (AUC),"The area under the curve (AUC) was significantly higher in the enhancer group (12,402+/-3061 ng/ml.h) than that in the control group (8507+/-2092 ng/ml.h), showing about 46% increased bioavailability (P<0.05).",Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),[ng] / [h·ml],8507,2644,DB00335,Atenolol
,14602188,C(max),"The average C(max) was increased in the enhancer group (1361+/-340 ng/ml) compared with the control group (1168+/-293 ng/ml), but not significantly.",Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),[ng] / [ml],1361,2645,DB00335,Atenolol
,14602188,C(max),"The average C(max) was increased in the enhancer group (1361+/-340 ng/ml) compared with the control group (1168+/-293 ng/ml), but not significantly.",Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),[ng] / [ml],1168,2646,DB00335,Atenolol
,14602188,T(max),The T(max) was significantly decreased in the enhancer group (1.3+/-0.36 h) compared with the control group (2.0+/-0.51 h).,Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),h,1.3,2647,DB00335,Atenolol
,14602188,T(max),The T(max) was significantly decreased in the enhancer group (1.3+/-0.36 h) compared with the control group (2.0+/-0.51 h).,Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),h,2.0,2648,DB00335,Atenolol
,14602188,absolute bioavailability,"The absolute bioavailability was 19.7% in the control group, 28.6% in the enhancer group and 77.4% in the oral administration group compared with IV the group.",Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),%,19.7,2649,DB00335,Atenolol
,14602188,absolute bioavailability,"The absolute bioavailability was 19.7% in the control group, 28.6% in the enhancer group and 77.4% in the oral administration group compared with IV the group.",Enhanced bioavailability of atenolol by transdermal administration of the ethylene-vinyl acetate matrix in rabbits. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14602188/),%,28.6,2650,DB00335,Atenolol
