Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27518170,Cmax,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],226,12854,DB00289,Atomoxetine
,27518170,Cmax,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],386,12855,DB00289,Atomoxetine
,27518170,AUC0-∞,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],1580,12856,DB00289,Atomoxetine
,27518170,AUC0-∞,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],8060,12857,DB00289,Atomoxetine
,27518170,Cmax,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],707,12858,DB00289,Atomoxetine
,27518170,AUC0-∞,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],212,12859,DB00289,Atomoxetine
,27518170,AUC0-∞,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],5750,12860,DB00289,Atomoxetine
,27518170,AUC0-∞,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],3860,12861,DB00289,Atomoxetine
,15788540,kinact,"We have predicted the pharmacokinetic consequences of CYP2D6 inactivation by paroxetine from in vitro inactivation kinetics (kinact 0.17 min(-1), unbound KI 0.315 microM), in vivo inhibitor concentrations, and an estimated CYP2D6 degradation half-life of 51 h, using a mathematical model of mechanism-based inhibition.",In vitro-in vivo extrapolation of CYP2D6 inactivation by paroxetine: prediction of nonstationary pharmacokinetics and drug interaction magnitude. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15788540/),1/[min],0.17,28928,DB00289,Atomoxetine
,15788540,unbound KI,"We have predicted the pharmacokinetic consequences of CYP2D6 inactivation by paroxetine from in vitro inactivation kinetics (kinact 0.17 min(-1), unbound KI 0.315 microM), in vivo inhibitor concentrations, and an estimated CYP2D6 degradation half-life of 51 h, using a mathematical model of mechanism-based inhibition.",In vitro-in vivo extrapolation of CYP2D6 inactivation by paroxetine: prediction of nonstationary pharmacokinetics and drug interaction magnitude. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15788540/),μM,0.315,28929,DB00289,Atomoxetine
,15788540,degradation half-life,"We have predicted the pharmacokinetic consequences of CYP2D6 inactivation by paroxetine from in vitro inactivation kinetics (kinact 0.17 min(-1), unbound KI 0.315 microM), in vivo inhibitor concentrations, and an estimated CYP2D6 degradation half-life of 51 h, using a mathematical model of mechanism-based inhibition.",In vitro-in vivo extrapolation of CYP2D6 inactivation by paroxetine: prediction of nonstationary pharmacokinetics and drug interaction magnitude. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15788540/),h,51,28930,DB00289,Atomoxetine
,15788540,degradation half-life,Simulation of the sensitivities of these predictions to model inputs suggests a 2-fold underprediction of interaction magnitude when a CYP2D6 degradation half-life of 14 h (reported for rat CYP3A) is used.,In vitro-in vivo extrapolation of CYP2D6 inactivation by paroxetine: prediction of nonstationary pharmacokinetics and drug interaction magnitude. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15788540/),h,14,28931,DB00289,Atomoxetine
,27816979,AUC,"Small, but statistically significant increases in AUC values were reported for both parent drug (1,583.05 ± 1,040.29 vs. 2,111.55 ± 1,411.59 ng*h/ml) and 4-hydroxyatomoxetine-O-glucuronide (5,754.71 ± 1,235.5 vs. 6,293.17 ± 1,219.34 ng*h/ml) after combined treatment of ATX and the enzymatic inhibitor.",Evaluation of the Potential Pharmacokinetic Interaction between Atomoxetine and Fluvoxamine in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27816979/),[h·ng] / [ml],"1,583.05",29235,DB00289,Atomoxetine
,27816979,AUC,"Small, but statistically significant increases in AUC values were reported for both parent drug (1,583.05 ± 1,040.29 vs. 2,111.55 ± 1,411.59 ng*h/ml) and 4-hydroxyatomoxetine-O-glucuronide (5,754.71 ± 1,235.5 vs. 6,293.17 ± 1,219.34 ng*h/ml) after combined treatment of ATX and the enzymatic inhibitor.",Evaluation of the Potential Pharmacokinetic Interaction between Atomoxetine and Fluvoxamine in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27816979/),[h·ng] / [ml],"2,111.55",29236,DB00289,Atomoxetine
,27816979,AUC,"Small, but statistically significant increases in AUC values were reported for both parent drug (1,583.05 ± 1,040.29 vs. 2,111.55 ± 1,411.59 ng*h/ml) and 4-hydroxyatomoxetine-O-glucuronide (5,754.71 ± 1,235.5 vs. 6,293.17 ± 1,219.34 ng*h/ml) after combined treatment of ATX and the enzymatic inhibitor.",Evaluation of the Potential Pharmacokinetic Interaction between Atomoxetine and Fluvoxamine in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27816979/),[h·ng] / [ml],"5,754.71",29237,DB00289,Atomoxetine
,27816979,AUC,"Small, but statistically significant increases in AUC values were reported for both parent drug (1,583.05 ± 1,040.29 vs. 2,111.55 ± 1,411.59 ng*h/ml) and 4-hydroxyatomoxetine-O-glucuronide (5,754.71 ± 1,235.5 vs. 6,293.17 ± 1,219.34 ng*h/ml) after combined treatment of ATX and the enzymatic inhibitor.",Evaluation of the Potential Pharmacokinetic Interaction between Atomoxetine and Fluvoxamine in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27816979/),[h·ng] / [ml],"6,293.17",29238,DB00289,Atomoxetine
,27474159,plasma concentrations,"The plasma concentrations were 53.2 ± 67.0, 298.0 ± 390.5, and 639.3 ± 831.9 ng/mL at doses of 40 mg, 80 mg, and 120 mg, and the concentration/dose were 1.33 ± 1.67, 3.73 ± 4.88, and 5.33 ± 6.93 ng/mL/mg, respectively.",Non-Linear Pharmacokinetics of Atomoxetine in Adult Japanese Patients With ADHD. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474159/),[ng] / [ml],53.2,37077,DB00289,Atomoxetine
,27474159,plasma concentrations,"The plasma concentrations were 53.2 ± 67.0, 298.0 ± 390.5, and 639.3 ± 831.9 ng/mL at doses of 40 mg, 80 mg, and 120 mg, and the concentration/dose were 1.33 ± 1.67, 3.73 ± 4.88, and 5.33 ± 6.93 ng/mL/mg, respectively.",Non-Linear Pharmacokinetics of Atomoxetine in Adult Japanese Patients With ADHD. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474159/),[ng] / [ml],298.0,37078,DB00289,Atomoxetine
,27474159,plasma concentrations,"The plasma concentrations were 53.2 ± 67.0, 298.0 ± 390.5, and 639.3 ± 831.9 ng/mL at doses of 40 mg, 80 mg, and 120 mg, and the concentration/dose were 1.33 ± 1.67, 3.73 ± 4.88, and 5.33 ± 6.93 ng/mL/mg, respectively.",Non-Linear Pharmacokinetics of Atomoxetine in Adult Japanese Patients With ADHD. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474159/),[ng] / [ml],639.3,37079,DB00289,Atomoxetine
,27474159,concentration/dose,"The plasma concentrations were 53.2 ± 67.0, 298.0 ± 390.5, and 639.3 ± 831.9 ng/mL at doses of 40 mg, 80 mg, and 120 mg, and the concentration/dose were 1.33 ± 1.67, 3.73 ± 4.88, and 5.33 ± 6.93 ng/mL/mg, respectively.",Non-Linear Pharmacokinetics of Atomoxetine in Adult Japanese Patients With ADHD. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474159/),[ng] / [mg·ml],1.33,37080,DB00289,Atomoxetine
,27474159,concentration/dose,"The plasma concentrations were 53.2 ± 67.0, 298.0 ± 390.5, and 639.3 ± 831.9 ng/mL at doses of 40 mg, 80 mg, and 120 mg, and the concentration/dose were 1.33 ± 1.67, 3.73 ± 4.88, and 5.33 ± 6.93 ng/mL/mg, respectively.",Non-Linear Pharmacokinetics of Atomoxetine in Adult Japanese Patients With ADHD. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474159/),[ng] / [mg·ml],3.73,37081,DB00289,Atomoxetine
,27474159,concentration/dose,"The plasma concentrations were 53.2 ± 67.0, 298.0 ± 390.5, and 639.3 ± 831.9 ng/mL at doses of 40 mg, 80 mg, and 120 mg, and the concentration/dose were 1.33 ± 1.67, 3.73 ± 4.88, and 5.33 ± 6.93 ng/mL/mg, respectively.",Non-Linear Pharmacokinetics of Atomoxetine in Adult Japanese Patients With ADHD. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474159/),[ng] / [mg·ml],5.33,37082,DB00289,Atomoxetine
