Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6419592,plasma disappearance half-time,Single-dose kinetic studies using isotopically labelled gold show that the plasma disappearance half-time for gold sodium thiomalate is relatively rapid (approximately six days) compared with 17 days for auranofin.,Auranofin versus injectable gold. Comparison of pharmacokinetic properties. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6419592/),d,six,6186,DB00995,Auranofin
,6419592,plasma disappearance half-time,Single-dose kinetic studies using isotopically labelled gold show that the plasma disappearance half-time for gold sodium thiomalate is relatively rapid (approximately six days) compared with 17 days for auranofin.,Auranofin versus injectable gold. Comparison of pharmacokinetic properties. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6419592/),d,17,6187,DB00995,Auranofin
,32333325,half maximal effective concentration (EC50),Selonsertib half maximal effective concentration (EC50) in human whole blood was determined to be 56 ng/mL.,"Pharmacokinetics, Safety, and Tolerability of Selonsertib, an Apoptosis Signal-Regulating Kinase 1 (ASK1) Inhibitor, Following First-in-Human Single and Multiple Ascending Doses in Healthy Subjects. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32333325/),[ng] / [ml],56,43240,DB00995,Auranofin
,2348424,terminal half-lives,"The mean terminal half-lives were 7.6 days (blood), 15 days (plasma) and 6.5 days (bile).",Pharmacokinetics of auranofin a single dose study in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2348424/),d,7.6,44725,DB00995,Auranofin
,2348424,terminal half-lives,"The mean terminal half-lives were 7.6 days (blood), 15 days (plasma) and 6.5 days (bile).",Pharmacokinetics of auranofin a single dose study in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2348424/),d,15,44726,DB00995,Auranofin
,2348424,terminal half-lives,"The mean terminal half-lives were 7.6 days (blood), 15 days (plasma) and 6.5 days (bile).",Pharmacokinetics of auranofin a single dose study in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2348424/),d,6.5,44727,DB00995,Auranofin
greater,3082559,bioavailable,"Furthermore, intramuscularly administered gold is greater than 95% bioavailable, whereas only 20 to 30% of an orally administered dose of auranofin is absorbed.",Clinical pharmacokinetics of oral and injectable gold compounds. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3082559/),%,95,51263,DB00995,Auranofin
,2058320,Maxima,"Maxima of the mean gold concentrations in blood (140 +/- 42 ng/ml) and plasma (173 +/- 54 ng/ml) are found 2 h after oral administration of the antirheumatic agent, after 16 h in urine (43 +/- 28 ng/ml) and bile (65 +/- 50 ng/ml), and after 24 h in erythrocytes (greater than 200 ng/ml).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),[ng] / [ml],140,81613,DB00995,Auranofin
,2058320,Maxima,"Maxima of the mean gold concentrations in blood (140 +/- 42 ng/ml) and plasma (173 +/- 54 ng/ml) are found 2 h after oral administration of the antirheumatic agent, after 16 h in urine (43 +/- 28 ng/ml) and bile (65 +/- 50 ng/ml), and after 24 h in erythrocytes (greater than 200 ng/ml).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),[ng] / [ml],173,81614,DB00995,Auranofin
,2058320,Maxima,"Maxima of the mean gold concentrations in blood (140 +/- 42 ng/ml) and plasma (173 +/- 54 ng/ml) are found 2 h after oral administration of the antirheumatic agent, after 16 h in urine (43 +/- 28 ng/ml) and bile (65 +/- 50 ng/ml), and after 24 h in erythrocytes (greater than 200 ng/ml).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),[ng] / [ml],43,81615,DB00995,Auranofin
,2058320,Maxima,"Maxima of the mean gold concentrations in blood (140 +/- 42 ng/ml) and plasma (173 +/- 54 ng/ml) are found 2 h after oral administration of the antirheumatic agent, after 16 h in urine (43 +/- 28 ng/ml) and bile (65 +/- 50 ng/ml), and after 24 h in erythrocytes (greater than 200 ng/ml).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),[ng] / [ml],65,81616,DB00995,Auranofin
greater,2058320,Maxima,"Maxima of the mean gold concentrations in blood (140 +/- 42 ng/ml) and plasma (173 +/- 54 ng/ml) are found 2 h after oral administration of the antirheumatic agent, after 16 h in urine (43 +/- 28 ng/ml) and bile (65 +/- 50 ng/ml), and after 24 h in erythrocytes (greater than 200 ng/ml).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),[ng] / [ml],200,81617,DB00995,Auranofin
,2058320,terminal half-lives,"The mean terminal half-lives are 7.6 days (blood), 15 days (plasma), 5 days (erythrocytes), and 6.5 days (bile).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),d,7.6,81618,DB00995,Auranofin
,2058320,terminal half-lives,"The mean terminal half-lives are 7.6 days (blood), 15 days (plasma), 5 days (erythrocytes), and 6.5 days (bile).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),d,15,81619,DB00995,Auranofin
,2058320,terminal half-lives,"The mean terminal half-lives are 7.6 days (blood), 15 days (plasma), 5 days (erythrocytes), and 6.5 days (bile).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),d,5,81620,DB00995,Auranofin
,2058320,terminal half-lives,"The mean terminal half-lives are 7.6 days (blood), 15 days (plasma), 5 days (erythrocytes), and 6.5 days (bile).","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),d,6.5,81621,DB00995,Auranofin
,2058320,cumulative biliary gold excretion,"The cumulative biliary gold excretion within 8 days after the administration of auranofin was 1.6%, compared with 4% and 40% for renal and fecal elimination, respectively.","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),%,1.6,81622,DB00995,Auranofin
,2058320,cumulative biliary gold excretion,"The cumulative biliary gold excretion within 8 days after the administration of auranofin was 1.6%, compared with 4% and 40% for renal and fecal elimination, respectively.","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),%,4,81623,DB00995,Auranofin
,2058320,cumulative biliary gold excretion,"The cumulative biliary gold excretion within 8 days after the administration of auranofin was 1.6%, compared with 4% and 40% for renal and fecal elimination, respectively.","[Biliary, renal and fecal elimination and distribution of gold after a single oral administration of auranofin, quantified by the instrumental neutron activation analysis method]. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2058320/),%,40,81624,DB00995,Auranofin
less,1704752,limit of detection,The limit of detection was less than 1 ng of gold.,Whole body elimination routes of gold in humans after a single-dose application of the antirheumatic auranofin. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1704752/),ng,1,89160,DB00995,Auranofin
,1704752,half-lives (terminal phases),"The mean half-lives (terminal phases) are 7.6 d (blood), 23 d (plasma), and 6.5 d (bile).",Whole body elimination routes of gold in humans after a single-dose application of the antirheumatic auranofin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1704752/),d,7.6,89161,DB00995,Auranofin
,1704752,half-lives (terminal phases),"The mean half-lives (terminal phases) are 7.6 d (blood), 23 d (plasma), and 6.5 d (bile).",Whole body elimination routes of gold in humans after a single-dose application of the antirheumatic auranofin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1704752/),d,23,89162,DB00995,Auranofin
,1704752,half-lives (terminal phases),"The mean half-lives (terminal phases) are 7.6 d (blood), 23 d (plasma), and 6.5 d (bile).",Whole body elimination routes of gold in humans after a single-dose application of the antirheumatic auranofin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1704752/),d,6.5,89163,DB00995,Auranofin
,6813497,terminal half life,Gold terminal half life was 1.2-1.8 days in rat blood and plasma (measured for 7 days post dose) and 19.5 days in the dog (measured for 42 days).,Pharmacokinetics of auranofin in animals. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),d,1.2-1.8,138885,DB00995,Auranofin
,6813497,terminal half life,Gold terminal half life was 1.2-1.8 days in rat blood and plasma (measured for 7 days post dose) and 19.5 days in the dog (measured for 42 days).,Pharmacokinetics of auranofin in animals. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),d,19.5,138886,DB00995,Auranofin
,6813497,Excretion,Excretion of gold (rat and dog) was via feces (84 and 81%) urine (10 and 16%) and bile (3% of dose).,Pharmacokinetics of auranofin in animals. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),%,84,138887,DB00995,Auranofin
,6813497,Excretion,Excretion of gold (rat and dog) was via feces (84 and 81%) urine (10 and 16%) and bile (3% of dose).,Pharmacokinetics of auranofin in animals. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),%,81,138888,DB00995,Auranofin
,6813497,Excretion,Excretion of gold (rat and dog) was via feces (84 and 81%) urine (10 and 16%) and bile (3% of dose).,Pharmacokinetics of auranofin in animals. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),%,10,138889,DB00995,Auranofin
,6813497,Excretion,Excretion of gold (rat and dog) was via feces (84 and 81%) urine (10 and 16%) and bile (3% of dose).,Pharmacokinetics of auranofin in animals. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),%,16,138890,DB00995,Auranofin
,6813497,Excretion,Excretion of gold (rat and dog) was via feces (84 and 81%) urine (10 and 16%) and bile (3% of dose).,Pharmacokinetics of auranofin in animals. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813497/),%,3,138891,DB00995,Auranofin
,8835565,concentrations required for 50% inhibition (EC50),Data from the single dose study revealed that the mean (+/- SD) of the concentrations required for 50% inhibition (EC50) of platelet derived TXB2 by total naproxen was 7.7 +/- 4.4 micrograms/ml (n = 5) and for unbound drug 25.4 +/- 22.0 ng/ml (n = 5).,Naproxen concentrations in plasma and synovial fluid and effects on prostanoid concentrations. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8835565/),[μg] / [ml],7.7,154890,DB00995,Auranofin
,8835565,unbound drug,Data from the single dose study revealed that the mean (+/- SD) of the concentrations required for 50% inhibition (EC50) of platelet derived TXB2 by total naproxen was 7.7 +/- 4.4 micrograms/ml (n = 5) and for unbound drug 25.4 +/- 22.0 ng/ml (n = 5).,Naproxen concentrations in plasma and synovial fluid and effects on prostanoid concentrations. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8835565/),[ng] / [ml],25.4,154891,DB00995,Auranofin
,6813498,blood half-life,"The blood half-life is approximately 6 days with gold sodium thiomalate, and 21 days with AF.",Comparative pharmacokinetics of parenteral and oral gold compounds. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813498/),d,6,180238,DB00995,Auranofin
,6813498,blood half-life,"The blood half-life is approximately 6 days with gold sodium thiomalate, and 21 days with AF.",Comparative pharmacokinetics of parenteral and oral gold compounds. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813498/),d,21,180239,DB00995,Auranofin
,6813498,amount,"The amount of gold retained following intravenous 195Au-labelled gold sodium thiomalate is 43% at 60 days and 25% at 250 days, but only 15% with oral radiolabeled AF 10 days after ingestion.",Comparative pharmacokinetics of parenteral and oral gold compounds. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813498/),%,43,180240,DB00995,Auranofin
,6813498,amount,"The amount of gold retained following intravenous 195Au-labelled gold sodium thiomalate is 43% at 60 days and 25% at 250 days, but only 15% with oral radiolabeled AF 10 days after ingestion.",Comparative pharmacokinetics of parenteral and oral gold compounds. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813498/),%,25,180241,DB00995,Auranofin
,6813498,amount,"The amount of gold retained following intravenous 195Au-labelled gold sodium thiomalate is 43% at 60 days and 25% at 250 days, but only 15% with oral radiolabeled AF 10 days after ingestion.",Comparative pharmacokinetics of parenteral and oral gold compounds. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813498/),%,15,180242,DB00995,Auranofin
greater,7904547,elimination half-lives,Both drugs have reported elimination half-lives of greater than 1 month.,Clinical pharmacokinetics of slow-acting antirheumatic drugs. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7904547/),month,1,193639,DB00995,Auranofin
,6432409,total body retention,Protein binding of AF occurs to a larger extent to macroglobulins than does GST and total body retention of GST is much greater than AF at six months (30% versus approximately 1%).,Comparative pharmacokinetics of triethylphosphine gold (auranofin) and gold sodium thiomalate (GST). ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6432409/),,30,197158,DB00995,Auranofin
,6432409,total body retention,Protein binding of AF occurs to a larger extent to macroglobulins than does GST and total body retention of GST is much greater than AF at six months (30% versus approximately 1%).,Comparative pharmacokinetics of triethylphosphine gold (auranofin) and gold sodium thiomalate (GST). ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6432409/),%,1,197159,DB00995,Auranofin
,6432409,total body half-lives,"While terminal serum half-lives are approximately equal, total body half-lives are 250 days for GST and 69 days for AF.",Comparative pharmacokinetics of triethylphosphine gold (auranofin) and gold sodium thiomalate (GST). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6432409/),d,250,197160,DB00995,Auranofin
,6432409,total body half-lives,"While terminal serum half-lives are approximately equal, total body half-lives are 250 days for GST and 69 days for AF.",Comparative pharmacokinetics of triethylphosphine gold (auranofin) and gold sodium thiomalate (GST). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6432409/),d,69,197161,DB00995,Auranofin
,27821451,maximum concentration in plasma (Cmax),"The mean gold maximum concentration in plasma (Cmax) at day 7 was 0.312 μg/ml and the half-life (t1/2) 35 days, so steady-state blood levels would not be reached in short-term therapy.","Phase I Clinical Trial Results of Auranofin, a Novel Antiparasitic Agent. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27821451/),[μg] / [ml],0.312,206119,DB00995,Auranofin
,27821451,half-life (t1/2),"The mean gold maximum concentration in plasma (Cmax) at day 7 was 0.312 μg/ml and the half-life (t1/2) 35 days, so steady-state blood levels would not be reached in short-term therapy.","Phase I Clinical Trial Results of Auranofin, a Novel Antiparasitic Agent. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27821451/),d,35,206120,DB00995,Auranofin
,6813473,plasma half-lives (t1/2),"195Au plasma half-lives (t1/2) ranged from 11.0-31.3 days, with 195Au detectable in plasma for about 80 days.",Single dose pharmacokinetics of auranofin in rheumatoid arthritis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813473/),d,11.0-31.3,216943,DB00995,Auranofin
,6813473,Total body t1/2,Total body t1/2 averaged 69.2+/-29.7 days.,Single dose pharmacokinetics of auranofin in rheumatoid arthritis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813473/),d,69.2,216944,DB00995,Auranofin
,6813473,stool excretion,"Cumulative stool excretion was 89%, although 72% was excreted in 10 days.",Single dose pharmacokinetics of auranofin in rheumatoid arthritis. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6813473/),%,89,216945,DB00995,Auranofin
,10886464,ka,A one-compartment open model with first-order absorption (ka for PKS=0. 5/h; ka for CAPCIL=0.3/h ) and first- order elimination.,Theophylline pharmacokinetics with concomitant steroid and gold therapy. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10886464/),1/[h],0. 5,221769,DB00995,Auranofin
,10886464,ka,A one-compartment open model with first-order absorption (ka for PKS=0. 5/h; ka for CAPCIL=0.3/h ) and first- order elimination.,Theophylline pharmacokinetics with concomitant steroid and gold therapy. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10886464/),1/[h],0.3,221770,DB00995,Auranofin
,6146687,t1/2,"In the liver tissues, gold concentrations peaked within 24 h followed by a biphasic clearance, with an initial rapid phase (t1/2 32 h) and a slow terminal phase (t 1/2 11 days).",Triethylphosphine gold: cellular uptake and disposition after single and repeated oral doses in rats. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6146687/),h,32,250928,DB00995,Auranofin
,6146687,t 1/2,"In the liver tissues, gold concentrations peaked within 24 h followed by a biphasic clearance, with an initial rapid phase (t1/2 32 h) and a slow terminal phase (t 1/2 11 days).",Triethylphosphine gold: cellular uptake and disposition after single and repeated oral doses in rats. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6146687/),d,11,250929,DB00995,Auranofin
,6146687,first order t 1/2,Renal gold concentrations continued to increase for 3 to 5 days and then decreased exponentially with a first order t 1/2 of about 7 days.,Triethylphosphine gold: cellular uptake and disposition after single and repeated oral doses in rats. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6146687/),d,7,250930,DB00995,Auranofin
,114646,serum half-life,"But, the serum half-life of the parenteral compounds is significantly shorter (5.5 days) than the oral agent (14-21 days).",Metabolism and distribution of gold compounds. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/114646/),d,5.5,260261,DB00995,Auranofin
,114646,serum half-life,"But, the serum half-life of the parenteral compounds is significantly shorter (5.5 days) than the oral agent (14-21 days).",Metabolism and distribution of gold compounds. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/114646/),d,14-21,260262,DB00995,Auranofin
