Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,20637970,T(max),"Avanafil reached a mean T(max) at 0.33 to 0.52 hour after dosing and then declined, with a mean apparent t1/2 of 5.36 to 10.66 hours.","Tolerability and pharmacokinetics of avanafil, a phosphodiesterase type 5 inhibitor: a single- and multiple-dose, double-blind, randomized, placebo-controlled, dose-escalation study in healthy Korean male volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637970/),h,0.33 to 0.52,107050,DB06237,Avanafil
,20637970,apparent t1/2,"Avanafil reached a mean T(max) at 0.33 to 0.52 hour after dosing and then declined, with a mean apparent t1/2 of 5.36 to 10.66 hours.","Tolerability and pharmacokinetics of avanafil, a phosphodiesterase type 5 inhibitor: a single- and multiple-dose, double-blind, randomized, placebo-controlled, dose-escalation study in healthy Korean male volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637970/),h,5.36 to 10.66,107051,DB06237,Avanafil
,20637970,accumulation index,"AUC and C(max) were proportional to dose, and the mean accumulation index on day 7 after a single daily dose of avanafil was 0.98.","Tolerability and pharmacokinetics of avanafil, a phosphodiesterase type 5 inhibitor: a single- and multiple-dose, double-blind, randomized, placebo-controlled, dose-escalation study in healthy Korean male volunteers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637970/),,0.98,107052,DB06237,Avanafil
,27590128,drug loading,"A formulation containing 10% Labrafil, 60% Tween 80, and 30% Transcutol HP had the highest drug loading (44.48mg/g) and an acceptable in vitro dissolution profile (96.42% within 30min).",Formulation of avanafil in a solid self-nanoemulsifying drug delivery system for enhanced oral delivery. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27590128/),[mg] / [g],44.48,150821,DB06237,Avanafil
,31231578,percent remaining,"After in vitro liver microsomes incubated for 60 min, the percent remaining of NHPPC was 42.8%, 0.8% and 42.0% in rats, dogs and human, respectively.","Pharmacokinetic, metabolic stability, plasma protein binding and CYP450s inhibition/induction assessment studies of N-(2-pyridylmethyl)-2-hydroxiymethyl-1-pyrrolidinyl-4-(3-chloro-4-methoxy-benzylamino)-5-pyrimidine-carboxamide as potential type 5 phosphodiesterase inhibitors. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31231578/),%,42.8,241773,DB06237,Avanafil
,31231578,percent remaining,"After in vitro liver microsomes incubated for 60 min, the percent remaining of NHPPC was 42.8%, 0.8% and 42.0% in rats, dogs and human, respectively.","Pharmacokinetic, metabolic stability, plasma protein binding and CYP450s inhibition/induction assessment studies of N-(2-pyridylmethyl)-2-hydroxiymethyl-1-pyrrolidinyl-4-(3-chloro-4-methoxy-benzylamino)-5-pyrimidine-carboxamide as potential type 5 phosphodiesterase inhibitors. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31231578/),%,0.8,241774,DB06237,Avanafil
,31231578,percent remaining,"After in vitro liver microsomes incubated for 60 min, the percent remaining of NHPPC was 42.8%, 0.8% and 42.0% in rats, dogs and human, respectively.","Pharmacokinetic, metabolic stability, plasma protein binding and CYP450s inhibition/induction assessment studies of N-(2-pyridylmethyl)-2-hydroxiymethyl-1-pyrrolidinyl-4-(3-chloro-4-methoxy-benzylamino)-5-pyrimidine-carboxamide as potential type 5 phosphodiesterase inhibitors. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31231578/),%,42.0,241775,DB06237,Avanafil
,31231578,intrinsic clearance,"In vitro intrinsic clearance was found to be 0.0233, 0.1204 and 0.0214 mL/min/mg protein in rat, dog and human liver microsomes of NHPPC, respectively.","Pharmacokinetic, metabolic stability, plasma protein binding and CYP450s inhibition/induction assessment studies of N-(2-pyridylmethyl)-2-hydroxiymethyl-1-pyrrolidinyl-4-(3-chloro-4-methoxy-benzylamino)-5-pyrimidine-carboxamide as potential type 5 phosphodiesterase inhibitors. ",CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31231578/),[ml] / [mg·min],0.0233,241776,DB06237,Avanafil
,31231578,intrinsic clearance,"In vitro intrinsic clearance was found to be 0.0233, 0.1204 and 0.0214 mL/min/mg protein in rat, dog and human liver microsomes of NHPPC, respectively.","Pharmacokinetic, metabolic stability, plasma protein binding and CYP450s inhibition/induction assessment studies of N-(2-pyridylmethyl)-2-hydroxiymethyl-1-pyrrolidinyl-4-(3-chloro-4-methoxy-benzylamino)-5-pyrimidine-carboxamide as potential type 5 phosphodiesterase inhibitors. ",CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31231578/),[ml] / [mg·min],0.1204,241777,DB06237,Avanafil
,31231578,intrinsic clearance,"In vitro intrinsic clearance was found to be 0.0233, 0.1204 and 0.0214 mL/min/mg protein in rat, dog and human liver microsomes of NHPPC, respectively.","Pharmacokinetic, metabolic stability, plasma protein binding and CYP450s inhibition/induction assessment studies of N-(2-pyridylmethyl)-2-hydroxiymethyl-1-pyrrolidinyl-4-(3-chloro-4-methoxy-benzylamino)-5-pyrimidine-carboxamide as potential type 5 phosphodiesterase inhibitors. ",CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31231578/),[ml] / [mg·min],0.0214,241778,DB06237,Avanafil
