Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24608633,plasma Tmax,"Axitinib was rapidly absorbed, with a median plasma Tmax of 2.2 hours and a geometric mean Cmax and half-life of 29.2 ng/ml and 10.6 hours, respectively.","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),h,2.2,5893,DB06626,Axitinib
,24608633,Cmax,"Axitinib was rapidly absorbed, with a median plasma Tmax of 2.2 hours and a geometric mean Cmax and half-life of 29.2 ng/ml and 10.6 hours, respectively.","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),[ng] / [ml],29.2,5894,DB06626,Axitinib
,24608633,half-life,"Axitinib was rapidly absorbed, with a median plasma Tmax of 2.2 hours and a geometric mean Cmax and half-life of 29.2 ng/ml and 10.6 hours, respectively.","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),h,10.6,5895,DB06626,Axitinib
,24608633,radioactivity excreted,"The median radioactivity excreted in urine, feces, and total recovery was 22.7%, 37.0%, and 59.7%, respectively.","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),%,22.7,5896,DB06626,Axitinib
,24608633,radioactivity excreted,"The median radioactivity excreted in urine, feces, and total recovery was 22.7%, 37.0%, and 59.7%, respectively.","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),%,37.0,5897,DB06626,Axitinib
,24608633,radioactivity excreted,"The median radioactivity excreted in urine, feces, and total recovery was 22.7%, 37.0%, and 59.7%, respectively.","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),%,59.7,5898,DB06626,Axitinib
,24608633,recovery,"The recovery from feces was variable across subjects (range, 2.5%-60.2%).","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),%,2.5,5899,DB06626,Axitinib
,24608633,recovery,"The recovery from feces was variable across subjects (range, 2.5%-60.2%).","Pharmacokinetics, metabolism, and excretion of [14C]axitinib, a vascular endothelial growth factor receptor tyrosine kinase inhibitor, in humans. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24608633/),%,60.2,5900,DB06626,Axitinib
,28031424,objective response rate,The objective response rate by RECIST v1.1 was 25% with responses seen at all dose levels.,The DART Study: Results from the Dose-Escalation and Expansion Cohorts Evaluating the Combination of Dalantercept plus Axitinib in Advanced Renal Cell Carcinoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28031424/),%,25,6211,DB06626,Axitinib
,28031424,progression-free survival,The overall median progression-free survival was 8.3 months.,The DART Study: Results from the Dose-Escalation and Expansion Cohorts Evaluating the Combination of Dalantercept plus Axitinib in Advanced Renal Cell Carcinoma. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28031424/),month,8.3,6212,DB06626,Axitinib
