Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25899870,flow rate,"AZ and CLT were extracted from plasma by liquid-liquid extraction technique and separated on a C18 reverse phase column using ammonium acetate (10mM, pH 4)-mixture of methanol and acetonitrile (8:92, v/v) as a mobile phase at a flow rate of 0.7mL/min.",Simultaneous determination of azilsartan and chlorthalidone in rat and human plasma by liquid chromatography-electrospray tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25899870/),[ml] / [min],0.7,7617,DB08822,Azilsartan medoxomil
,25899870,extraction recoveries,The mean extraction recoveries were found to be about 80% and no matrix effect was observed.,Simultaneous determination of azilsartan and chlorthalidone in rat and human plasma by liquid chromatography-electrospray tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25899870/),%,80,7618,DB08822,Azilsartan medoxomil
,31553134,clearance,"AZL concentrations were best fit with a 2-compartment model, and the typical value of clearance was 1.63 L/h.","Clinical Evaluation of the Tolerability and Pharmacokinetics of Azilsartan, a Potent Angiotensin Receptor Blocker, in Healthy Chinese Subjects. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31553134/),[l] / [h],1.63,11187,DB08822,Azilsartan medoxomil
,30027478,maximum plasma concentration (Cmax),"Mean maximum plasma concentration (Cmax) of azilsartan was 888.3 and 831.3 ng/mL and median time to maximum concentration (Tmax) of unchanged azilsartan was 3.0 and 4.0 h, in the 5-mg and 10-mg groups, respectively.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),[ng] / [ml],888.3,35665,DB08822,Azilsartan medoxomil
,30027478,maximum plasma concentration (Cmax),"Mean maximum plasma concentration (Cmax) of azilsartan was 888.3 and 831.3 ng/mL and median time to maximum concentration (Tmax) of unchanged azilsartan was 3.0 and 4.0 h, in the 5-mg and 10-mg groups, respectively.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),[ng] / [ml],831.3,35666,DB08822,Azilsartan medoxomil
,30027478,time to maximum concentration (Tmax),"Mean maximum plasma concentration (Cmax) of azilsartan was 888.3 and 831.3 ng/mL and median time to maximum concentration (Tmax) of unchanged azilsartan was 3.0 and 4.0 h, in the 5-mg and 10-mg groups, respectively.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),h,3.0,35667,DB08822,Azilsartan medoxomil
,30027478,time to maximum concentration (Tmax),"Mean maximum plasma concentration (Cmax) of azilsartan was 888.3 and 831.3 ng/mL and median time to maximum concentration (Tmax) of unchanged azilsartan was 3.0 and 4.0 h, in the 5-mg and 10-mg groups, respectively.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),h,4.0,35668,DB08822,Azilsartan medoxomil
,30027478,areas under the plasma concentration-time curve (AUC) from 0-24 h post-dose (AUC0-24),"Mean areas under the plasma concentration-time curve (AUC) from 0-24 h post-dose (AUC0-24) and 0 h to infinity (AUC0-inf) were 6350.3 and 6635.7 ng h/mL, respectively, in the 5-mg group, and 6871.7 and 7433.3 ng h/mL, respectively, in the 10-mg group.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),[h·ng] / [ml],6350.3,35669,DB08822,Azilsartan medoxomil
,30027478,areas under the plasma concentration-time curve (AUC) from 0-24 h post-dose (AUC0-24),"Mean areas under the plasma concentration-time curve (AUC) from 0-24 h post-dose (AUC0-24) and 0 h to infinity (AUC0-inf) were 6350.3 and 6635.7 ng h/mL, respectively, in the 5-mg group, and 6871.7 and 7433.3 ng h/mL, respectively, in the 10-mg group.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),[h·ng] / [ml],6635.7,35670,DB08822,Azilsartan medoxomil
,30027478,areas under the plasma concentration-time curve (AUC) from 0-24 h post-dose (AUC0-24),"Mean areas under the plasma concentration-time curve (AUC) from 0-24 h post-dose (AUC0-24) and 0 h to infinity (AUC0-inf) were 6350.3 and 6635.7 ng h/mL, respectively, in the 5-mg group, and 6871.7 and 7433.3 ng h/mL, respectively, in the 10-mg group.","Pharmacokinetics of a Single Dose of Azilsartan in Pediatric Patients: A Phase 3, Open-Label, Multicenter Study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30027478/),[h·ng] / [ml],6871.7,35671,DB08822,Azilsartan medoxomil
