Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27121939,bioavailability,"Following single belimumab SC doses, bioavailability was 74-82%, indicating that belimumab SC was well absorbed, and bioavailability was similar among the three SC groups.","Bioavailability, Pharmacokinetics, and Safety of Belimumab Administered Subcutaneously in Healthy Subjects. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27121939/),%,74-82,1937,DB08879,Belimumab
,24117862,bioavailability,The bioavailability of the single subcutaneous dose of 200 mg belimumab in the subjects was estimated to be 77·5%.,The pharmacokinetics and safety profiles of belimumab after single subcutaneous and intravenous doses in healthy Japanese volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24117862/),%,77·5,28951,DB08879,Belimumab
,24117862,Time to the maximum serum concentration,Time to the maximum serum concentration after subcutaneous injection was 6·5 days (median).,The pharmacokinetics and safety profiles of belimumab after single subcutaneous and intravenous doses in healthy Japanese volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24117862/),d,6·5,28952,DB08879,Belimumab
,24117862,terminal half-life,The geometric mean terminal half-life was comparable between the two administration routes (17·7 days intravenous and 15·9 days subcutaneous).,The pharmacokinetics and safety profiles of belimumab after single subcutaneous and intravenous doses in healthy Japanese volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/24117862/),d,17·7,28953,DB08879,Belimumab
,24117862,terminal half-life,The geometric mean terminal half-life was comparable between the two administration routes (17·7 days intravenous and 15·9 days subcutaneous).,The pharmacokinetics and safety profiles of belimumab after single subcutaneous and intravenous doses in healthy Japanese volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/24117862/),d,15·9,28954,DB08879,Belimumab
,23681782,terminal half-life,"The estimated population terminal half-life was 19.4 days and steady-state volume of distribution (Vss) was 5.29 L for the currently approved 10 mg/kg dose used in the Phase 3 trials, with an estimated CL of 215 mL/day.",Population pharmacokinetics of belimumab following intravenous administration in patients with systemic lupus erythematosus. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/23681782/),d,19.4,47665,DB08879,Belimumab
,23681782,steady-state volume of distribution (Vss),"The estimated population terminal half-life was 19.4 days and steady-state volume of distribution (Vss) was 5.29 L for the currently approved 10 mg/kg dose used in the Phase 3 trials, with an estimated CL of 215 mL/day.",Population pharmacokinetics of belimumab following intravenous administration in patients with systemic lupus erythematosus. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23681782/),l,5.29,47666,DB08879,Belimumab
,23681782,CL,"The estimated population terminal half-life was 19.4 days and steady-state volume of distribution (Vss) was 5.29 L for the currently approved 10 mg/kg dose used in the Phase 3 trials, with an estimated CL of 215 mL/day.",Population pharmacokinetics of belimumab following intravenous administration in patients with systemic lupus erythematosus. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23681782/),[ml] / [d],215,47667,DB08879,Belimumab
,18786258,terminal elimination half-life,"Long terminal elimination half-life (8.5 to 14.1 days), slow clearance (7 ml/day per kg), and small volume of distribution (69 to 112 ml/kg) were consistent with a fully human antibody.","Biologic activity and safety of belimumab, a neutralizing anti-B-lymphocyte stimulator (BLyS) monoclonal antibody: a phase I trial in patients with systemic lupus erythematosus. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/18786258/),d,8.5 to 14.1,48287,DB08879,Belimumab
,18786258,clearance,"Long terminal elimination half-life (8.5 to 14.1 days), slow clearance (7 ml/day per kg), and small volume of distribution (69 to 112 ml/kg) were consistent with a fully human antibody.","Biologic activity and safety of belimumab, a neutralizing anti-B-lymphocyte stimulator (BLyS) monoclonal antibody: a phase I trial in patients with systemic lupus erythematosus. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18786258/),[ml] / [d·kg],7,48288,DB08879,Belimumab
