Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24672114,relative bioavailabilities,"The mean (SD) relative bioavailabilities, as represented by AUC0-∞, of amlodipine and benazeprilat for tablets versus capsules were 1.060 (0.170) versus 0.949 (0.197), respectively.","Bioavailability study of fixed-dose tablet versus capsule formulation of amlodipine plus benazepril: A randomized, single-dose, two-sequence, two-period, open-label, crossover study in healthy volunteers. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24672114/),,1.060,19576,DB00542,Benazepril
,24672114,relative bioavailabilities,"The mean (SD) relative bioavailabilities, as represented by AUC0-∞, of amlodipine and benazeprilat for tablets versus capsules were 1.060 (0.170) versus 0.949 (0.197), respectively.","Bioavailability study of fixed-dose tablet versus capsule formulation of amlodipine plus benazepril: A randomized, single-dose, two-sequence, two-period, open-label, crossover study in healthy volunteers. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24672114/),,0.949,19577,DB00542,Benazepril
,21953651,flow rate,"After solid-phase extraction, chromatography was performed on a Luna(®) RP-C(18) (2) column with methanol-water-formic acid (65:35:1, v/v/v) as mobile phase and a flow rate of 0.4 mL/min.",Determination of enalapril and enalaprilat in small human serum quantities for pediatric trials by HPLC-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21953651/),[ml] / [min],0.4,33669,DB00542,Benazepril
,21953651,m/z transitions,"The MS was set to positive-mode electrospray ionization and multiple reaction monitoring, analyzing the m/z transitions channels 377.3 → 234.2, 349.3 → 206.1 and 425.3 → 351.2 for enalapril, enalaprilat and IS.",Determination of enalapril and enalaprilat in small human serum quantities for pediatric trials by HPLC-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21953651/),,377.3,33670,DB00542,Benazepril
,21953651,m/z transitions,"The MS was set to positive-mode electrospray ionization and multiple reaction monitoring, analyzing the m/z transitions channels 377.3 → 234.2, 349.3 → 206.1 and 425.3 → 351.2 for enalapril, enalaprilat and IS.",Determination of enalapril and enalaprilat in small human serum quantities for pediatric trials by HPLC-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21953651/),,234.2,33671,DB00542,Benazepril
,21953651,m/z transitions,"The MS was set to positive-mode electrospray ionization and multiple reaction monitoring, analyzing the m/z transitions channels 377.3 → 234.2, 349.3 → 206.1 and 425.3 → 351.2 for enalapril, enalaprilat and IS.",Determination of enalapril and enalaprilat in small human serum quantities for pediatric trials by HPLC-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21953651/),,349.3,33672,DB00542,Benazepril
,21953651,m/z transitions,"The MS was set to positive-mode electrospray ionization and multiple reaction monitoring, analyzing the m/z transitions channels 377.3 → 234.2, 349.3 → 206.1 and 425.3 → 351.2 for enalapril, enalaprilat and IS.",Determination of enalapril and enalaprilat in small human serum quantities for pediatric trials by HPLC-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21953651/),,206.1,33673,DB00542,Benazepril
,21953651,m/z transitions,"The MS was set to positive-mode electrospray ionization and multiple reaction monitoring, analyzing the m/z transitions channels 377.3 → 234.2, 349.3 → 206.1 and 425.3 → 351.2 for enalapril, enalaprilat and IS.",Determination of enalapril and enalaprilat in small human serum quantities for pediatric trials by HPLC-tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21953651/),,425.3,33674,DB00542,Benazepril
,8359184,maximum plasma concentration,The maximum plasma concentration of benazepril was found between 0.5 and 2 h after dosing (median 1 h).,Pharmacokinetics and pharmacodynamics of benazepril hydrochloride in patients with major proteinuria. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8359184/),h,0.5 and 2,66472,DB00542,Benazepril
,8359184,initial,"The elimination of benazeprilat from plasma was biphasic, with mean initial and terminal half-lives of 3.0 and 17.3 h, respectively.",Pharmacokinetics and pharmacodynamics of benazepril hydrochloride in patients with major proteinuria. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8359184/),h,3.0,66473,DB00542,Benazepril
