Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,14765546,Cmax,"After oral administration of a single dose of 24 mg betahistine mesylate to 20 healthy Chinese male volunteers, Cmax was 339.4 ng ml(-1) (range 77.3-776.4 ng ml(-1)).","LC-MS-MS analysis of 2-pyridylacetic acid, a major metabolite of betahistine: application to a pharmacokinetic study in healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14765546/),[ng] / [ml],339.4,79746,DB06698,Betahistine
,14765546,t(1/2),The t(1/2) was 5.2 h (range 2.0(-1)-11.4h).,"LC-MS-MS analysis of 2-pyridylacetic acid, a major metabolite of betahistine: application to a pharmacokinetic study in healthy volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14765546/),h,5.2,79747,DB06698,Betahistine
,14765546,AUC(0-t),The AUC(0-t) obtained was 1153.5 ng ml(-1) h (range 278.5-3150.8 ng ml(-1)).,"LC-MS-MS analysis of 2-pyridylacetic acid, a major metabolite of betahistine: application to a pharmacokinetic study in healthy volunteers. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14765546/),[h·ng] / [ml],1153.5,79748,DB06698,Betahistine
,28008227,percentage relative bioavailability,BH.2HCl-optimized buccal mucoadhesive formulation showed percentage relative bioavailability of 177%.,"Transbuccal delivery of betahistine dihydrochloride from mucoadhesive tablets with a unidirectional drug flow: in vitro, ex vivo and in vivo evaluation. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28008227/),%,177,138729,DB06698,Betahistine
,25434076,plasma half-life,Pharmacokinetic studies of betahistine have demonstrated that it has a short plasma half-life of 3-4 hours.,Formulation and performance evaluation of betahistine dihydrochloride microspheres as sustained release systems. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25434076/),h,3-4,231868,DB06698,Betahistine
,21145958,X(1),"The levels of X(1), X(2), X(3) and X(4) of optimized BHCl microcapsules are 14.42%, 50.63%, 1495rpm and 9.94%, respectively.",Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),%,14.42,252638,DB06698,Betahistine
,21145958,X(2),"The levels of X(1), X(2), X(3) and X(4) of optimized BHCl microcapsules are 14.42%, 50.63%, 1495rpm and 9.94%, respectively.",Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),%,50.63,252639,DB06698,Betahistine
,21145958,X(2),"The levels of X(1), X(2), X(3) and X(4) of optimized BHCl microcapsules are 14.42%, 50.63%, 1495rpm and 9.94%, respectively.",Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),rpm,1495,252640,DB06698,Betahistine
,21145958,X(3),"The levels of X(1), X(2), X(3) and X(4) of optimized BHCl microcapsules are 14.42%, 50.63%, 1495rpm and 9.94%, respectively.",Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),%,50.63,252641,DB06698,Betahistine
,21145958,X(3),"The levels of X(1), X(2), X(3) and X(4) of optimized BHCl microcapsules are 14.42%, 50.63%, 1495rpm and 9.94%, respectively.",Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),rpm,1495,252642,DB06698,Betahistine
,21145958,X(4),"The levels of X(1), X(2), X(3) and X(4) of optimized BHCl microcapsules are 14.42%, 50.63%, 1495rpm and 9.94%, respectively.",Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),%,9.94,252643,DB06698,Betahistine
,21145958,f(2),The calculated value of f(2) for the optimized BHCl microcapsules filled into hard gelatin capsules was 67.03 indicating that the dissolution profiles of the optimized formulation is comparable to that of the target release model.,Development and optimization of a multiple-unit controlled release formulation of a freely water soluble drug for once-daily administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21145958/),,67.03,252644,DB06698,Betahistine
