Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25707517,oral clearance,"Typical mean value of MPA oral clearance, estimated by base model (without covariates) was 0.741 L h(-1).",Variability of mycophenolic acid elimination in the renal transplant recipients – population pharmacokinetic approach. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25707517/),[l] / [h],0.741,1786,DB00612,Bisoprolol
,2439789,absolute bioavailability,Bisoprolol exhibits a high absolute bioavailability (90%) because of its nearly complete absorption (greater than 90%) and small first-pass effect (10%).,Balanced pharmacokinetics and metabolism of bisoprolol. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439789/),%,90,13263,DB00612,Bisoprolol
,2439789,plasma-elimination half-life,A long plasma-elimination half-life (10-11h) allows a once-a-day dose regimen.,Balanced pharmacokinetics and metabolism of bisoprolol. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439789/),h,10-11,13264,DB00612,Bisoprolol
,22947502,flow rate,"Reverse-phase high performance liquid chromatography (RP-HPLC) separation was accomplished on a Diamonsil C(18) column (50mm×4.6mm, 5μm) with a mobile phase composed of methanol-water-formic acid (75:25:0.01, v/v/v) at a flow rate of 0.3mL/min.",Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),[ml] / [min],0.3,33867,DB00612,Bisoprolol
,22947502,total run time,The method had a chromatographic total run time of 3min.,Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),min,3,33868,DB00612,Bisoprolol
,22947502,m/,"Multiple reacting monitoring (MRM) transitions of m/z [M+H](+) 409.1→237.9 (amlodipine), m/z [M+H](+) 326.2→116.0 (bisoprolol) and m/z [M+H](+) 277.0→203.0 (clenbuterol, IS) were used to quantify amlodipine, bisoprolol and IS, respectively.",Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),,409,33869,DB00612,Bisoprolol
,22947502,m/z,"Multiple reacting monitoring (MRM) transitions of m/z [M+H](+) 409.1→237.9 (amlodipine), m/z [M+H](+) 326.2→116.0 (bisoprolol) and m/z [M+H](+) 277.0→203.0 (clenbuterol, IS) were used to quantify amlodipine, bisoprolol and IS, respectively.",Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),,326.2,33870,DB00612,Bisoprolol
,22947502,m/z,"Multiple reacting monitoring (MRM) transitions of m/z [M+H](+) 409.1→237.9 (amlodipine), m/z [M+H](+) 326.2→116.0 (bisoprolol) and m/z [M+H](+) 277.0→203.0 (clenbuterol, IS) were used to quantify amlodipine, bisoprolol and IS, respectively.",Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),,116.0,33871,DB00612,Bisoprolol
,22947502,m/z,"Multiple reacting monitoring (MRM) transitions of m/z [M+H](+) 409.1→237.9 (amlodipine), m/z [M+H](+) 326.2→116.0 (bisoprolol) and m/z [M+H](+) 277.0→203.0 (clenbuterol, IS) were used to quantify amlodipine, bisoprolol and IS, respectively.",Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),,277.0,33872,DB00612,Bisoprolol
,22947502,m/z,"Multiple reacting monitoring (MRM) transitions of m/z [M+H](+) 409.1→237.9 (amlodipine), m/z [M+H](+) 326.2→116.0 (bisoprolol) and m/z [M+H](+) 277.0→203.0 (clenbuterol, IS) were used to quantify amlodipine, bisoprolol and IS, respectively.",Simultaneous determination of amlodipine and bisoprolol in rat plasma by a liquid chromatography/tandem mass spectrometry method and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22947502/),,203.0,33873,DB00612,Bisoprolol
,1683835,total apparent volume of distribution (Vz),"Compared to the controls, the obese subjects showed an increase in the total apparent volume of distribution (Vz) (182 vs 1351) and a decrease in Vz per kg body weight (2 vs 2.71.kg-1).",Pharmacokinetics of intravenous bisoprolol in obese and non-obese volunteers. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1683835/),,182,44916,DB00612,Bisoprolol
,1683835,total apparent volume of distribution (Vz),"Compared to the controls, the obese subjects showed an increase in the total apparent volume of distribution (Vz) (182 vs 1351) and a decrease in Vz per kg body weight (2 vs 2.71.kg-1).",Pharmacokinetics of intravenous bisoprolol in obese and non-obese volunteers. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1683835/),,1351,44917,DB00612,Bisoprolol
,1683835,Vz,"Compared to the controls, the obese subjects showed an increase in the total apparent volume of distribution (Vz) (182 vs 1351) and a decrease in Vz per kg body weight (2 vs 2.71.kg-1).",Pharmacokinetics of intravenous bisoprolol in obese and non-obese volunteers. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1683835/),1/[kg],2,44918,DB00612,Bisoprolol
,1683835,Vz,"Compared to the controls, the obese subjects showed an increase in the total apparent volume of distribution (Vz) (182 vs 1351) and a decrease in Vz per kg body weight (2 vs 2.71.kg-1).",Pharmacokinetics of intravenous bisoprolol in obese and non-obese volunteers. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1683835/),1/[kg],2.71,44919,DB00612,Bisoprolol
,28577178,CL,"The typical mean value for bisoprolol CL, estimated by the base model, in the target population was 6.76 l/h.",Population Pharmacokinetic Analysis of Bisoprolol in Patients with Stable Coronary Artery Disease. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28577178/),[l] / [h],6.76,46119,DB00612,Bisoprolol
greater,2439779,FT4,Nine hyperthyroid patients (FT4 greater than or equal to 20 ng/L; FT3 greater than or equal to 6 ng/L) were given 1 X 10 mg bisoprolol/day p.o. for a period of 7 days.,Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),[ng] / [l],20,46495,DB00612,Bisoprolol
greater,2439779,FT3,Nine hyperthyroid patients (FT4 greater than or equal to 20 ng/L; FT3 greater than or equal to 6 ng/L) were given 1 X 10 mg bisoprolol/day p.o. for a period of 7 days.,Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),[ng] / [l],6,46496,DB00612,Bisoprolol
,2439779,maximum bisoprolol concentrations,"The maximum bisoprolol concentrations measured after the first dose and after 7 days were 54.3 +/- 2.1 and 70.3 +/- 3.8 ng/ml, respectively, the minimum concentrations being 9.6 +/- 1.0 ng/ml and 11.9 +/- 1.7 ng/ml, respectively.",Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),[ng] / [ml],54.3,46497,DB00612,Bisoprolol
,2439779,maximum bisoprolol concentrations,"The maximum bisoprolol concentrations measured after the first dose and after 7 days were 54.3 +/- 2.1 and 70.3 +/- 3.8 ng/ml, respectively, the minimum concentrations being 9.6 +/- 1.0 ng/ml and 11.9 +/- 1.7 ng/ml, respectively.",Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),[ng] / [ml],70.3,46498,DB00612,Bisoprolol
,2439779,minimum concentrations,"The maximum bisoprolol concentrations measured after the first dose and after 7 days were 54.3 +/- 2.1 and 70.3 +/- 3.8 ng/ml, respectively, the minimum concentrations being 9.6 +/- 1.0 ng/ml and 11.9 +/- 1.7 ng/ml, respectively.",Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),[ng] / [ml],9.6,46499,DB00612,Bisoprolol
,2439779,minimum concentrations,"The maximum bisoprolol concentrations measured after the first dose and after 7 days were 54.3 +/- 2.1 and 70.3 +/- 3.8 ng/ml, respectively, the minimum concentrations being 9.6 +/- 1.0 ng/ml and 11.9 +/- 1.7 ng/ml, respectively.",Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),[ng] / [ml],11.9,46500,DB00612,Bisoprolol
,2439779,accumulation factor,This yields an accumulation factor of 1.2.,Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),,1.2,46501,DB00612,Bisoprolol
,2439779,plasma elimination half-life,"At steady state, the plasma elimination half-life of bisoprolol was 9.8 +/- 0.9 h.",Pharmacokinetics of bisoprolol and influence on serum thyroid hormones in hyperthyroid patients. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439779/),h,9.8,46502,DB00612,Bisoprolol
,2887325,peak,"In healthy subjects peak and trough steady-state concentrations of 52 micrograms/L and 11 micrograms/L, respectively, an elimination half-life of 10.0 hours and total body clearance of 14.2 L/h were observed.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),[μg] / [l],52,47650,DB00612,Bisoprolol
,2887325,trough steady-state concentrations,"In healthy subjects peak and trough steady-state concentrations of 52 micrograms/L and 11 micrograms/L, respectively, an elimination half-life of 10.0 hours and total body clearance of 14.2 L/h were observed.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),[μg] / [l],11,47651,DB00612,Bisoprolol
,2887325,elimination half-life,"In healthy subjects peak and trough steady-state concentrations of 52 micrograms/L and 11 micrograms/L, respectively, an elimination half-life of 10.0 hours and total body clearance of 14.2 L/h were observed.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),h,10.0,47652,DB00612,Bisoprolol
,2887325,total body clearance,"In healthy subjects peak and trough steady-state concentrations of 52 micrograms/L and 11 micrograms/L, respectively, an elimination half-life of 10.0 hours and total body clearance of 14.2 L/h were observed.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),[l] / [h],14.2,47653,DB00612,Bisoprolol
,2887325,half-life,"In 11 patients with renal impairment (mean CLCR = 28 +/- 5 ml/min/1.72m2) half-life was prolonged to 18.5 hours, and peak and trough concentrations were 74 and 32 micrograms/L, respectively.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),h,18.5,47654,DB00612,Bisoprolol
,2887325,peak,"In 11 patients with renal impairment (mean CLCR = 28 +/- 5 ml/min/1.72m2) half-life was prolonged to 18.5 hours, and peak and trough concentrations were 74 and 32 micrograms/L, respectively.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),[μg] / [l],74,47655,DB00612,Bisoprolol
,2887325,trough concentrations,"In 11 patients with renal impairment (mean CLCR = 28 +/- 5 ml/min/1.72m2) half-life was prolonged to 18.5 hours, and peak and trough concentrations were 74 and 32 micrograms/L, respectively.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),[μg] / [l],32,47656,DB00612,Bisoprolol
,2887325,urinary excretion,"Correspondingly, urinary excretion decreased to 3.35 mg/24 hours and total body clearance to 7.8 L/h.",Pharmacokinetics of bisoprolol during repeated oral administration to healthy volunteers and patients with kidney or liver disease. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2887325/),[mg] / [24·h],3.35,47657,DB00612,Bisoprolol
