Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1982762,elimination half-life,"However, the elimination half-life was 6.0 h in controls and 9.5 h in cirrhotics.",Pharmacokinetics after a single oral dose of bopindolol in patients with cirrhosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1982762/),h,6.0,69236,DB08807,Bopindolol
,1982762,elimination half-life,"However, the elimination half-life was 6.0 h in controls and 9.5 h in cirrhotics.",Pharmacokinetics after a single oral dose of bopindolol in patients with cirrhosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1982762/),h,9.5,69237,DB08807,Bopindolol
,2868747,half-life,After intravenous administration the half-life for the formation of the hydrolysis product was about 0.3 h.,Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),h,0.3,90052,DB08807,Bopindolol
,2868747,half-life,"The elimination of hydrolysed bopindolol from the plasma, determined with a one-compartment model occurred with a half-life of about 4 h.",Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),h,4,90053,DB08807,Bopindolol
,2868747,half-life,"There were indications for a longer beta phase of elimination with a half-life of about 8 h, which, owing to the relative insensitivity of the method for concentrations present after more than 24 h, could not be determined exactly.",Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),h,8,90054,DB08807,Bopindolol
,2868747,absolute bioavailability,The absolute bioavailability of the active compound is about 70%.,Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),%,70,90055,DB08807,Bopindolol
,2868747,maximum effect,"With oral doses the maximum effect was reached after 3 h (-29 beats min-1 after 1 mg, -40 beats min-1 after 4 mg).",Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),[beats] / [min],29,90056,DB08807,Bopindolol
,2868747,maximum effect,"With oral doses the maximum effect was reached after 3 h (-29 beats min-1 after 1 mg, -40 beats min-1 after 4 mg).",Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),[beats] / [min],40,90057,DB08807,Bopindolol
,2868747,maximum effect,After intravenous administration most of the effect was present after 0.5 h but the maximum effect (-33 beats min-1) was only reached at 3 h.,Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),[beats] / [min],-,90058,DB08807,Bopindolol
,2868747,maximum effect,After intravenous administration most of the effect was present after 0.5 h but the maximum effect (-33 beats min-1) was only reached at 3 h.,Relationship between plasma concentrations and cardiac beta-adrenoceptor blockade--a study with oral and intravenous bopindolol. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868747/),[beats] / [min],33,90059,DB08807,Bopindolol
,2439812,elimination half-life,"In pharmacokinetic terms, however, these drugs show no pronounced difference in their elimination half-life (ranging between 4 and 8 h).",Pharmacodynamic models of various beta blockers: an explanation for the long duration of action of bopindolol. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2439812/),h,4 and 8,210689,DB08807,Bopindolol
