Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15115569,Maximum plasma concentrations,Maximum plasma concentrations were 40 ng/mL 5 hrs after ingestion.,Adrenoceptor agonist poisoning after accidental oral ingestion of brimonidine eye drops. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15115569/),[ng] / [ml],40,17277,DB00484,Brimonidine
,15115569,plasma elimination half-life,The plasma elimination half-life value was 2.7 hrs.,Adrenoceptor agonist poisoning after accidental oral ingestion of brimonidine eye drops. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15115569/),h,2.7,17278,DB00484,Brimonidine
,15115569,terminal half-life,Elimination via urine was calculated as having a terminal half-life value of 3.2 hrs.,Adrenoceptor agonist poisoning after accidental oral ingestion of brimonidine eye drops. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15115569/),h,3.2,17279,DB00484,Brimonidine
,12222763,AUC(0-5hr),"The AUC(0-5hr) values were 3.78 +/- 0.38, 2.77 +/- 0.22, and 2.49 +/- 0.22 microg-hr/ml (mean +/- SEM) for Brimonidine-Purite, Alphagan and Brimonidine-PF, respectively.",Formulation effects on ocular absorption of brimonidine in rabbit eyes. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12222763/),[μg-hr] / [ml],3.78,113360,DB00484,Brimonidine
,12222763,AUC(0-5hr),"The AUC(0-5hr) values were 3.78 +/- 0.38, 2.77 +/- 0.22, and 2.49 +/- 0.22 microg-hr/ml (mean +/- SEM) for Brimonidine-Purite, Alphagan and Brimonidine-PF, respectively.",Formulation effects on ocular absorption of brimonidine in rabbit eyes. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12222763/),[μg-hr] / [ml],2.77,113361,DB00484,Brimonidine
,12222763,AUC(0-5hr),"The AUC(0-5hr) values were 3.78 +/- 0.38, 2.77 +/- 0.22, and 2.49 +/- 0.22 microg-hr/ml (mean +/- SEM) for Brimonidine-Purite, Alphagan and Brimonidine-PF, respectively.",Formulation effects on ocular absorption of brimonidine in rabbit eyes. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12222763/),[μg-hr] / [ml],2.49,113362,DB00484,Brimonidine
,12222763,Cmax,"The corresponding Cmax values were 2.69 +/- 0.72, 1.74 +/- 0.13, and 1.24 +/- 0.22 microg/ml (mean +/- SEM).",Formulation effects on ocular absorption of brimonidine in rabbit eyes. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12222763/),[μg] / [ml],2.69,113363,DB00484,Brimonidine
,12222763,Cmax,"The corresponding Cmax values were 2.69 +/- 0.72, 1.74 +/- 0.13, and 1.24 +/- 0.22 microg/ml (mean +/- SEM).",Formulation effects on ocular absorption of brimonidine in rabbit eyes. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12222763/),[μg] / [ml],1.74,113364,DB00484,Brimonidine
,12222763,Cmax,"The corresponding Cmax values were 2.69 +/- 0.72, 1.74 +/- 0.13, and 1.24 +/- 0.22 microg/ml (mean +/- SEM).",Formulation effects on ocular absorption of brimonidine in rabbit eyes. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12222763/),[μg] / [ml],1.24,113365,DB00484,Brimonidine
,30020792,drug loading capacity,"Because of the presence of mesopores, brimonidine (BMD) could be encapsulated in the AMS with a loading amount of 41.73 μg/mg (i.e., drug loading capacity of about 4.17%) to give the BMD-AMS, which could release the drug in a sustained manner over 8 h.",Amino-Functionalized Mesoporous Silica Particles for Ocular Delivery of Brimonidine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30020792/),%,4.17,130636,DB00484,Brimonidine
,30020792,area under the drug concentration in the AH-time curve (AUC),"For BMD-AMS, the duration in the decrease in IOP and the area under the drug concentration in the AH-time curve (AUC) were 12 h and 2.68 μg·h/mL, respectively, which were about twice as large as those obtained with Alphagan P; this finding indicated enhanced ocular bioavailability of brimonidine with BMD-AMS.",Amino-Functionalized Mesoporous Silica Particles for Ocular Delivery of Brimonidine. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30020792/),[h·μg] / [ml],2.68,130637,DB00484,Brimonidine
,30891685,areas under the curve from time 0 to 360 h,"The areas under the curve from time 0 to 360 h following dosing with the 0.2% ophthalmic solution were 500,000, 14,300, and 28.7 ng h/g in the anterior and posterior retina/choroid, and vitreous body, respectively.",Effect of Solution pH on Distribution of Ophthalmically Administered Brimonidine in Posterior Ocular Tissues in Pigmented Rabbits. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30891685/),[h·ng] / [g],"500,000",164248,DB00484,Brimonidine
,30891685,areas under the curve from time 0 to 360 h,"The areas under the curve from time 0 to 360 h following dosing with the 0.2% ophthalmic solution were 500,000, 14,300, and 28.7 ng h/g in the anterior and posterior retina/choroid, and vitreous body, respectively.",Effect of Solution pH on Distribution of Ophthalmically Administered Brimonidine in Posterior Ocular Tissues in Pigmented Rabbits. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30891685/),[h·ng] / [g],"14,300",164249,DB00484,Brimonidine
,30891685,areas under the curve from time 0 to 360 h,"The areas under the curve from time 0 to 360 h following dosing with the 0.2% ophthalmic solution were 500,000, 14,300, and 28.7 ng h/g in the anterior and posterior retina/choroid, and vitreous body, respectively.",Effect of Solution pH on Distribution of Ophthalmically Administered Brimonidine in Posterior Ocular Tissues in Pigmented Rabbits. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30891685/),[h·ng] / [g],28.7,164250,DB00484,Brimonidine
,15321023,C(max),The C(max) was achieved between 0.33-0.67 hours postdosing for all 3 formulations.,Effects of the preservative purite on the bioavailability of brimonidine in the aqueous humor of rabbits. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15321023/),h,0.33-0.67,196956,DB00484,Brimonidine
,7587958,peak drug concentrations,"Rapid ocular absorption resulted in peak drug concentrations in aqueous humor of 2.16 +/- 0.75 micrograms/ml (mean +/- SD) and 1.52 +/- 0.38 micrograms/ml at 0.67 hr postdosing in albino and pigmented rabbits, respectively.",Comparative ocular pharmacokinetics of brimonidine after a single dose application to the eyes of albino and pigmented rabbits. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7587958/),[μg] / [ml],2.16,255062,DB00484,Brimonidine
,7587958,peak drug concentrations,"Rapid ocular absorption resulted in peak drug concentrations in aqueous humor of 2.16 +/- 0.75 micrograms/ml (mean +/- SD) and 1.52 +/- 0.38 micrograms/ml at 0.67 hr postdosing in albino and pigmented rabbits, respectively.",Comparative ocular pharmacokinetics of brimonidine after a single dose application to the eyes of albino and pigmented rabbits. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7587958/),[μg] / [ml],1.52,255063,DB00484,Brimonidine
,7587958,half-life,"Drug elimination from aqueous humor was rapid initially with a half-life of 1 hr in rabbits, followed by a slower decline phase in pigmented rabbits.",Comparative ocular pharmacokinetics of brimonidine after a single dose application to the eyes of albino and pigmented rabbits. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7587958/),h,1,255064,DB00484,Brimonidine
,7587958,half-life,Radioactivity concentration in iris-ciliary body of albino rabbit reached a peak of 5.04 micrograms-eq/g at 40 minutes and declined to 0.10 micrograms-eq/g at 6 hr postdosing with a half-life of 1 hr.,Comparative ocular pharmacokinetics of brimonidine after a single dose application to the eyes of albino and pigmented rabbits. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7587958/),h,1,255065,DB00484,Brimonidine
,7587958,terminal half-life,The terminal half-life of brimonidine in pigmented iris-ciliary body was 160 hr.,Comparative ocular pharmacokinetics of brimonidine after a single dose application to the eyes of albino and pigmented rabbits. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7587958/),h,160,255066,DB00484,Brimonidine
,24506775,Cmax,Patients who received BT ophthalmic solution 0·2% three times a day for 1 day had a mean Cmax of 54 ± 28 pg mL(-1) and a mean 0-24-h area under the curve (AUC0-24 h ) of 568 ± 277 pg h mL(-1) .,Comparative pharmacokinetics and bioavailability of brimonidine following ocular and dermal administration of brimonidine tartrate ophthalmic solution and gel in patients with moderate-to-severe facial erythema associated with rosacea. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24506775/),[pg] / [ml],54,257694,DB00484,Brimonidine
,24506775,0-24-h area under the curve (AUC0-24 h ),Patients who received BT ophthalmic solution 0·2% three times a day for 1 day had a mean Cmax of 54 ± 28 pg mL(-1) and a mean 0-24-h area under the curve (AUC0-24 h ) of 568 ± 277 pg h mL(-1) .,Comparative pharmacokinetics and bioavailability of brimonidine following ocular and dermal administration of brimonidine tartrate ophthalmic solution and gel in patients with moderate-to-severe facial erythema associated with rosacea. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24506775/),[h·pg] / [ml],568,257695,DB00484,Brimonidine
,24506775,Cmax,"The mean Cmax values for the BT gels ranged between 13 and 25 pg mL(-1) , and mean AUC0-24 h values ranged between 42 and 290 pg h mL(-1) .",Comparative pharmacokinetics and bioavailability of brimonidine following ocular and dermal administration of brimonidine tartrate ophthalmic solution and gel in patients with moderate-to-severe facial erythema associated with rosacea. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24506775/),[pg] / [ml],13 and 25,257696,DB00484,Brimonidine
,24506775,AUC0-24 h,"The mean Cmax values for the BT gels ranged between 13 and 25 pg mL(-1) , and mean AUC0-24 h values ranged between 42 and 290 pg h mL(-1) .",Comparative pharmacokinetics and bioavailability of brimonidine following ocular and dermal administration of brimonidine tartrate ophthalmic solution and gel in patients with moderate-to-severe facial erythema associated with rosacea. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24506775/),[h·pg] / [ml],42 and 290,257697,DB00484,Brimonidine
