Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2368893,steady-state peak plasma concentration,"The mean steady-state peak plasma concentration was 2.3 mg/l (range 1.2-3.1 mg/l); however, in three of the eight patients peak plasma concentrations were greater than 3 mg/l.",Steady-state pharmacokinetics of interpleural bupivacaine in patients after cholecystectomy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2368893/),[mg] / [l],2.3,4612,DB00297,Bupivacaine
greater,2368893,peak plasma concentrations,"The mean steady-state peak plasma concentration was 2.3 mg/l (range 1.2-3.1 mg/l); however, in three of the eight patients peak plasma concentrations were greater than 3 mg/l.",Steady-state pharmacokinetics of interpleural bupivacaine in patients after cholecystectomy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2368893/),[mg] / [l],3,4613,DB00297,Bupivacaine
,2368893,accumulation ratio,"The mean accumulation ratio was found to be 1.6 (range 0.99-2.49), with steady-state occurring within the first 24 hours of drug administration.",Steady-state pharmacokinetics of interpleural bupivacaine in patients after cholecystectomy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2368893/),,1.6,4614,DB00297,Bupivacaine
,2368893,apparent systemic plasma clearance,"Mean apparent systemic plasma clearance was 0.16 +/- 0.07 l/kg/h with a mean terminal half-life of 5.8 +/- 2.3 hours measured at steady-state, values which were not significantly different (P greater than 0.05) from those values obtained following single interpleural bolus dose administration.",Steady-state pharmacokinetics of interpleural bupivacaine in patients after cholecystectomy. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2368893/),[l] / [h·kg],0.16,4615,DB00297,Bupivacaine
,2368893,terminal half-life,"Mean apparent systemic plasma clearance was 0.16 +/- 0.07 l/kg/h with a mean terminal half-life of 5.8 +/- 2.3 hours measured at steady-state, values which were not significantly different (P greater than 0.05) from those values obtained following single interpleural bolus dose administration.",Steady-state pharmacokinetics of interpleural bupivacaine in patients after cholecystectomy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2368893/),h,5.8,4616,DB00297,Bupivacaine
,26612706,population,"In the basic model, the estimated population Ce50 values for adequate and deep sedation were 0.94 and 1.52 μg/ml, respectively.",Modelling of the Sedative Effects of Propofol in Patients undergoing Spinal Anaesthesia: A Pharmacodynamic Analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26612706/),[μg] / [ml],0.94,5071,DB00297,Bupivacaine
,26612706,Ce50,"In the basic model, the estimated population Ce50 values for adequate and deep sedation were 0.94 and 1.52 μg/ml, respectively.",Modelling of the Sedative Effects of Propofol in Patients undergoing Spinal Anaesthesia: A Pharmacodynamic Analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26612706/),[μg] / [ml],0.94,5072,DB00297,Bupivacaine
,26612706,Ce50,"In the basic model, the estimated population Ce50 values for adequate and deep sedation were 0.94 and 1.52 μg/ml, respectively.",Modelling of the Sedative Effects of Propofol in Patients undergoing Spinal Anaesthesia: A Pharmacodynamic Analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26612706/),[μg] / [ml],1.52,5073,DB00297,Bupivacaine
,26612706,Ce50,"The simulated Ce50 values for adequate sedation in 20-year-old patients with a T12 sensory level and in 80-year-old patients with a T4 level were 1.63 and 0.53 μg/ml, respectively.",Modelling of the Sedative Effects of Propofol in Patients undergoing Spinal Anaesthesia: A Pharmacodynamic Analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26612706/),[μg] / [ml],1.63,5074,DB00297,Bupivacaine
,26612706,Ce50,"The simulated Ce50 values for adequate sedation in 20-year-old patients with a T12 sensory level and in 80-year-old patients with a T4 level were 1.63 and 0.53 μg/ml, respectively.",Modelling of the Sedative Effects of Propofol in Patients undergoing Spinal Anaesthesia: A Pharmacodynamic Analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26612706/),[μg] / [ml],0.53,5075,DB00297,Bupivacaine
,10319782,duration of analgesia,"A significantly longer (P < 0.0001) duration of analgesia (median [range]) was observed in the R0.5 group (1,440 [335-1,440] min), whereas the R0.25 group (208 [175-340] min) and the B0.25 group (220 [100-390] min) were comparable.",The dose-response of caudal ropivacaine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10319782/),min,"1,440",6338,DB00297,Bupivacaine
,10319782,duration of analgesia,"A significantly longer (P < 0.0001) duration of analgesia (median [range]) was observed in the R0.5 group (1,440 [335-1,440] min), whereas the R0.25 group (208 [175-340] min) and the B0.25 group (220 [100-390] min) were comparable.",The dose-response of caudal ropivacaine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10319782/),min,208,6339,DB00297,Bupivacaine
,10319782,duration of analgesia,"A significantly longer (P < 0.0001) duration of analgesia (median [range]) was observed in the R0.5 group (1,440 [335-1,440] min), whereas the R0.25 group (208 [175-340] min) and the B0.25 group (220 [100-390] min) were comparable.",The dose-response of caudal ropivacaine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10319782/),min,220,6340,DB00297,Bupivacaine
,25776489,CMAX,"CMAX and TMAX were similar in both groups: 952 ± 346 ng/mL, 0.65 ± 0.5 1h in the needle group; 810 ± 307 ng/mL, 0.43 ± 0.29 h in the catheter group respectively.",Is the pharmacokinetics of bupivacaine equivalent after lumbar epidural administration through a needle or a catheter in male and female adults? ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25776489/),[ng] / [ml],952,6882,DB00297,Bupivacaine
,25776489,CMAX,"CMAX and TMAX were similar in both groups: 952 ± 346 ng/mL, 0.65 ± 0.5 1h in the needle group; 810 ± 307 ng/mL, 0.43 ± 0.29 h in the catheter group respectively.",Is the pharmacokinetics of bupivacaine equivalent after lumbar epidural administration through a needle or a catheter in male and female adults? ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25776489/),[ng] / [ml],810,6883,DB00297,Bupivacaine
,25776489,TMAX,"CMAX and TMAX were similar in both groups: 952 ± 346 ng/mL, 0.65 ± 0.5 1h in the needle group; 810 ± 307 ng/mL, 0.43 ± 0.29 h in the catheter group respectively.",Is the pharmacokinetics of bupivacaine equivalent after lumbar epidural administration through a needle or a catheter in male and female adults? ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25776489/),h,0.43,6884,DB00297,Bupivacaine
,25776489,Plasma AUC₀→∞,Plasma AUC₀→∞ was also similar in both groups: 3868 ± 1687 ngh/mL for needle versus 4096 ± 1748 ngh/mL using catheter.,Is the pharmacokinetics of bupivacaine equivalent after lumbar epidural administration through a needle or a catheter in male and female adults? ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25776489/),[ngh] / [ml],3868,6885,DB00297,Bupivacaine
,25776489,Plasma AUC₀→∞,Plasma AUC₀→∞ was also similar in both groups: 3868 ± 1687 ngh/mL for needle versus 4096 ± 1748 ngh/mL using catheter.,Is the pharmacokinetics of bupivacaine equivalent after lumbar epidural administration through a needle or a catheter in male and female adults? ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25776489/),[ngh] / [ml],4096,6886,DB00297,Bupivacaine
,25776489,t₁/₂,"The catheter group showed slower disposition than the needle group: t₁/₂=3.9 ± 2.3 h, MRT=6.0 ± 3.1 h versus 2.7 ± 1.03 h and 4.5 ± 1.2 h with needle administration respectively though it did not reach statistical significance, Cl/F and V/F were also similar.",Is the pharmacokinetics of bupivacaine equivalent after lumbar epidural administration through a needle or a catheter in male and female adults? ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25776489/),h,3.9,6887,DB00297,Bupivacaine
