Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12738349,half-life,The addition of naloxone does not affect the efficacy of buprenorphine for two reasons: (1) naloxone is poorly absorbed sublingually relative to buprenorphine and (2) the half-life for buprenorphine is much longer than for naloxone (32 vs. 1 h for naloxone).,Pharmacokinetics of the combination tablet of buprenorphine and naloxone. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12738349/),h,32,2170,DB00921,Buprenorphine
,12738349,half-life,The addition of naloxone does not affect the efficacy of buprenorphine for two reasons: (1) naloxone is poorly absorbed sublingually relative to buprenorphine and (2) the half-life for buprenorphine is much longer than for naloxone (32 vs. 1 h for naloxone).,Pharmacokinetics of the combination tablet of buprenorphine and naloxone. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12738349/),h,1,2171,DB00921,Buprenorphine
,7250147,peak plasma concentrations,The mean peak plasma concentrations (+/-standard deviation) were 2290 +/- 357ng ml-1 and 805 +/- 416ng ml-1 respectively and the corresponding times to the peak levels were 4.0 +/- 1.5 minutes and 30.3 +/- 24.6 minutes suggesting the rapid release of the drug from intramuscular sites.,Plasma concentration and disposition of buprenorphine after intravenous and intramuscular doses to baboons. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7250147/),[ng] / [ml],2290,2684,DB00921,Buprenorphine
,7250147,peak plasma concentrations,The mean peak plasma concentrations (+/-standard deviation) were 2290 +/- 357ng ml-1 and 805 +/- 416ng ml-1 respectively and the corresponding times to the peak levels were 4.0 +/- 1.5 minutes and 30.3 +/- 24.6 minutes suggesting the rapid release of the drug from intramuscular sites.,Plasma concentration and disposition of buprenorphine after intravenous and intramuscular doses to baboons. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7250147/),[ng] / [ml],805,2685,DB00921,Buprenorphine
,7250147,times to the peak levels,The mean peak plasma concentrations (+/-standard deviation) were 2290 +/- 357ng ml-1 and 805 +/- 416ng ml-1 respectively and the corresponding times to the peak levels were 4.0 +/- 1.5 minutes and 30.3 +/- 24.6 minutes suggesting the rapid release of the drug from intramuscular sites.,Plasma concentration and disposition of buprenorphine after intravenous and intramuscular doses to baboons. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7250147/),min,4.0,2686,DB00921,Buprenorphine
,7250147,times to the peak levels,The mean peak plasma concentrations (+/-standard deviation) were 2290 +/- 357ng ml-1 and 805 +/- 416ng ml-1 respectively and the corresponding times to the peak levels were 4.0 +/- 1.5 minutes and 30.3 +/- 24.6 minutes suggesting the rapid release of the drug from intramuscular sites.,Plasma concentration and disposition of buprenorphine after intravenous and intramuscular doses to baboons. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7250147/),min,30.3,2687,DB00921,Buprenorphine
,7250147,bioavailability,Comparison of areas under the plasma concentration versus time curves to 24 hours after dosing showed the mean bioavailability of buprenorphine from the intramuscular doses was 70% of that from the reference intravenous doses.,Plasma concentration and disposition of buprenorphine after intravenous and intramuscular doses to baboons. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7250147/),%,70,2688,DB00921,Buprenorphine
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,30,3433,DB00921,Buprenorphine
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,54,3434,DB00921,Buprenorphine
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,67,3435,DB00921,Buprenorphine
