Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,32238417,Clint,"Though Vmax and Km varied widely among CYP2B6 variants, stereoselectivity was preserved, reflected by similar Clint(S,S-hydroxybupropion)/Clint(R,R-hydroxybupropion) ratios (1.8-2.9), except CYP2B6.17, which was less enantioselective.",Stereoselective Bupropion Hydroxylation by Cytochrome P450 CYP2B6 and Cytochrome P450 Oxidoreductase Genetic Variants. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32238417/),,1.8-2.9,938,DB01156,Bupropion
,27495292,fm,"The fm,CYP2B6 was predicted to be 21%, and the fm,CYP2C19, 6% for racemic bupropion.","Stereoselective Metabolism of Bupropion to OH-bupropion, Threohydrobupropion, Erythrohydrobupropion, and 4'-OH-bupropion in vitro. ",fm-Q45,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27495292/),%,21,2266,DB01156,Bupropion
,27495292,fm,"The fm,CYP2B6 was predicted to be 21%, and the fm,CYP2C19, 6% for racemic bupropion.","Stereoselective Metabolism of Bupropion to OH-bupropion, Threohydrobupropion, Erythrohydrobupropion, and 4'-OH-bupropion in vitro. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27495292/),%,6,2267,DB01156,Bupropion
,33746741,half-maximal inhibitory concentration,"The in vitro results revealed that the half-maximal inhibitory concentration values of bupropion and tolbutamide in RLMs were 8.79 and 20.17 μM, respectively, indicating that poziotinib showed varying degrees of inhibition toward cyp2b1 and cyp2c11.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,8.79,5916,DB01156,Bupropion
,33746741,half-maximal inhibitory concentration,"The in vitro results revealed that the half-maximal inhibitory concentration values of bupropion and tolbutamide in RLMs were 8.79 and 20.17 μM, respectively, indicating that poziotinib showed varying degrees of inhibition toward cyp2b1 and cyp2c11.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,20.17,5917,DB01156,Bupropion
,33746741,Ki,"Poziotinib was a competitive inhibitor of cyp2b1 and cyp2c11, with Ki values of 16.18 and 17.66 μM, respectively.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,16.18,5918,DB01156,Bupropion
,33746741,Ki,"Poziotinib was a competitive inhibitor of cyp2b1 and cyp2c11, with Ki values of 16.18 and 17.66 μM, respectively.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,17.66,5919,DB01156,Bupropion
,27518170,Cmax,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],226,12854,DB01156,Bupropion
,27518170,Cmax,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],386,12855,DB01156,Bupropion
,27518170,AUC0-∞,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],1580,12856,DB01156,Bupropion
,27518170,AUC0-∞,"For atomoxetine, Cmax increased from 226±96.1 to 386±137 ng/mL and more importantly, AUC0-∞ was significantly increasedfrom 1580±1040 to 8060±4160 ng*h/mL, while the mean t1/2 was prolonged after bupropion pretreatment.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],8060,12857,DB01156,Bupropion
,27518170,Cmax,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],707,12858,DB01156,Bupropion
,27518170,AUC0-∞,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[ng] / [ml],212,12859,DB01156,Bupropion
,27518170,AUC0-∞,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],5750,12860,DB01156,Bupropion
,27518170,AUC0-∞,"For 4-hydroxyatomoxetine-O-glucuronide, Cmax and AUC0-∞ were decreased from 707±269 to 212±145 ng/mL and from 5750±1240 to 3860±1220 ng*h/mL, respectively.",Evaluation of a Potential Metabolism-Mediated Drug-Drug Interaction Between Atomoxetine and Bupropion in Healthy Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27518170/),[h·ng] / [ml],3860,12861,DB01156,Bupropion
,6436464,absolute recovery,The method provides an absolute recovery of approximately 85% for bupropion and approximately 98% for the metabolites.,Determination of bupropion and its major basic metabolites in plasma by liquid chromatography with dual-wavelength ultraviolet detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6436464/),%,85,20141,DB01156,Bupropion
,6436464,absolute recovery,The method provides an absolute recovery of approximately 85% for bupropion and approximately 98% for the metabolites.,Determination of bupropion and its major basic metabolites in plasma by liquid chromatography with dual-wavelength ultraviolet detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6436464/),%,98,20142,DB01156,Bupropion
,6436464,detection limits,The detection limits were approximately 5 ng/mL for bupropion and 100 ng/mL for the major metabolites.,Determination of bupropion and its major basic metabolites in plasma by liquid chromatography with dual-wavelength ultraviolet detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6436464/),[ng] / [ml],5,20143,DB01156,Bupropion
,6436464,detection limits,The detection limits were approximately 5 ng/mL for bupropion and 100 ng/mL for the major metabolites.,Determination of bupropion and its major basic metabolites in plasma by liquid chromatography with dual-wavelength ultraviolet detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6436464/),[ng] / [ml],100,20144,DB01156,Bupropion
,32215046,flow rate,"The chromatographic separation was performed on a Waters XBridge™ C18 column (2.1 mm × 100 mm, 3.5 μm) using a gradient elution with the mobile phase consisting of acetonitrile and water (containing 0.1% formic acid) at a flow rate of 0.3 mL/min.",HPLC-MS/MS Analysis of Aconiti Lateralis Radix Praeparata and Its Combination with Red Ginseng Effect on Rat CYP450 Activities Using the Cocktail Approach. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32215046/),[ml] / [min],0.3,20924,DB01156,Bupropion
,20642555,K(i),"Two terpenoids, borneol and isoborneol, are major constituents of woohwangcheongsimwon suspension, and show a competitive inhibition of CYP2B6 with K(i) values of 9.5 and 5.9 microM, respectively.","Effects of woohwangcheongsimwon suspension on the pharmacokinetics of bupropion and its active metabolite, 4-hydroxybupropion, in healthy subjects. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20642555/),μM,9.5,22902,DB01156,Bupropion
,20642555,K(i),"Two terpenoids, borneol and isoborneol, are major constituents of woohwangcheongsimwon suspension, and show a competitive inhibition of CYP2B6 with K(i) values of 9.5 and 5.9 microM, respectively.","Effects of woohwangcheongsimwon suspension on the pharmacokinetics of bupropion and its active metabolite, 4-hydroxybupropion, in healthy subjects. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20642555/),μM,5.9,22903,DB01156,Bupropion
,26232561,flow rate,"Chromatographic separation was performed on hydro-RP column (75×2.0mm, 80Å, 4μm) with isocratic elution using 5mM ammonium formate buffer/acetonitrile (30:70, v/v) at a flow rate of 0.4mL/min and the total run time was 5min.",Determination and validation of psammaplin A and its derivatives in rat plasma by liquid chromatography-tandem mass spectrometry and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26232561/),[ml] / [min],0.4,26600,DB01156,Bupropion
,26232561,total run time,"Chromatographic separation was performed on hydro-RP column (75×2.0mm, 80Å, 4μm) with isocratic elution using 5mM ammonium formate buffer/acetonitrile (30:70, v/v) at a flow rate of 0.4mL/min and the total run time was 5min.",Determination and validation of psammaplin A and its derivatives in rat plasma by liquid chromatography-tandem mass spectrometry and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26232561/),min,5,26601,DB01156,Bupropion
,26232561,m/,"The ion transitions monitored were m/z 663.2→331.0, 687.2→343.1, 587.3→293.1, 563.3→281.0, and 240.0→184.0 for PsA, PsA 107, PsA 109, PsA 123, and IS, respectively.",Determination and validation of psammaplin A and its derivatives in rat plasma by liquid chromatography-tandem mass spectrometry and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26232561/),,663.2,26602,DB01156,Bupropion
,26232561,m/,"The ion transitions monitored were m/z 663.2→331.0, 687.2→343.1, 587.3→293.1, 563.3→281.0, and 240.0→184.0 for PsA, PsA 107, PsA 109, PsA 123, and IS, respectively.",Determination and validation of psammaplin A and its derivatives in rat plasma by liquid chromatography-tandem mass spectrometry and its application in pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26232561/),,331.0,26603,DB01156,Bupropion
