Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8135041,clearance,The clearance of TH determined from the concentration of TH in a single plasma sample obtained 6 h after TH administration was significantly reduced (p < 0.05) by fever but not malaria (4.0 +/- 0.7 ml/min/kg in controls; 4.2 +/- 0.5 in malaria; 2.4 +/- 0.4 in fever).,Metabolism of caffeine and theophylline in rats with malaria and endotoxin-induced fever. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8135041/),[ml] / [kg·min],4.0,268,DB00201,Caffeine
,8135041,clearance,The clearance of TH determined from the concentration of TH in a single plasma sample obtained 6 h after TH administration was significantly reduced (p < 0.05) by fever but not malaria (4.0 +/- 0.7 ml/min/kg in controls; 4.2 +/- 0.5 in malaria; 2.4 +/- 0.4 in fever).,Metabolism of caffeine and theophylline in rats with malaria and endotoxin-induced fever. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8135041/),,4.2,269,DB00201,Caffeine
,8135041,clearance,The clearance of TH determined from the concentration of TH in a single plasma sample obtained 6 h after TH administration was significantly reduced (p < 0.05) by fever but not malaria (4.0 +/- 0.7 ml/min/kg in controls; 4.2 +/- 0.5 in malaria; 2.4 +/- 0.4 in fever).,Metabolism of caffeine and theophylline in rats with malaria and endotoxin-induced fever. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8135041/),,2.4,270,DB00201,Caffeine
,23777257,Km,"2. Diclofenac was converted to 4'-hydroxydiclofenac by recombinantly expressed human P450 1A2 with Km and Vmax values of 33 µM and 0.20 min(-1), respectively.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),μM,33,1718,DB00201,Caffeine
,23777257,Vmax,"2. Diclofenac was converted to 4'-hydroxydiclofenac by recombinantly expressed human P450 1A2 with Km and Vmax values of 33 µM and 0.20 min(-1), respectively.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),1/[min],0.20,1719,DB00201,Caffeine
,23777257,inhibition constant,"Using the inhibition constant (37 µM) of diclofenac on caffeine 3-N-demethylation and the reported 95th percentiles of maximum plasma concentration (10.5 µM) after an oral dose of diclofenac, the in vivo estimated increase in area under the plasma concentration-time curve was 29%.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),μM,37,1720,DB00201,Caffeine
,23777257,maximum plasma concentration,"Using the inhibition constant (37 µM) of diclofenac on caffeine 3-N-demethylation and the reported 95th percentiles of maximum plasma concentration (10.5 µM) after an oral dose of diclofenac, the in vivo estimated increase in area under the plasma concentration-time curve was 29%.",Drug interactions of diclofenac and its oxidative metabolite with human liver microsomal cytochrome P450 1A2-dependent drug oxidation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23777257/),μM,10.5,1721,DB00201,Caffeine
,1352225,M/S ratios,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.875,3863,DB00201,Caffeine
,1352225,M/S ratios,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.358,3864,DB00201,Caffeine
,1352225,M/S ratios,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.829,3865,DB00201,Caffeine
,1352225,M/S ratios,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.412,3866,DB00201,Caffeine
,1352225,M/Sobs,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.875,3867,DB00201,Caffeine
,1352225,M/Sobs,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.358,3868,DB00201,Caffeine
,1352225,M/Sobs,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.829,3869,DB00201,Caffeine
,1352225,M/Sobs,M/S ratios were determined in vivo (M/Sobs; caffeine = 0.875 +/- 0.052; paraxanthine = 0.358 +/- 0.019; theobromine = 0.829 +/- 0.038; and theophylline = 0.412 +/- 0.054) under single dose conditions using area under the milk and serum concentration-time profiles.,Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),,0.412,3870,DB00201,Caffeine
,1352225,systemic clearance,"The mean systemic clearance of total caffeine (CIs) in the adults and the pups was 3.83 +/- 1.94 and 1.14 +/- 0.80 ml/min/kg, respectively.",Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),[ml] / [kg·min],3.83,3871,DB00201,Caffeine
,1352225,systemic clearance,"The mean systemic clearance of total caffeine (CIs) in the adults and the pups was 3.83 +/- 1.94 and 1.14 +/- 0.80 ml/min/kg, respectively.",Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),[ml] / [kg·min],1.14,3872,DB00201,Caffeine
,1352225,"unbound systemic clearance (CIs,u)","The mean unbound systemic clearance (CIs,u) for caffeine was 5.09 +/- 2.60 ml/min/kg in the adults and 1.41 +/- 0.71 ml/min/kg in the pups.",Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),[ml] / [kg·min],5.09,3873,DB00201,Caffeine
,1352225,"unbound systemic clearance (CIs,u)","The mean unbound systemic clearance (CIs,u) for caffeine was 5.09 +/- 2.60 ml/min/kg in the adults and 1.41 +/- 0.71 ml/min/kg in the pups.",Pharmacokinetics of caffeine and its demethylated metabolites in lactating adult rabbits and neonatal offspring. Predictions of breast milk to serum concentration ratios. ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1352225/),[ml] / [kg·min],1.41,3874,DB00201,Caffeine
,23184666,Time to maximum (peak) plasma concentration (C(max)),Time to maximum (peak) plasma concentration (C(max)) of anagrelide was 4.0 h in the fed and 1.5 h in the fasted group (p < 0.05); similar results were observed for 3-hydroxyanagrelide.,Cardiovascular safety of anagrelide in healthy subjects: effects of caffeine and food intake on pharmacokinetics and adverse reactions. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23184666/),h,4.0,6106,DB00201,Caffeine
,23184666,Time to maximum (peak) plasma concentration (C(max)),Time to maximum (peak) plasma concentration (C(max)) of anagrelide was 4.0 h in the fed and 1.5 h in the fasted group (p < 0.05); similar results were observed for 3-hydroxyanagrelide.,Cardiovascular safety of anagrelide in healthy subjects: effects of caffeine and food intake on pharmacokinetics and adverse reactions. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23184666/),h,1.5,6107,DB00201,Caffeine
,23184666,C(max),"The mean C(max) of anagrelide was 4.45 ± 2.32 ng/mL and 5.08 ± 2.99 ng/mL in the fed/caffeine and fasted groups, respectively; peak concentrations were higher for 3-hydroxyanagrelide in both the fed/caffeine and fasted groups.",Cardiovascular safety of anagrelide in healthy subjects: effects of caffeine and food intake on pharmacokinetics and adverse reactions. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23184666/),[ng] / [ml],4.45,6108,DB00201,Caffeine
,23184666,C(max),"The mean C(max) of anagrelide was 4.45 ± 2.32 ng/mL and 5.08 ± 2.99 ng/mL in the fed/caffeine and fasted groups, respectively; peak concentrations were higher for 3-hydroxyanagrelide in both the fed/caffeine and fasted groups.",Cardiovascular safety of anagrelide in healthy subjects: effects of caffeine and food intake on pharmacokinetics and adverse reactions. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23184666/),[ng] / [ml],5.08,6109,DB00201,Caffeine
,23184666,heart rate,There was a trend towards a greater heart rate increase in subjects reporting palpitations than in those without (mean heart rate ± SD at 1 h: 10.1 ± 6.4 vs.,Cardiovascular safety of anagrelide in healthy subjects: effects of caffeine and food intake on pharmacokinetics and adverse reactions. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23184666/),,10.1,6110,DB00201,Caffeine
,3756065,total plasma clearances,"The total plasma clearances of CA and PX were similar in value (2.07 and 2.20 ml min-1 kg-1, respectively) as were those for TP and TB (0.93 and 1.20 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],2.07,6247,DB00201,Caffeine
,3756065,total plasma clearances,"The total plasma clearances of CA and PX were similar in value (2.07 and 2.20 ml min-1 kg-1, respectively) as were those for TP and TB (0.93 and 1.20 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],2.20,6248,DB00201,Caffeine
,3756065,total plasma clearances,"The total plasma clearances of CA and PX were similar in value (2.07 and 2.20 ml min-1 kg-1, respectively) as were those for TP and TB (0.93 and 1.20 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],0.93,6249,DB00201,Caffeine
,3756065,total plasma clearances,"The total plasma clearances of CA and PX were similar in value (2.07 and 2.20 ml min-1 kg-1, respectively) as were those for TP and TB (0.93 and 1.20 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],1.20,6250,DB00201,Caffeine
,3756065,unbound plasma clearances,"The unbound plasma clearances of CA and PX were also similar in magnitude (3.11 and 4.14 ml min-1 kg-1, respectively) as were those of TP and TB (1.61 and 1.39 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],3.11,6251,DB00201,Caffeine
,3756065,unbound plasma clearances,"The unbound plasma clearances of CA and PX were also similar in magnitude (3.11 and 4.14 ml min-1 kg-1, respectively) as were those of TP and TB (1.61 and 1.39 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],4.14,6252,DB00201,Caffeine
,3756065,unbound plasma clearances,"The unbound plasma clearances of CA and PX were also similar in magnitude (3.11 and 4.14 ml min-1 kg-1, respectively) as were those of TP and TB (1.61 and 1.39 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],1.61,6253,DB00201,Caffeine
,3756065,unbound plasma clearances,"The unbound plasma clearances of CA and PX were also similar in magnitude (3.11 and 4.14 ml min-1 kg-1, respectively) as were those of TP and TB (1.61 and 1.39 ml min-1 kg-1, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),[ml] / [kg·min],1.39,6254,DB00201,Caffeine
,3756065,half-lives,"The half-lives of TP and TB (6.2 and 7.2 h, respectively) were significantly longer than those of CA and PX (4.1 and 3.1 h, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),h,6.2,6255,DB00201,Caffeine
,3756065,half-lives,"The half-lives of TP and TB (6.2 and 7.2 h, respectively) were significantly longer than those of CA and PX (4.1 and 3.1 h, respectively).","Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3756065/),h,7.2,6256,DB00201,Caffeine
