Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,33099115,flow rate,"Chromatographic separation was carried out on Kinetex C18 column (1.7 μm, 100 × 2.10 mm) under an isocratic elution at a flow rate of 0.4 mL/min with a total runtime of 3.5 min.",Sensitive and rapid UHPLC-MS/MS assay for simultaneous quantifications of calcipotriol and paclitaxel in rat whole blood and plasma samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33099115/),[ml] / [min],0.4,158233,DB02300,Calcipotriol
,33099115,total runtime,"Chromatographic separation was carried out on Kinetex C18 column (1.7 μm, 100 × 2.10 mm) under an isocratic elution at a flow rate of 0.4 mL/min with a total runtime of 3.5 min.",Sensitive and rapid UHPLC-MS/MS assay for simultaneous quantifications of calcipotriol and paclitaxel in rat whole blood and plasma samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33099115/),min,3.5,158234,DB02300,Calcipotriol
,33099115,total run time,"Additionally, only 20 μL of rat whole blood or plasma is required and the total run time per sample is 3.5 min.",Sensitive and rapid UHPLC-MS/MS assay for simultaneous quantifications of calcipotriol and paclitaxel in rat whole blood and plasma samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33099115/),min,3.5,158235,DB02300,Calcipotriol
,30562554,terminal half-life,The terminal half-life of calcipotriol was approximately 1 h after an IV dose.,Pharmacokinetics of intra-articular vitamin D analogue calcipotriol in sheep and metabolism in human synovial and mesenchymal stromal cells. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/30562554/),h,1,159880,DB02300,Calcipotriol
,30562554,systemic absorption,"After intra-articular dosing, the systemic absorption was between 1 and 13% during the observed 24 h.",Pharmacokinetics of intra-articular vitamin D analogue calcipotriol in sheep and metabolism in human synovial and mesenchymal stromal cells. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30562554/),%,1 and 13,159881,DB02300,Calcipotriol
,2004595,rate,"Quantification of the metabolic clearance rate (MCR) of OCT in 8 normal dogs using a single bolus injection technique showed that OCT was cleared at a rate of 48.2 +/- 7.5 ml/min, approximately 6-7 times more rapidly than 1,25-(OH)2D3 (6.8 +/- 0.4 ml/min).",On the mechanisms for the selective action of vitamin D analogs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2004595/),[ml] / [min],48.2,170453,DB02300,Calcipotriol
,2004595,rate,"Quantification of the metabolic clearance rate (MCR) of OCT in 8 normal dogs using a single bolus injection technique showed that OCT was cleared at a rate of 48.2 +/- 7.5 ml/min, approximately 6-7 times more rapidly than 1,25-(OH)2D3 (6.8 +/- 0.4 ml/min).",On the mechanisms for the selective action of vitamin D analogs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2004595/),[ml] / [min],6.8,170454,DB02300,Calcipotriol
,2004595,half-life,"The estimated half-life of OCT in the circulation was 2.5 +/- 0.3 h compared to 7.0 +/- 0.6; n = 7 for 1,25-(OH)2D3.",On the mechanisms for the selective action of vitamin D analogs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2004595/),h,2.5,170455,DB02300,Calcipotriol
,2004595,half-life,"The estimated half-life of OCT in the circulation was 2.5 +/- 0.3 h compared to 7.0 +/- 0.6; n = 7 for 1,25-(OH)2D3.",On the mechanisms for the selective action of vitamin D analogs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2004595/),,7.0,170456,DB02300,Calcipotriol
,2004595,MCR,Uremia does not affect the rate of clearance of OCT from the circulation (MCR: 56.8 +/- 4.5; t1/2 = 2.1 +/- 0.2 n = 4).,On the mechanisms for the selective action of vitamin D analogs. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2004595/),,56.8,170457,DB02300,Calcipotriol
,2004595,t1/2,Uremia does not affect the rate of clearance of OCT from the circulation (MCR: 56.8 +/- 4.5; t1/2 = 2.1 +/- 0.2 n = 4).,On the mechanisms for the selective action of vitamin D analogs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2004595/),,2.1,170458,DB02300,Calcipotriol
