Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29972644,IC50,"Compared with our previous lead compound S-230, our most potent antagonist, S-C025, has an IC50 (120 pM) over 80 times lower and a substantially longer plasma half-life.","Novel Highly Potent and Metabolically Resistant Oxoeicosanoid (OXE) Receptor Antagonists That Block the Actions of the Granulocyte Chemoattractant 5-Oxo-6,8,11,14-Eicosatetraenoic Acid (5-oxo-ETE). ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29972644/),pM,120,139,DB01373,Calcium
,29972644,IC50,"A single major metabolite, which retains antagonist activity (IC50, 690 pM) and has a prolonged lifetime in plasma was observed.","Novel Highly Potent and Metabolically Resistant Oxoeicosanoid (OXE) Receptor Antagonists That Block the Actions of the Granulocyte Chemoattractant 5-Oxo-6,8,11,14-Eicosatetraenoic Acid (5-oxo-ETE). ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29972644/),pM,690,140,DB01373,Calcium
,21988149,release,"The highest significant release (p < 0.05) was achieved from the lyophilized ternary complex containing 100 mg of Fn in presence of polyvinylpyrrolidone (PVP K(25)), exhibiting a release of 88.25% ± 0.93 after 5 min of chewing.","Immediate release three-layered chewing gum tablets of fenoprofen calcium: preparation, optimization and bioavailability studies in healthy human volunteers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21988149/),%,88.25,350,DB01373,Calcium
,21988149,relative bioavailability,The relative bioavailability of the selected gum tablet was found to be 166.06% compared to Nalfon(®) 200 mg capsules.,"Immediate release three-layered chewing gum tablets of fenoprofen calcium: preparation, optimization and bioavailability studies in healthy human volunteers. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21988149/),%,166.06,351,DB01373,Calcium
,15031600,"peak plasma 1,25-D(3) concentrations (Cp(max))","After 0.125 and 0.5 microg dosing, peak plasma 1,25-D(3) concentrations (Cp(max)) were 12.0 ng/ml (CI 95%, 10.8-12.6) and 41.6 ng/ml (CI 95%, 40.8-53.6), respectively.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[ng] / [ml],12.0,664,DB01373,Calcium
,15031600,"peak plasma 1,25-D(3) concentrations (Cp(max))","After 0.125 and 0.5 microg dosing, peak plasma 1,25-D(3) concentrations (Cp(max)) were 12.0 ng/ml (CI 95%, 10.8-12.6) and 41.6 ng/ml (CI 95%, 40.8-53.6), respectively.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[ng] / [ml],41.6,665,DB01373,Calcium
,15031600,areas under the curve (AUC(0->24 h)),"The corresponding areas under the curve (AUC(0->24 h)) were 47.0 (CI 95%, 43.2-51.1) and 128.0 (CI 95%, 127.0-130.0) ng.h/ml.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[h·ng] / [ml],47.0,666,DB01373,Calcium
,15031600,areas under the curve (AUC(0->24 h)),"The corresponding areas under the curve (AUC(0->24 h)) were 47.0 (CI 95%, 43.2-51.1) and 128.0 (CI 95%, 127.0-130.0) ng.h/ml.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[h·ng] / [ml],128.0,667,DB01373,Calcium
,15365401,percentage of absorption for,"At an ingested calcium load of 3.18 mmol, percentage of absorption for water averaged 22.53 +/- 2.53 (mean +/- SD) for men, 22.57 +/- 2.10 (mean +/- SD) for premenopausal women and 21.62 +/- 3.12 (mean +/- SD) for postmenopausal women.","Calcium bioavailability from a calcium-rich mineral water, with some observations on method. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15365401/),,22.53,1333,DB01373,Calcium
,15365401,percentage of absorption for,"At an ingested calcium load of 3.18 mmol, percentage of absorption for water averaged 22.53 +/- 2.53 (mean +/- SD) for men, 22.57 +/- 2.10 (mean +/- SD) for premenopausal women and 21.62 +/- 3.12 (mean +/- SD) for postmenopausal women.","Calcium bioavailability from a calcium-rich mineral water, with some observations on method. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15365401/),,22.57,1334,DB01373,Calcium
,15365401,percentage of absorption for,"At an ingested calcium load of 3.18 mmol, percentage of absorption for water averaged 22.53 +/- 2.53 (mean +/- SD) for men, 22.57 +/- 2.10 (mean +/- SD) for premenopausal women and 21.62 +/- 3.12 (mean +/- SD) for postmenopausal women.","Calcium bioavailability from a calcium-rich mineral water, with some observations on method. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15365401/),,21.62,1335,DB01373,Calcium
,15365401,Percentage absorption from,Percentage absorption from milk was 23.15 +/- 4.06 (mean +/- SD).,"Calcium bioavailability from a calcium-rich mineral water, with some observations on method. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15365401/),,23.15,1336,DB01373,Calcium
,17174058,flow-rate,"The analysis was carried out on an ACQUITY UPLC BEH C(18) column (50 mm x 2.1 mm, i.d., 1.7 microm) with gradient elution at a flow-rate of 0.35 ml/min.",Determination and pharmacokinetic study of amlodipine in human plasma by ultra performance liquid chromatography-electrospray ionization mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17174058/),[ml] / [min],0.35,1393,DB01373,Calcium
,27671833,C24 h,"However, significant reduction in the trough concentrations of raltegravir was observed: C24 h 0.43 (0.36, 0.51) in the presence of calcium carbonate antacids and 0.42 (0.34, 0.52) in presence of magnesium/aluminium hydroxide, respectively.",Effect of metal-cation antacids on the pharmacokinetics of 1200 mg raltegravir. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27671833/),,0.43,2060,DB01373,Calcium
,27671833,C24 h,"However, significant reduction in the trough concentrations of raltegravir was observed: C24 h 0.43 (0.36, 0.51) in the presence of calcium carbonate antacids and 0.42 (0.34, 0.52) in presence of magnesium/aluminium hydroxide, respectively.",Effect of metal-cation antacids on the pharmacokinetics of 1200 mg raltegravir. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27671833/),,0.42,2061,DB01373,Calcium
,15492770,clearance,Clevidipine has a high clearance (0.05 L/min/kg) and is rapidly hydrolyzed to inactive metabolites by esterases in arterial blood.,"Pharmacodynamic, pharmacokinetic and clinical effects of clevidipine, an ultrashort-acting calcium antagonist for rapid blood pressure control. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15492770/),[l] / [kg·min],0.05,2194,DB01373,Calcium
>,32647975,serum corrected calcium (cCa),Mean serum corrected calcium (cCa) for all patients was maintained > 2.25 mmol/L.,"Phase 1, single-dose study to assess the safety, tolerability, pharmacokinetics, and pharmacodynamics of etelcalcetide in pediatric patients with secondary hyperparathyroidism receiving hemodialysis. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32647975/),[mM] / [l],2.25,2501,DB01373,Calcium
,12951478,IC(50),"The simultaneous addition of GBE to small intestine and liver microsomes inhibited the formation of N-demethyl DTZ (MA), an active metabolite of DTZ produced by CYP3A, in a concentration-dependent manner, with an IC(50) of about 50 and 182 microg/ml, respectively.",Studies on interactions between functional foods or dietary supplements and medicines. I. Effects of Ginkgo biloba leaf extract on the pharmacokinetics of diltiazem in rats. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951478/),[μg] / [ml],50,2528,DB01373,Calcium
,12951478,IC(50),"The simultaneous addition of GBE to small intestine and liver microsomes inhibited the formation of N-demethyl DTZ (MA), an active metabolite of DTZ produced by CYP3A, in a concentration-dependent manner, with an IC(50) of about 50 and 182 microg/ml, respectively.",Studies on interactions between functional foods or dietary supplements and medicines. I. Effects of Ginkgo biloba leaf extract on the pharmacokinetics of diltiazem in rats. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951478/),[μg] / [ml],182,2529,DB01373,Calcium
,28892871,emulsification time,"D-optimal mixture design was used for systematic optimization of L-SNEDDS, which exhibited emulsification time of 131s, globule size <100nm and faster drug release rate >80% in 15min.",Formulation by design approach for development of ultrafine self-nanoemulsifying systems of rosuvastatin calcium containing long-chain lipophiles for hyperlipidemia management. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28892871/),s,131,2566,DB01373,Calcium
,16640453,absolute bioavailability,The absolute bioavailability ranges from 35% to 50%.,Clinical pharmacokinetics of ranolazine. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),%,35,3347,DB01373,Calcium
,16640453,absolute bioavailability,The absolute bioavailability ranges from 35% to 50%.,Clinical pharmacokinetics of ranolazine. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),%,50,3348,DB01373,Calcium
,16640453,protein binding,Ranolazine protein binding is about 61-64% over the therapeutic concentration range.,Clinical pharmacokinetics of ranolazine. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),%,61-64,3349,DB01373,Calcium
,16640453,Volume of distribution at steady state,Volume of distribution at steady state ranges from 85 to 180 L.,Clinical pharmacokinetics of ranolazine. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),l,85 to 180,3350,DB01373,Calcium
,16640453,Elimination half-life,"Elimination half-life of ranolazine is 1.4-1.9 hours but is apparently prolonged, on average, to 7 hours for the ER formulation as a result of extended absorption (flip-flop kinetics).",Clinical pharmacokinetics of ranolazine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),h,1.4-1.9,3351,DB01373,Calcium
,16640453,Elimination half-life,"Elimination half-life of ranolazine is 1.4-1.9 hours but is apparently prolonged, on average, to 7 hours for the ER formulation as a result of extended absorption (flip-flop kinetics).",Clinical pharmacokinetics of ranolazine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),h,7,3352,DB01373,Calcium
,16640453,Oral plasma clearance,"Oral plasma clearance diminishes with dose from, on average, 45 L/h at 500 mg twice daily to 33 L/h at 1000 mg twice daily.",Clinical pharmacokinetics of ranolazine. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),[l] / [h],45,3353,DB01373,Calcium
,16640453,Oral plasma clearance,"Oral plasma clearance diminishes with dose from, on average, 45 L/h at 500 mg twice daily to 33 L/h at 1000 mg twice daily.",Clinical pharmacokinetics of ranolazine. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16640453/),[l] / [h],33,3354,DB01373,Calcium
,25234550,relative bioavailability,The mean (SD) relative bioavailability calculated from the ratios (T/R) of AUC0-t was 101.3% (19.7%).,"Comparison of scaled-average, population, and individual bioequivalence on 2 tablets of pitavastatin calcium: a 3-period, reference-replicated, crossover study in healthy Chinese volunteers. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25234550/),%,101.3,3384,DB01373,Calcium
