Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16025254,t(1/2),"During GLP-1 infusion, candoxatril doubled C-terminal immunoreactivity, improving the pharmacokinetics (t(1/2) 2.3+/-0.1 to 8.8+/-1.2 min; metabolic clearance rate [MCR] 20.4+/-3.4 to 4.8+/-0.4 ml.kg(-1).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,2.3,56674,DB00616,Candoxatril
,16025254,t(1/2),"During GLP-1 infusion, candoxatril doubled C-terminal immunoreactivity, improving the pharmacokinetics (t(1/2) 2.3+/-0.1 to 8.8+/-1.2 min; metabolic clearance rate [MCR] 20.4+/-3.4 to 4.8+/-0.4 ml.kg(-1).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,8.8,56675,DB00616,Candoxatril
,16025254,metabolic clearance rate [MCR],"During GLP-1 infusion, candoxatril doubled C-terminal immunoreactivity, improving the pharmacokinetics (t(1/2) 2.3+/-0.1 to 8.8+/-1.2 min; metabolic clearance rate [MCR] 20.4+/-3.4 to 4.8+/-0.4 ml.kg(-1).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg],20.4,56676,DB00616,Candoxatril
,16025254,metabolic clearance rate [MCR],"During GLP-1 infusion, candoxatril doubled C-terminal immunoreactivity, improving the pharmacokinetics (t(1/2) 2.3+/-0.1 to 8.8+/-1.2 min; metabolic clearance rate [MCR] 20.4+/-3.4 to 4.8+/-0.4 ml.kg(-1).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg],4.8,56677,DB00616,Candoxatril
,16025254,t(1/2),"min(-1); p<0.01), but had no effect upon intact GLP-1 (t(1/2) 1.4+/-0.1 to 1.6+/-0.1 min; MCR 47.9+/-8.0 to 38.8+/-5.0 ml.kg(-1).min(-1)).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,1.4,56678,DB00616,Candoxatril
,16025254,t(1/2),"min(-1); p<0.01), but had no effect upon intact GLP-1 (t(1/2) 1.4+/-0.1 to 1.6+/-0.1 min; MCR 47.9+/-8.0 to 38.8+/-5.0 ml.kg(-1).min(-1)).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,1.6,56679,DB00616,Candoxatril
,16025254,MCR,"min(-1); p<0.01), but had no effect upon intact GLP-1 (t(1/2) 1.4+/-0.1 to 1.6+/-0.1 min; MCR 47.9+/-8.0 to 38.8+/-5.0 ml.kg(-1).min(-1)).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg·min],47.9,56680,DB00616,Candoxatril
,16025254,MCR,"min(-1); p<0.01), but had no effect upon intact GLP-1 (t(1/2) 1.4+/-0.1 to 1.6+/-0.1 min; MCR 47.9+/-8.0 to 38.8+/-5.0 ml.kg(-1).min(-1)).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg·min],38.8,56681,DB00616,Candoxatril
,16025254,DeltaAUC(min,"Insulin responses to intravenous glucose were unaffected by candoxatril, but glucose tolerance was improved (DeltaAUC(min 27-87) 118+/-5 to 74+/-14 min.mmol.l(-1); glucose elimination rate [k] 6.6+/-0.5 to 8.6+/-0.5%; p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,AUMC-Q20,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[mM·min] / [l],27,56682,DB00616,Candoxatril
,16025254,DeltaAUC(min,"Insulin responses to intravenous glucose were unaffected by candoxatril, but glucose tolerance was improved (DeltaAUC(min 27-87) 118+/-5 to 74+/-14 min.mmol.l(-1); glucose elimination rate [k] 6.6+/-0.5 to 8.6+/-0.5%; p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,AUMC-Q20,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[mM·min] / [l],118,56683,DB00616,Candoxatril
,16025254,DeltaAUC(min,"Insulin responses to intravenous glucose were unaffected by candoxatril, but glucose tolerance was improved (DeltaAUC(min 27-87) 118+/-5 to 74+/-14 min.mmol.l(-1); glucose elimination rate [k] 6.6+/-0.5 to 8.6+/-0.5%; p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,AUMC-Q20,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[mM·min] / [l],74,56684,DB00616,Candoxatril
,16025254,glucose elimination rate [k],"Insulin responses to intravenous glucose were unaffected by candoxatril, but glucose tolerance was improved (DeltaAUC(min 27-87) 118+/-5 to 74+/-14 min.mmol.l(-1); glucose elimination rate [k] 6.6+/-0.5 to 8.6+/-0.5%; p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),%,6.6,56685,DB00616,Candoxatril
,16025254,glucose elimination rate [k],"Insulin responses to intravenous glucose were unaffected by candoxatril, but glucose tolerance was improved (DeltaAUC(min 27-87) 118+/-5 to 74+/-14 min.mmol.l(-1); glucose elimination rate [k] 6.6+/-0.5 to 8.6+/-0.5%; p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),%,8.6,56686,DB00616,Candoxatril
,16025254,t(1/2),"When candoxatril was co-administered with valine pyrrolidide (a DPP-IV inhibitor), changes in C-terminal GLP-1 pharmacokinetics mirrored those seen when candoxatril alone was administered (t(1/2) 2.7+/-0.3 and 7.7+/-0.8 min; MCR 17.3+/-2.6 and 6.5+/-0.8 ml.kg(-1).min(-1) for valine pyrrolidide without and with candoxatril, respectively).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,2.7,56687,DB00616,Candoxatril
,16025254,t(1/2),"When candoxatril was co-administered with valine pyrrolidide (a DPP-IV inhibitor), changes in C-terminal GLP-1 pharmacokinetics mirrored those seen when candoxatril alone was administered (t(1/2) 2.7+/-0.3 and 7.7+/-0.8 min; MCR 17.3+/-2.6 and 6.5+/-0.8 ml.kg(-1).min(-1) for valine pyrrolidide without and with candoxatril, respectively).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,7.7,56688,DB00616,Candoxatril
,16025254,MCR,"When candoxatril was co-administered with valine pyrrolidide (a DPP-IV inhibitor), changes in C-terminal GLP-1 pharmacokinetics mirrored those seen when candoxatril alone was administered (t(1/2) 2.7+/-0.3 and 7.7+/-0.8 min; MCR 17.3+/-2.6 and 6.5+/-0.8 ml.kg(-1).min(-1) for valine pyrrolidide without and with candoxatril, respectively).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg·min],17.3,56689,DB00616,Candoxatril
,16025254,MCR,"When candoxatril was co-administered with valine pyrrolidide (a DPP-IV inhibitor), changes in C-terminal GLP-1 pharmacokinetics mirrored those seen when candoxatril alone was administered (t(1/2) 2.7+/-0.3 and 7.7+/-0.8 min; MCR 17.3+/-2.6 and 6.5+/-0.8 ml.kg(-1).min(-1) for valine pyrrolidide without and with candoxatril, respectively).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg·min],6.5,56690,DB00616,Candoxatril
,16025254,t(1/2),"However, intact GLP-1 pharmacokinetics were improved (t(1/2) 2.8+/-0.3 and 7.5+/-0.6 min; MCR 18.3+/-0.6 and 9.4+/-0.9 ml.kg(-1).min(-1); p<0.02), potentiating the antihyperglycaemic/insulinotropic effects of GLP-1 (glucose deltaAUC(min 27- 87) 103+/-8 to 62+/-14 min.mmol.l(-1); k 6.8+/-0.4 to 11.4+/-1.4%; insulin deltaAUC(min 27-87) 3,680+/-738 to 7,201+/-1,183 min.pmol.l(-1); p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,2.8,56691,DB00616,Candoxatril
,16025254,t(1/2),"However, intact GLP-1 pharmacokinetics were improved (t(1/2) 2.8+/-0.3 and 7.5+/-0.6 min; MCR 18.3+/-0.6 and 9.4+/-0.9 ml.kg(-1).min(-1); p<0.02), potentiating the antihyperglycaemic/insulinotropic effects of GLP-1 (glucose deltaAUC(min 27- 87) 103+/-8 to 62+/-14 min.mmol.l(-1); k 6.8+/-0.4 to 11.4+/-1.4%; insulin deltaAUC(min 27-87) 3,680+/-738 to 7,201+/-1,183 min.pmol.l(-1); p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),min,7.5,56692,DB00616,Candoxatril
,16025254,MCR,"However, intact GLP-1 pharmacokinetics were improved (t(1/2) 2.8+/-0.3 and 7.5+/-0.6 min; MCR 18.3+/-0.6 and 9.4+/-0.9 ml.kg(-1).min(-1); p<0.02), potentiating the antihyperglycaemic/insulinotropic effects of GLP-1 (glucose deltaAUC(min 27- 87) 103+/-8 to 62+/-14 min.mmol.l(-1); k 6.8+/-0.4 to 11.4+/-1.4%; insulin deltaAUC(min 27-87) 3,680+/-738 to 7,201+/-1,183 min.pmol.l(-1); p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg·min],18.3,56693,DB00616,Candoxatril
,16025254,MCR,"However, intact GLP-1 pharmacokinetics were improved (t(1/2) 2.8+/-0.3 and 7.5+/-0.6 min; MCR 18.3+/-0.6 and 9.4+/-0.9 ml.kg(-1).min(-1); p<0.02), potentiating the antihyperglycaemic/insulinotropic effects of GLP-1 (glucose deltaAUC(min 27- 87) 103+/-8 to 62+/-14 min.mmol.l(-1); k 6.8+/-0.4 to 11.4+/-1.4%; insulin deltaAUC(min 27-87) 3,680+/-738 to 7,201+/-1,183 min.pmol.l(-1); p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[ml] / [kg·min],9.4,56694,DB00616,Candoxatril
,16025254,glucose deltaAUC,"However, intact GLP-1 pharmacokinetics were improved (t(1/2) 2.8+/-0.3 and 7.5+/-0.6 min; MCR 18.3+/-0.6 and 9.4+/-0.9 ml.kg(-1).min(-1); p<0.02), potentiating the antihyperglycaemic/insulinotropic effects of GLP-1 (glucose deltaAUC(min 27- 87) 103+/-8 to 62+/-14 min.mmol.l(-1); k 6.8+/-0.4 to 11.4+/-1.4%; insulin deltaAUC(min 27-87) 3,680+/-738 to 7,201+/-1,183 min.pmol.l(-1); p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[mM·min] / [l],103,56695,DB00616,Candoxatril
,16025254,glucose deltaAUC,"However, intact GLP-1 pharmacokinetics were improved (t(1/2) 2.8+/-0.3 and 7.5+/-0.6 min; MCR 18.3+/-0.6 and 9.4+/-0.9 ml.kg(-1).min(-1); p<0.02), potentiating the antihyperglycaemic/insulinotropic effects of GLP-1 (glucose deltaAUC(min 27- 87) 103+/-8 to 62+/-14 min.mmol.l(-1); k 6.8+/-0.4 to 11.4+/-1.4%; insulin deltaAUC(min 27-87) 3,680+/-738 to 7,201+/-1,183 min.pmol.l(-1); p<0.05).",Neutral endopeptidase 24.11 and dipeptidyl peptidase IV are both mediators of the degradation of glucagon-like peptide 1 in the anaesthetised pig. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16025254/),[mM·min] / [l],62,56696,DB00616,Candoxatril
