Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
< or =,15613930,AUC,"However, significant increases in AUC and Cmax, and a significant reduction in Tmax by adding AsA were observed in 25 patients with baseline AUC < or =2500 ng.hour/mL.",The effect of ascorbic acid on the pharmacokinetics of levodopa in elderly patients with Parkinson disease. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15613930/),[h·ng] / [ml],2500,8056,DB00190,Carbidopa
,2685650,time to peak levodopa concentration,"Compared to standard Sinemet 25/100, time to peak levodopa concentration (2.3 versus 1.1 hrs), onset of maximal clinical improvement (2.2 versus 1.1 hrs), and other indices were significantly delayed with Sinemet CR.",Controlled-release carbidopa/levodopa (Sinemet 50/200 CR4): clinical and pharmacokinetic studies. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2685650/),h,2.3,10955,DB00190,Carbidopa
,2685650,time to peak levodopa concentration,"Compared to standard Sinemet 25/100, time to peak levodopa concentration (2.3 versus 1.1 hrs), onset of maximal clinical improvement (2.2 versus 1.1 hrs), and other indices were significantly delayed with Sinemet CR.",Controlled-release carbidopa/levodopa (Sinemet 50/200 CR4): clinical and pharmacokinetic studies. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2685650/),h,1.1,10956,DB00190,Carbidopa
,2685650,onset of maximal clinical improvement,"Compared to standard Sinemet 25/100, time to peak levodopa concentration (2.3 versus 1.1 hrs), onset of maximal clinical improvement (2.2 versus 1.1 hrs), and other indices were significantly delayed with Sinemet CR.",Controlled-release carbidopa/levodopa (Sinemet 50/200 CR4): clinical and pharmacokinetic studies. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2685650/),h,2.2,10957,DB00190,Carbidopa
,2685650,onset of maximal clinical improvement,"Compared to standard Sinemet 25/100, time to peak levodopa concentration (2.3 versus 1.1 hrs), onset of maximal clinical improvement (2.2 versus 1.1 hrs), and other indices were significantly delayed with Sinemet CR.",Controlled-release carbidopa/levodopa (Sinemet 50/200 CR4): clinical and pharmacokinetic studies. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2685650/),h,1.1,10958,DB00190,Carbidopa
,25875940,bioavailability,Levodopa bioavailability was 99 % for LCIG relative to LC-oral.,Jejunal Infusion of levodopa-carbidopa intestinal gel versus oral administration of levodopa-carbidopa tablets in japanese subjects with advanced Parkinson's disease: pharmacokinetics and pilot efficacy and safety. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25875940/),%,99,13683,DB00190,Carbidopa
,30977301,Tmax,"For both formulations, the median Tmax for levodopa was 1.0 and 3.0 hours for carbidopa.",Levodopa-carbidopa intestinal gel high concentration formulation is clinically bioequivalent to commercial formulation. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30977301/),h,1.0,19348,DB00190,Carbidopa
,30977301,Tmax,"For both formulations, the median Tmax for levodopa was 1.0 and 3.0 hours for carbidopa.",Levodopa-carbidopa intestinal gel high concentration formulation is clinically bioequivalent to commercial formulation. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30977301/),h,3.0,19349,DB00190,Carbidopa
,30977301,half-life,The levodopa half-life harmonic mean was 1.6 hour for both formulations.,Levodopa-carbidopa intestinal gel high concentration formulation is clinically bioequivalent to commercial formulation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30977301/),h,1.6,19350,DB00190,Carbidopa
,30977301,half-life,"The carbidopa half-life harmonic mean was 1.9 and 2.0 hour, respectively, for the LCIG-HV and LCIG-LV formulations.",Levodopa-carbidopa intestinal gel high concentration formulation is clinically bioequivalent to commercial formulation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30977301/),h,1.9,19351,DB00190,Carbidopa
,30977301,half-life,"The carbidopa half-life harmonic mean was 1.9 and 2.0 hour, respectively, for the LCIG-HV and LCIG-LV formulations.",Levodopa-carbidopa intestinal gel high concentration formulation is clinically bioequivalent to commercial formulation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30977301/),h,2.0,19352,DB00190,Carbidopa
,15496222,AUC(0-12 h),"Donepezil PK assessments of PD patients receiving levodopa/carbidopa were similar to the PK results from healthy controls who received donepezil HCl only (mean AUC(0-12 h)= 281.6 +/- 17.6 and 268.6 +/- 19.9 ng.h ml(-1), respectively).",Concurrent administration of donepezil HCl and levodopa/carbidopa in patients with Parkinson's disease: assessment of pharmacokinetic changes and safety following multiple oral doses. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15496222/),[h·ng] / [ml],281.6,28359,DB00190,Carbidopa
