Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,18471142,t(max),The time to reach peak concentrations after carbimazole administration was quite long (t(max) 6 h).,Pharmacokinetics of controlled-release carbimazole tablets support once daily dosing in cats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18471142/),h,6,13701,DB00389,Carbimazole
,18471142,absolute bioavailability,The absolute bioavailability of carbimazole was around 88 +/- 11%.,Pharmacokinetics of controlled-release carbimazole tablets support once daily dosing in cats. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18471142/),%,88,13702,DB00389,Carbimazole
,18471142,relative oral bioavailability,The relative oral bioavailability of methimazole following administration of the controlled-release tablets was similar to that of a conventional release formulation (83 +/- 21%).,Pharmacokinetics of controlled-release carbimazole tablets support once daily dosing in cats. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18471142/),%,83,13703,DB00389,Carbimazole
,6642787,Maximum concentrations,"Maximum concentrations of 163 and 149 ng/ml, respectively, were reached in both instances at 0.9 h after intake of 15 mg carbimazole and 10 mg methimazole.",Comparative bioavailability of carbimazole and methimazole. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6642787/),[ng] / [ml],163,62696,DB00389,Carbimazole
,6642787,Maximum concentrations,"Maximum concentrations of 163 and 149 ng/ml, respectively, were reached in both instances at 0.9 h after intake of 15 mg carbimazole and 10 mg methimazole.",Comparative bioavailability of carbimazole and methimazole. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6642787/),[ng] / [ml],149,62697,DB00389,Carbimazole
,6642787,plasma half-life,"The plasma half-life was 5.7 and 5.4 h, respectively.",Comparative bioavailability of carbimazole and methimazole. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6642787/),h,5.7,62698,DB00389,Carbimazole
,6642787,plasma half-life,"The plasma half-life was 5.7 and 5.4 h, respectively.",Comparative bioavailability of carbimazole and methimazole. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6642787/),h,5.4,62699,DB00389,Carbimazole
,8337482,peak values,"After the administration of 5 mg of methimazole, serum concentrations of methimazole increased in all the cats, with mean drug concentrations reaching peak values (1.37 micrograms ml-1) at 30 minutes.",Comparison of the disposition of carbimazole and methimazole in clinically normal cats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8337482/),[μg] / [ml],1.37,120903,DB00389,Carbimazole
,27519497,Peak serum levels (Cmax),"Peak serum levels (Cmax) of digoxin were significantly lowered (1.72 ± 0.33 vs 1.33 ± 0.29 µtg/L, p = 0.0275) in 9 out of 10 subjects when digoxin was combined with Carbimazole.",Influence of Carbimazole on Serum Levels and Haemodynamic Effects of Digoxin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27519497/),[µtg] / [l],1.72,140008,DB00389,Carbimazole
,27519497,Peak serum levels (Cmax),"Peak serum levels (Cmax) of digoxin were significantly lowered (1.72 ± 0.33 vs 1.33 ± 0.29 µtg/L, p = 0.0275) in 9 out of 10 subjects when digoxin was combined with Carbimazole.",Influence of Carbimazole on Serum Levels and Haemodynamic Effects of Digoxin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27519497/),[µtg] / [l],1.33,140009,DB00389,Carbimazole
