Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,30,3433,DB01535,Carfentanil
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,54,3434,DB01535,Carfentanil
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,67,3435,DB01535,Carfentanil
,16950210,micro,"Relative to heroin-dependent volunteers maintained on BUP placebo, whole-brain microOR availability was 30%, 54%, 67%, and 82% at 4, 28, 52, and 76 hours after BUP.",Buprenorphine duration of action: mu-opioid receptor availability and pharmacokinetic and behavioral indices. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16950210/),%,82,3436,DB01535,Carfentanil
,30965021,limits of detection,"The method was validated following SWGTOX guidelines, and both analytes displayed limits of detection and quantification at 7.5 and 15 pg/mL, respectively.","Evidence for nonlinear accumulation of the ultrapotent fentanyl analog, carfentanil, after systemic administration to male rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30965021/),[pg] / [ml],7.5,38968,DB01535,Carfentanil
,30965021,limits of detection,"The method was validated following SWGTOX guidelines, and both analytes displayed limits of detection and quantification at 7.5 and 15 pg/mL, respectively.","Evidence for nonlinear accumulation of the ultrapotent fentanyl analog, carfentanil, after systemic administration to male rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30965021/),[pg] / [ml],15,38969,DB01535,Carfentanil
,32192089,Plasma levels,"Plasma levels were 4.6 ng/mL, 16.8 ng/mL, and 43.4 ng/mL for the three IM doses, and a significant correlation between percent RO and plasma NLX level was observed (r = 0.80).",The Effects of Intramuscular Naloxone Dose on Mu Receptor Displacement of Carfentanil in Rhesus Monkeys. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32192089/),[ng] / [ml],4.6,52599,DB01535,Carfentanil
,32192089,Plasma levels,"Plasma levels were 4.6 ng/mL, 16.8 ng/mL, and 43.4 ng/mL for the three IM doses, and a significant correlation between percent RO and plasma NLX level was observed (r = 0.80).",The Effects of Intramuscular Naloxone Dose on Mu Receptor Displacement of Carfentanil in Rhesus Monkeys. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32192089/),[ng] / [ml],16.8,52600,DB01535,Carfentanil
,32192089,Plasma levels,"Plasma levels were 4.6 ng/mL, 16.8 ng/mL, and 43.4 ng/mL for the three IM doses, and a significant correlation between percent RO and plasma NLX level was observed (r = 0.80).",The Effects of Intramuscular Naloxone Dose on Mu Receptor Displacement of Carfentanil in Rhesus Monkeys. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32192089/),[ng] / [ml],43.4,52601,DB01535,Carfentanil
,2878076,duration of action,"Alftentanil reaches its peak effect within 1 min after injection, and its duration of action is very short; at 2 times its MED50, 9r has a duration of action of 11 min.","Synthetic 1,4-disubstituted-1,4-dihydro-5H-tetrazol-5-one derivatives of fentanyl: alfentanil (R 39209), a potent, extremely short-acting narcotic analgesic. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2878076/),min,11,70928,DB01535,Carfentanil
