Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
up to,19348473,absolute bioavailability,"The lead compound, 2-Me-5-thiazole-Ser(OMe)-Ser(OMe)-Phe-ketoepoxide (58) (PR-047), selectively inhibited CT-L activity of both the constitutive proteasome (beta5) and immunoproteasome (LMP7) and demonstrated an absolute bioavailability of up to 39% in rodents and dogs.",Design and synthesis of an orally bioavailable and selective peptide epoxyketone proteasome inhibitor (PR-047). ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19348473/),%,39,1420,DB08889,Carfilzomib
,27925676,area under the concentration-time curve,"Despite inclusion of different populations (relapsed or relapsed/refractory), treatments (carfilzomib monotherapy or combination therapy), infusion lengths (2 to 10 minutes or 30 minutes), and different doses, the E-R analysis of efficacy showed that after adjusting for baseline characteristics, higher area under the concentration-time curve was associated with improved overall response rate (ORR), from 15 to 20/56 mg/m2 .",Population Pharmacokinetics and Exposure-Response Relationship of Carfilzomib in Patients With Multiple Myeloma. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27925676/),[mg] / [m2],15 to 20/56,40284,DB08889,Carfilzomib
,27925676,overall response rate (ORR),"Despite inclusion of different populations (relapsed or relapsed/refractory), treatments (carfilzomib monotherapy or combination therapy), infusion lengths (2 to 10 minutes or 30 minutes), and different doses, the E-R analysis of efficacy showed that after adjusting for baseline characteristics, higher area under the concentration-time curve was associated with improved overall response rate (ORR), from 15 to 20/56 mg/m2 .",Population Pharmacokinetics and Exposure-Response Relationship of Carfilzomib in Patients With Multiple Myeloma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27925676/),[mg] / [m2],15 to 20/56,40285,DB08889,Carfilzomib
,33735504,overall response rate,"With a median follow-up of 26.7 months, in this heavily pretreated population with a median of 3 prior lines (refractory to PIs and immunomodulatory drugs, 76%; refractory to K, 27%), the overall response rate was 70% (stringent complete response/complete response, 4; very good partial response, 8; partial response, 11).","Phase 1b trial of isatuximab, an anti-CD38 monoclonal antibody, in combination with carfilzomib as treatment of relapsed/refractory multiple myeloma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33735504/),%,70,44482,DB08889,Carfilzomib
,33735504,progression-free survival,"The median progression-free survival was 10.1 months, and the 2-year survival probability was 76%.","Phase 1b trial of isatuximab, an anti-CD38 monoclonal antibody, in combination with carfilzomib as treatment of relapsed/refractory multiple myeloma. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33735504/),month,10.1,44483,DB08889,Carfilzomib
,33735504,progression-free survival,"Seventy percent of the subjects responded to therapy, and the progression-free survival was 10.1 months.","Phase 1b trial of isatuximab, an anti-CD38 monoclonal antibody, in combination with carfilzomib as treatment of relapsed/refractory multiple myeloma. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33735504/),month,10.1,44484,DB08889,Carfilzomib
,32078124,durations,"In clinical studies, the median durations of the first, second, and subsequent intravenous infusions of daratumumab were 7.0, 4.3, and 3.4 h, respectively.",Split First Dose Administration of Intravenous Daratumumab for the Treatment of Multiple Myeloma (MM): Clinical and Population Pharmacokinetic Analyses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32078124/),,4.3,58493,DB08889,Carfilzomib
,32078124,durations,"In clinical studies, the median durations of the first, second, and subsequent intravenous infusions of daratumumab were 7.0, 4.3, and 3.4 h, respectively.",Split First Dose Administration of Intravenous Daratumumab for the Treatment of Multiple Myeloma (MM): Clinical and Population Pharmacokinetic Analyses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32078124/),,3.4,58494,DB08889,Carfilzomib
,32078124,Kd,"In MMY1001, following administration of the second half of a split first dose on Cycle 1 Day 2, postinfusion median (range) daratumumab concentrations were similar between split first dose [D-Kd, 254.9 (125.8-435.5) µg/ml; D-KRd, 277.2 (164.0-341.8) µg/ml; combined, 256.8 (125.8-435.5) µg/ml] and single first dose [D-Kd, 319.2 (237.5-394.7) µg/ml].",Split First Dose Administration of Intravenous Daratumumab for the Treatment of Multiple Myeloma (MM): Clinical and Population Pharmacokinetic Analyses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32078124/),[μg] / [ml],254.9,58495,DB08889,Carfilzomib
,32078124,D-KRd,"In MMY1001, following administration of the second half of a split first dose on Cycle 1 Day 2, postinfusion median (range) daratumumab concentrations were similar between split first dose [D-Kd, 254.9 (125.8-435.5) µg/ml; D-KRd, 277.2 (164.0-341.8) µg/ml; combined, 256.8 (125.8-435.5) µg/ml] and single first dose [D-Kd, 319.2 (237.5-394.7) µg/ml].",Split First Dose Administration of Intravenous Daratumumab for the Treatment of Multiple Myeloma (MM): Clinical and Population Pharmacokinetic Analyses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32078124/),[μg] / [ml],277.2,58496,DB08889,Carfilzomib
