Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,4092726,half-life,"In healthy subjects the half-life of carteolol was 7.1 h. 63% of the administered dose was recovered unchanged in urine, and in all 84% was excreted by the kidneys.",Pharmacokinetics of carteolol in relation to renal function. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4092726/),h,7.1,2621,DB00521,Carteolol
,4092726,renal clearance,The renal clearance of carteolol was 255 ml/min.,Pharmacokinetics of carteolol in relation to renal function. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4092726/),[ml] / [min],255,2622,DB00521,Carteolol
,4092726,terminal half-life,In chronic renal failure (CRF) the terminal half-life was increased to a maximum of 41 h.,Pharmacokinetics of carteolol in relation to renal function. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/4092726/),h,41,2623,DB00521,Carteolol
exceeded,1451723,fractional renal excretion,"The fractional renal excretion of carteolol was virtually constant at various degrees of renal function, and it always exceeded 100%, which indicates that carteolol was actively secreted, even in patients with renal failure.",Pharmacokinetics of carteolol in patients with impaired renal function. ,FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1451723/),%,100,3734,DB00521,Carteolol
,7747576,half-life,The elimination rate of pigmented tissues decreased at a half-life of approximately 15 days.,Ocular distribution of carteolol after single and repeated ocular instillation in pigmented rabbits. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7747576/),d,15,11592,DB00521,Carteolol
,6682319,elimination half-lives,"The elimination half-lives in dogs, rats and rabbits are between 1.2 and 3.0 h.",[Animal experimental studies on the pharmacokinetics of carteolol]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6682319/),h,1.2 and 3.0,23648,DB00521,Carteolol
,6682319,apparent volume of distribution,The apparent volume of distribution measured after i.v. injection was from 2.5 to 8.5 l/kg depending on species.,[Animal experimental studies on the pharmacokinetics of carteolol]. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6682319/),[l] / [kg],2.5 to 8.5,23649,DB00521,Carteolol
,328355,half-life,"The half-life of carteolol in plasma was 1.22 approximately 1.45 hr in rats, 1.73 approximately 2.08 hr in dogs and 1.42 approximately 1.43 hr in rabbits, and was independent of the route of administration.","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),h,1,40133,DB00521,Carteolol
,328355,half-life,"The half-life of carteolol in plasma was 1.22 approximately 1.45 hr in rats, 1.73 approximately 2.08 hr in dogs and 1.42 approximately 1.43 hr in rabbits, and was independent of the route of administration.","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),h,1.73,40134,DB00521,Carteolol
,328355,half-life,"The half-life of carteolol in plasma was 1.22 approximately 1.45 hr in rats, 1.73 approximately 2.08 hr in dogs and 1.42 approximately 1.43 hr in rabbits, and was independent of the route of administration.","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),h,1.,40135,DB00521,Carteolol
,328355,absorption rate constants,"The absorption rate constants, obtained from log(C1-C) approximately time plot, after oral administration were 1.89 hr-1 in rats, 1.04 hr-1 in dogs and 1.54 hr-1 in rabbits.","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),1/[h],1.89,40136,DB00521,Carteolol
,328355,absorption rate constants,"The absorption rate constants, obtained from log(C1-C) approximately time plot, after oral administration were 1.89 hr-1 in rats, 1.04 hr-1 in dogs and 1.54 hr-1 in rabbits.","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),1/[h],1.04,40137,DB00521,Carteolol
,328355,absorption rate constants,"The absorption rate constants, obtained from log(C1-C) approximately time plot, after oral administration were 1.89 hr-1 in rats, 1.04 hr-1 in dogs and 1.54 hr-1 in rabbits.","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),1/[h],1.54,40138,DB00521,Carteolol
,328355,half life (t1/2),"There were no differences between tablet and film coated tablet in the pharmacokinetic parameters of carteolol in man after oral 30 mg (tablet or film coated tablet) administration [half life (t1/2)=4.50 hr (tablet), 4.30 hr (film coated tablet), elimination rate constant (k2) equals 0.154 hr-1 (tablet), 0.161 hr-1 (film coated tablet)].","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),h,4.50,40139,DB00521,Carteolol
,328355,half life (t1/2),"There were no differences between tablet and film coated tablet in the pharmacokinetic parameters of carteolol in man after oral 30 mg (tablet or film coated tablet) administration [half life (t1/2)=4.50 hr (tablet), 4.30 hr (film coated tablet), elimination rate constant (k2) equals 0.154 hr-1 (tablet), 0.161 hr-1 (film coated tablet)].","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),h,4.30,40140,DB00521,Carteolol
,328355,elimination rate constant (k2),"There were no differences between tablet and film coated tablet in the pharmacokinetic parameters of carteolol in man after oral 30 mg (tablet or film coated tablet) administration [half life (t1/2)=4.50 hr (tablet), 4.30 hr (film coated tablet), elimination rate constant (k2) equals 0.154 hr-1 (tablet), 0.161 hr-1 (film coated tablet)].","[Metabolic fate of carteolol hydrochloride (OPC-1085), a new beta-adrenergic blocking agent. (6) Pharmacokinetics of carteolol in the rat, dog, rabbit and man]. ",k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/328355/),1/[h],0.154,40141,DB00521,Carteolol
