Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25707517,oral clearance,"Typical mean value of MPA oral clearance, estimated by base model (without covariates) was 0.741 L h(-1).",Variability of mycophenolic acid elimination in the renal transplant recipients – population pharmacokinetic approach. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25707517/),[l] / [h],0.741,1786,DB01136,Carvedilol
,26348083,50% inhibitory concentration (IC(50)),Cilostazol inhibited CYP2C9 activity in a concentration-dependent manner with 50% inhibitory concentration (IC(50)) of 8.7 μM.,Effects of cilostazol on the pharmacokinetics of carvedilol after oral and intravenous administration in rats. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26348083/),μM,8.7,1794,DB01136,Carvedilol
,20515526,flow rate,The eluent was monitored by spectroflourimetric detector at a flow rate of 1.0 mL/min.,High-performance liquid chromatography determination of carvedilol in pig serum. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20515526/),[ml] / [min],1.0,3794,DB01136,Carvedilol
more,20515526,recovery,"The intra-day and inter-day coefficient of variation and percent error values of the assay method were less than 15%, and mean recovery was more than 89.95 and 94.27 for carvedilol and IS, respectively.",High-performance liquid chromatography determination of carvedilol in pig serum. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20515526/),,89.95,3795,DB01136,Carvedilol
more,20515526,recovery,"The intra-day and inter-day coefficient of variation and percent error values of the assay method were less than 15%, and mean recovery was more than 89.95 and 94.27 for carvedilol and IS, respectively.",High-performance liquid chromatography determination of carvedilol in pig serum. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20515526/),,94.27,3796,DB01136,Carvedilol
,26743643,systemic availability,"Carvedilol, a beta-adrenergic blocker, suffers from poor systemic availability (25%) due to first-pass metabolism.","Development, Optimization, and Evaluation of Carvedilol-Loaded Solid Lipid Nanoparticles for Intranasal Drug Delivery. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26743643/),%,25,14281,DB01136,Carvedilol
,26743643,EE%,The results revealed high drug EE% ranging from 68 to 87.62%.,"Development, Optimization, and Evaluation of Carvedilol-Loaded Solid Lipid Nanoparticles for Intranasal Drug Delivery. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26743643/),%,68 to 87.62,14282,DB01136,Carvedilol
,26743643,absolute bioavailability,The in vivo pharmacokinetic study revealed that the absolute bioavailability of the optimized intranasal SLNs (50.63%) was significantly higher than oral carvedilol formulation (24.11%).,"Development, Optimization, and Evaluation of Carvedilol-Loaded Solid Lipid Nanoparticles for Intranasal Drug Delivery. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26743643/),%,50.63,14283,DB01136,Carvedilol
,26743643,absolute bioavailability,The in vivo pharmacokinetic study revealed that the absolute bioavailability of the optimized intranasal SLNs (50.63%) was significantly higher than oral carvedilol formulation (24.11%).,"Development, Optimization, and Evaluation of Carvedilol-Loaded Solid Lipid Nanoparticles for Intranasal Drug Delivery. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26743643/),%,24.11,14284,DB01136,Carvedilol
,25463209,flow rate,The analysis was performed in less than 6 min with a flow rate of 0.4 mL/min.,Simultaneous quantification of carvedilol and its metabolites in rat plasma by ultra performance liquid chromatography tandem mass spectrometry and pharmacokinetic application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25463209/),[ml] / [min],0.4,14525,DB01136,Carvedilol
>,25463209,recoveries,Assay recoveries were high (>91%) and internal standard normalized matrix effects were minimal.,Simultaneous quantification of carvedilol and its metabolites in rat plasma by ultra performance liquid chromatography tandem mass spectrometry and pharmacokinetic application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25463209/),%,91,14526,DB01136,Carvedilol
