Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
less,11120966,MICs,"The MICs at which 90% of the isolates were inhibited of L-036 against methicillin-susceptible staphylococci, Streptococcus pneumoniae including penicillin-resistant organisms, Escherichia coli, Klebsiella pneumoniae, Haemophilus influenzae including ampicillin-resistant organisms, Legionella pneumophila, and Moraxella catarrhalis were equal to or less than 1 microg/ml.","In vitro and in vivo antibacterial activities of L-084, a novel oral carbapenem, against causative organisms of respiratory tract infections. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11120966/),[μg] / [ml],1,12036,DB00535,Cefdinir
,11120966,maximum concentration in serum,"In pharmacokinetics studies of L-084 in lungs of mice, the maximum concentration in serum, half-life, and area under the concentration-time curve of this drug were 9.09 microg/g of tissue, 6.18 h, and 31.0 microg.","In vitro and in vivo antibacterial activities of L-084, a novel oral carbapenem, against causative organisms of respiratory tract infections. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11120966/),[μg] / [g],9.09,12037,DB00535,Cefdinir
,11120966,half-life,"In pharmacokinetics studies of L-084 in lungs of mice, the maximum concentration in serum, half-life, and area under the concentration-time curve of this drug were 9.09 microg/g of tissue, 6.18 h, and 31.0 microg.","In vitro and in vivo antibacterial activities of L-084, a novel oral carbapenem, against causative organisms of respiratory tract infections. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11120966/),h,6.18,12038,DB00535,Cefdinir
,11120966,area under the concentration-time curve,"In pharmacokinetics studies of L-084 in lungs of mice, the maximum concentration in serum, half-life, and area under the concentration-time curve of this drug were 9.09 microg/g of tissue, 6.18 h, and 31.0 microg.","In vitro and in vivo antibacterial activities of L-084, a novel oral carbapenem, against causative organisms of respiratory tract infections. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11120966/),μg,31.0,12039,DB00535,Cefdinir
,2283709,Serum concentrations,"Serum concentrations of CFDN peaked at 0.59 to 1.76 micrograms/ml (mean 1.13 microgram/ml) at 2 hours after dosing of 3 mg/kg in 4 patients, and 0.89 to 2.49 micrograms/ml (mean 1.49 micrograms/ml) 2 or 3 hours after dosing of 6 mg/kg in the other 4 patients.",[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),[μg] / [ml],0.59 to 1.76,19676,DB00535,Cefdinir
,2283709,Serum concentrations,"Serum concentrations of CFDN peaked at 0.59 to 1.76 micrograms/ml (mean 1.13 microgram/ml) at 2 hours after dosing of 3 mg/kg in 4 patients, and 0.89 to 2.49 micrograms/ml (mean 1.49 micrograms/ml) 2 or 3 hours after dosing of 6 mg/kg in the other 4 patients.",[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),[μg] / [ml],1.13,19677,DB00535,Cefdinir
,2283709,Serum concentrations,"Serum concentrations of CFDN peaked at 0.59 to 1.76 micrograms/ml (mean 1.13 microgram/ml) at 2 hours after dosing of 3 mg/kg in 4 patients, and 0.89 to 2.49 micrograms/ml (mean 1.49 micrograms/ml) 2 or 3 hours after dosing of 6 mg/kg in the other 4 patients.",[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),[μg] / [ml],1.49,19678,DB00535,Cefdinir
,2283709,urinary excretion rates,The 8-hour urinary excretion rates were 16.0% to 21.3% (mean 17.4%) in 4 patients given a dose of 3 mg/kg and 10.9 to 21.1% (mean 15.5%) in 4 patients given a dose of 6 mg/kg.,[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),%,16.0,19679,DB00535,Cefdinir
,2283709,urinary excretion rates,The 8-hour urinary excretion rates were 16.0% to 21.3% (mean 17.4%) in 4 patients given a dose of 3 mg/kg and 10.9 to 21.1% (mean 15.5%) in 4 patients given a dose of 6 mg/kg.,[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),%,17.4,19680,DB00535,Cefdinir
,2283709,urinary excretion rates,The 8-hour urinary excretion rates were 16.0% to 21.3% (mean 17.4%) in 4 patients given a dose of 3 mg/kg and 10.9 to 21.1% (mean 15.5%) in 4 patients given a dose of 6 mg/kg.,[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),%,10.9 to 21.1,19681,DB00535,Cefdinir
,2283709,urinary excretion rates,The 8-hour urinary excretion rates were 16.0% to 21.3% (mean 17.4%) in 4 patients given a dose of 3 mg/kg and 10.9 to 21.1% (mean 15.5%) in 4 patients given a dose of 6 mg/kg.,[Clinical and pharmacokinetic evaluation of cefdinir in children]. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2283709/),%,15.5,19682,DB00535,Cefdinir
,23712418,run time,"Following a simple protein precipitation using methanol, chromatographic separation was achieved with a run time of 10 min using a Synergi 4 µ polar-RP 80A column (150 × 2.0 mm, 4 µm) with a mobile phase consisting of 0.1% formic acid in water and methanol (65:35, v/v) at a flow rate of 0.2 mL/min.",Determination of cefdinir levels in rat plasma and urine by high-performance liquid chromatography-tandem mass spectrometry: application to pharmacokinetics after oral and intravenous administration of cefdinir. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23712418/),min,10,23689,DB00535,Cefdinir
,23712418,flow rate,"Following a simple protein precipitation using methanol, chromatographic separation was achieved with a run time of 10 min using a Synergi 4 µ polar-RP 80A column (150 × 2.0 mm, 4 µm) with a mobile phase consisting of 0.1% formic acid in water and methanol (65:35, v/v) at a flow rate of 0.2 mL/min.",Determination of cefdinir levels in rat plasma and urine by high-performance liquid chromatography-tandem mass spectrometry: application to pharmacokinetics after oral and intravenous administration of cefdinir. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23712418/),[ml] / [min],0.2,23690,DB00535,Cefdinir
,1762170,peak plasma level,"After administration, the mean peak plasma level of CFDN was 0.76 micrograms/ml at 4 hours and the mean half-life was 1.77 hours.",[Laboratory and clinical studies of cefdinir 5% and 10% fine granules in pediatric field]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1762170/),[μg] / [ml],0.76,32711,DB00535,Cefdinir
,1762170,half-life,"After administration, the mean peak plasma level of CFDN was 0.76 micrograms/ml at 4 hours and the mean half-life was 1.77 hours.",[Laboratory and clinical studies of cefdinir 5% and 10% fine granules in pediatric field]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1762170/),h,1.77,32712,DB00535,Cefdinir
,1762170,urinary excretion rate,The mean urinary excretion rate of CFDN was 31.5% in the first 12 hours after oral administration.,[Laboratory and clinical studies of cefdinir 5% and 10% fine granules in pediatric field]. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1762170/),%,31.5,32713,DB00535,Cefdinir
,1762170,peak plasma level,After administration of 10% granules the mean peak plasma level of CFDN was 0.73 micrograms/ml at 2 hours and the mean half-life was 1.62 hours.,[Laboratory and clinical studies of cefdinir 5% and 10% fine granules in pediatric field]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1762170/),[μg] / [ml],0.73,32714,DB00535,Cefdinir
,1762170,half-life,After administration of 10% granules the mean peak plasma level of CFDN was 0.73 micrograms/ml at 2 hours and the mean half-life was 1.62 hours.,[Laboratory and clinical studies of cefdinir 5% and 10% fine granules in pediatric field]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1762170/),h,1.62,32715,DB00535,Cefdinir
