Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29105796,area under the curve (AUC),Celecoxib showed the highest area under the curve (AUC) [146.50 ± 2.75 μg/mL*h] of all NSAID's.,Penetration and pharmacokinetics of non-steroidal anti-inflammatory drugs in rat prostate tissue. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29105796/),[μg] / [h·ml],146.50,2654,DB00482,Celecoxib
,28906164,extraction recoveries,"The mean extraction recoveries across QC levels were within 91.4%, and the matrix effects were within 94.5%.",Comparative pharmacokinetics study of anastrozole after single administration and combination with celecoxib. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28906164/),%,91.4,4325,DB00482,Celecoxib
above,26281772,Recoveries,Recoveries were above 70% and no obvious matrix effects were observed.,Quantitation of celecoxib and four of its metabolites in rat blood by UPLC-MS/MS clarifies their blood distribution patterns and provides more accurate pharmacokinetics profiles. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26281772/),%,70,4626,DB00482,Celecoxib
<,11334356,run cycle-time,The run cycle-time is <4 min.,Liquid chromatographic-mass spectrometric determination of celecoxib in plasma using single-ion monitoring and its use in clinical pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11334356/),min,4,5124,DB00482,Celecoxib
,11334356,flow-rate,"The reconstituted solution of the residue was injected onto a Shim Pack GLC-CN, C18 column and chromatographed with a mobile phase comprised of acetonitrile-1% acetic acid solution (4:1) at a flow-rate of 1 ml/min.",Liquid chromatographic-mass spectrometric determination of celecoxib in plasma using single-ion monitoring and its use in clinical pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11334356/),[ml] / [min],1,5125,DB00482,Celecoxib
,11334356,relative recoveries,The relative recoveries of celecoxib from human plasma ranged from 102.4 to 103.3% indicating the suitability of the method for the extraction of celecoxib and I.S. from plasma samples.,Liquid chromatographic-mass spectrometric determination of celecoxib in plasma using single-ion monitoring and its use in clinical pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11334356/),%,102.4 to 103.3,5126,DB00482,Celecoxib
,22251657,drug loading capacity,"The results showed that FOMC has a high drug loading capacity (0.599 g/g, drug weight/carrier weight) and the dissolution rate of CEL from FOMC was much faster than pure crystalline CEL using buffer (pH 6.8) as a dissolution medium.",Inclusion of celecoxib into fibrous ordered mesoporous carbon for enhanced oral bioavailability and reduced gastric irritancy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22251657/),[g] / [g],0.599,5581,DB00482,Celecoxib
,25111199,time to progression,"A decrease in prostate-specific antigen ≥50% was observed in 82% of 39 evaluable patients, with a median time to progression of 12.3 months.",Docetaxel plus oral metronomic cyclophosphamide: a phase II study with pharmacodynamic and pharmacogenetic analyses in castration-resistant prostate cancer patients. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25111199/),month,12.3,7035,DB00482,Celecoxib
,25111199,PFS,"Median PFS and OS were 14.9 months (95% CI, 9.2-15.3 months) and 33.3 months (95% CI, 23-35.6 months), respectively.",Docetaxel plus oral metronomic cyclophosphamide: a phase II study with pharmacodynamic and pharmacogenetic analyses in castration-resistant prostate cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25111199/),month,14,7036,DB00482,Celecoxib
,25111199,OS,"Median PFS and OS were 14.9 months (95% CI, 9.2-15.3 months) and 33.3 months (95% CI, 23-35.6 months), respectively.",Docetaxel plus oral metronomic cyclophosphamide: a phase II study with pharmacodynamic and pharmacogenetic analyses in castration-resistant prostate cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25111199/),month,33,7037,DB00482,Celecoxib
