Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24916771,progression free survival,The median progression free survival was 106 days (range: 1-271).,A multicenter phase 1 study of PX-866 and cetuximab in patients with metastatic colorectal carcinoma or recurrent/metastatic squamous cell carcinoma of the head and neck. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24916771/),d,106,8209,DB00002,Cetuximab
,16061873,maximum inhibition,"At 0.04 mg, the maximum inhibition of phospho-EGFR was 53% at 24 hours, whereas the level of inhibition decreased to 37% by 72 hours.",Prediction of active drug plasma concentrations achieved in cancer patients by pharmacodynamic biomarkers identified from the geo human colon carcinoma xenograft model. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16061873/),%,53,12608,DB00002,Cetuximab
,29198065,t ½,Bioorthogonal reaction between tetrazine and trans-cyclooctene (TCO) was used for tracing cetuximab and trastuzumab in vivo with a fluorine-18 (t ½ = 109.8 min) labelled tracer.,Pretargeting of internalizing trastuzumab and cetuximab with a 18F-tetrazine tracer in xenograft models. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29198065/),min,109.8,26440,DB00002,Cetuximab
,29198065,lag time,"With cetuximab, the highest tumour-to-blood ratios were achieved when the lag time between antibody and tracer injections was 72 h.",Pretargeting of internalizing trastuzumab and cetuximab with a 18F-tetrazine tracer in xenograft models. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29198065/),h,72,26441,DB00002,Cetuximab
,29198065,tumour uptake,"For both antibodies, the tumour could be clearly visualized in the PET images with the highest tumour uptake of 3.7 ± 0.1%ID/g for cetuximab and 1.5 ± 0.1%ID/g for trastuzumab as quantified by ex vivo biodistribution.",Pretargeting of internalizing trastuzumab and cetuximab with a 18F-tetrazine tracer in xenograft models. ,Uptake Volume-Q9,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29198065/),[%id] / [g],3.7,26442,DB00002,Cetuximab
,29198065,tumour uptake,"For both antibodies, the tumour could be clearly visualized in the PET images with the highest tumour uptake of 3.7 ± 0.1%ID/g for cetuximab and 1.5 ± 0.1%ID/g for trastuzumab as quantified by ex vivo biodistribution.",Pretargeting of internalizing trastuzumab and cetuximab with a 18F-tetrazine tracer in xenograft models. ,Uptake Volume-Q9,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29198065/),[%id] / [g],1.5,26443,DB00002,Cetuximab
,23576486,survival times,"Median survival times were 10.1 and 7.4 months, respectively.",Approval summary: Cetuximab in combination with cisplatin or carboplatin and 5-fluorouracil for the first-line treatment of patients with recurrent locoregional or metastatic squamous cell head and neck cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23576486/),month,10.1,26668,DB00002,Cetuximab
,23576486,survival times,"Median survival times were 10.1 and 7.4 months, respectively.",Approval summary: Cetuximab in combination with cisplatin or carboplatin and 5-fluorouracil for the first-line treatment of patients with recurrent locoregional or metastatic squamous cell head and neck cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23576486/),month,7.4,26669,DB00002,Cetuximab
,23576486,PFS times,"Median PFS times were 5.5 and 3.3 months, respectively.",Approval summary: Cetuximab in combination with cisplatin or carboplatin and 5-fluorouracil for the first-line treatment of patients with recurrent locoregional or metastatic squamous cell head and neck cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23576486/),month,5.5,26670,DB00002,Cetuximab
,23576486,PFS times,"Median PFS times were 5.5 and 3.3 months, respectively.",Approval summary: Cetuximab in combination with cisplatin or carboplatin and 5-fluorouracil for the first-line treatment of patients with recurrent locoregional or metastatic squamous cell head and neck cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23576486/),month,3.3,26671,DB00002,Cetuximab
,23576486,Response rates,Response rates were 35.6% and 19.5% (odds ratio: 2.33; 95% CI: 1.50-3.60; p = .0001).,Approval summary: Cetuximab in combination with cisplatin or carboplatin and 5-fluorouracil for the first-line treatment of patients with recurrent locoregional or metastatic squamous cell head and neck cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23576486/),%,35.6,26672,DB00002,Cetuximab
,23576486,Response rates,Response rates were 35.6% and 19.5% (odds ratio: 2.33; 95% CI: 1.50-3.60; p = .0001).,Approval summary: Cetuximab in combination with cisplatin or carboplatin and 5-fluorouracil for the first-line treatment of patients with recurrent locoregional or metastatic squamous cell head and neck cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23576486/),%,19.5,26673,DB00002,Cetuximab
