Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12642962,t 1/2,"After administration, plasma concentrations of the radioactivity and SNI-2011 reached to Cmax at approximately 2 h, and then decreased with t 1/2 of 9 and 4 h, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),h,9,147520,DB00185,Cevimeline
,12642962,t 1/2,"After administration, plasma concentrations of the radioactivity and SNI-2011 reached to Cmax at approximately 2 h, and then decreased with t 1/2 of 9 and 4 h, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),h,4,147521,DB00185,Cevimeline
,12642962,recoveries,"The mean recoveries of the metabolites in urine at 24 h after administration were 16.0% for SNI-2011, 35.8% for SNI-2011 trans-sulfoxide (SNI-t-SO), 8.7% for SNI-2011 cis-sulfoxide, 4.1% for SNI-2011 N-oxide, furthermore, two unknown metabolites, UK-1 and UK-2, were detected 14.6% and 7.7%, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),%,16.0,147522,DB00185,Cevimeline
,12642962,recoveries,"The mean recoveries of the metabolites in urine at 24 h after administration were 16.0% for SNI-2011, 35.8% for SNI-2011 trans-sulfoxide (SNI-t-SO), 8.7% for SNI-2011 cis-sulfoxide, 4.1% for SNI-2011 N-oxide, furthermore, two unknown metabolites, UK-1 and UK-2, were detected 14.6% and 7.7%, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),%,35.8,147523,DB00185,Cevimeline
,12642962,recoveries,"The mean recoveries of the metabolites in urine at 24 h after administration were 16.0% for SNI-2011, 35.8% for SNI-2011 trans-sulfoxide (SNI-t-SO), 8.7% for SNI-2011 cis-sulfoxide, 4.1% for SNI-2011 N-oxide, furthermore, two unknown metabolites, UK-1 and UK-2, were detected 14.6% and 7.7%, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),%,8.7,147524,DB00185,Cevimeline
,12642962,recoveries,"The mean recoveries of the metabolites in urine at 24 h after administration were 16.0% for SNI-2011, 35.8% for SNI-2011 trans-sulfoxide (SNI-t-SO), 8.7% for SNI-2011 cis-sulfoxide, 4.1% for SNI-2011 N-oxide, furthermore, two unknown metabolites, UK-1 and UK-2, were detected 14.6% and 7.7%, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),%,4.1,147525,DB00185,Cevimeline
,12642962,recoveries,"The mean recoveries of the metabolites in urine at 24 h after administration were 16.0% for SNI-2011, 35.8% for SNI-2011 trans-sulfoxide (SNI-t-SO), 8.7% for SNI-2011 cis-sulfoxide, 4.1% for SNI-2011 N-oxide, furthermore, two unknown metabolites, UK-1 and UK-2, were detected 14.6% and 7.7%, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),%,14.6,147526,DB00185,Cevimeline
,12642962,recoveries,"The mean recoveries of the metabolites in urine at 24 h after administration were 16.0% for SNI-2011, 35.8% for SNI-2011 trans-sulfoxide (SNI-t-SO), 8.7% for SNI-2011 cis-sulfoxide, 4.1% for SNI-2011 N-oxide, furthermore, two unknown metabolites, UK-1 and UK-2, were detected 14.6% and 7.7%, respectively.","Pharmacokinetics and metabolism of radiolabelled SNI-2011, a novel muscarinic receptor agonist, in healthy volunteers. Comprehensive understanding of absorption, metabolism and excretion using radiolabelled SNI-2011. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12642962/),%,7.7,147527,DB00185,Cevimeline
,12608011,t1/2,"After oral administration, plasma concentrations of SNI-2011 reached to Cmax within 1 h in both species, suggesting that SNI-2011 was quickly absorbed, and then decreased with a t1/2 of 0.4-1.1 h.",Pharmacokinetics and metabolism of the novel muscarinic receptor agonist SNI-2011 in rats and dogs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12608011/),h,0.4-1.1,163043,DB00185,Cevimeline
,12608011,bioavailability,"The bioavailability was approximately 50% and 30% in rats and dogs, respectively.",Pharmacokinetics and metabolism of the novel muscarinic receptor agonist SNI-2011 in rats and dogs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12608011/),%,50,163044,DB00185,Cevimeline
