Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8157044,half life,"There was wide between-subject variability in half life (11.05 h), volume of distribution (1215 l), volume of distribution at steady state (642 l) and mean residence time (8.88 h), whereas systemic clearance was somewhat less variable (76.6 l.h-1).",Pharmacokinetics of chlorpromazine and key metabolites. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8157044/),h,11.05,2579,DB00477,Chlorpromazine
,8157044,volume of distribution,"There was wide between-subject variability in half life (11.05 h), volume of distribution (1215 l), volume of distribution at steady state (642 l) and mean residence time (8.88 h), whereas systemic clearance was somewhat less variable (76.6 l.h-1).",Pharmacokinetics of chlorpromazine and key metabolites. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8157044/),l,1215,2580,DB00477,Chlorpromazine
,8157044,volume of distribution at steady state,"There was wide between-subject variability in half life (11.05 h), volume of distribution (1215 l), volume of distribution at steady state (642 l) and mean residence time (8.88 h), whereas systemic clearance was somewhat less variable (76.6 l.h-1).",Pharmacokinetics of chlorpromazine and key metabolites. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8157044/),l,642,2581,DB00477,Chlorpromazine
,8157044,mean residence time,"There was wide between-subject variability in half life (11.05 h), volume of distribution (1215 l), volume of distribution at steady state (642 l) and mean residence time (8.88 h), whereas systemic clearance was somewhat less variable (76.6 l.h-1).",Pharmacokinetics of chlorpromazine and key metabolites. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8157044/),h,8.88,2582,DB00477,Chlorpromazine
,8157044,systemic clearance,"There was wide between-subject variability in half life (11.05 h), volume of distribution (1215 l), volume of distribution at steady state (642 l) and mean residence time (8.88 h), whereas systemic clearance was somewhat less variable (76.6 l.h-1).",Pharmacokinetics of chlorpromazine and key metabolites. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8157044/),[l] / [h],76.6,2583,DB00477,Chlorpromazine
,8583393,conversion ratio,"Closer scrutiny discloses a conversion ratio of parent compound to N-desmethyl metabolite of 1.1 for chlorpromazine and of 2.2 for chlorimipramine, indicating the greater efficiency of chlorimipramine metabolism in all compartments.","Rat tissue concentrations of chlorimipramine, chlorpromazine and their N-demethylated metabolites after a single oral dose of the parent compounds. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8583393/),,1.1,3139,DB00477,Chlorpromazine
,8583393,conversion ratio,"Closer scrutiny discloses a conversion ratio of parent compound to N-desmethyl metabolite of 1.1 for chlorpromazine and of 2.2 for chlorimipramine, indicating the greater efficiency of chlorimipramine metabolism in all compartments.","Rat tissue concentrations of chlorimipramine, chlorpromazine and their N-demethylated metabolites after a single oral dose of the parent compounds. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8583393/),,2.2,3140,DB00477,Chlorpromazine
,8583393,conversion index,The expected high conversion index found in the liver (2.3) reaches its maximum of 5.4 in the lung.,"Rat tissue concentrations of chlorimipramine, chlorpromazine and their N-demethylated metabolites after a single oral dose of the parent compounds. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8583393/),,2.3,3141,DB00477,Chlorpromazine
,8583393,conversion index,The expected high conversion index found in the liver (2.3) reaches its maximum of 5.4 in the lung.,"Rat tissue concentrations of chlorimipramine, chlorpromazine and their N-demethylated metabolites after a single oral dose of the parent compounds. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8583393/),,5.4,3142,DB00477,Chlorpromazine
,25996834,oral bioavailability,"Darunavir is effective against wild-type and PI-resistant HIV, and has an oral bioavailability of 37%.",In-vivo bioavailability and lymphatic uptake evaluation of lipid nanoparticulates of darunavir. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25996834/),%,37,16839,DB00477,Chlorpromazine
,25996834,bioavailability,"It needs to be combined with ritonavir, which increases the bioavailability to 82%.",In-vivo bioavailability and lymphatic uptake evaluation of lipid nanoparticulates of darunavir. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25996834/),%,82,16840,DB00477,Chlorpromazine
,25996834,apparent permeability,Ex-vivo apparent permeability of the freeze-dried SLN across everted rat intestine was 24 × 10-6 at 37 °C and 5.6 × 10-6 at 4 °C.,In-vivo bioavailability and lymphatic uptake evaluation of lipid nanoparticulates of darunavir. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25996834/),,24 × 10-6,16841,DB00477,Chlorpromazine
,25996834,apparent permeability,Ex-vivo apparent permeability of the freeze-dried SLN across everted rat intestine was 24 × 10-6 at 37 °C and 5.6 × 10-6 at 4 °C.,In-vivo bioavailability and lymphatic uptake evaluation of lipid nanoparticulates of darunavir. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25996834/),,5.6 × 10-6,16842,DB00477,Chlorpromazine
,25996834,AUC,"In-vivo pharmacokinetic studies on rats demonstrated increase in the AUC of SLN (26) as compared to that of marketed tablet (13.22), while the presence of lymphatic uptake inhibitor cycloheximide lowered the AUC of SLN to 17.19 which further led credence to the involvement of lymphatic uptake behind improved bioavailability.",In-vivo bioavailability and lymphatic uptake evaluation of lipid nanoparticulates of darunavir. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25996834/),,17.19,16843,DB00477,Chlorpromazine
,6748379,detection limit,The detection limit of CPZ was 0.5 ng for one chromatographic injection.,Determination of chlorpromazine in the blood and brain of mice by high performance liquid chromatography combined with electrochemical detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6748379/),ng,0.5,22000,DB00477,Chlorpromazine
,6748379,biological half life,"The biological half life was estimated to be 87 and 65 min, in the blood and brain, respectively.",Determination of chlorpromazine in the blood and brain of mice by high performance liquid chromatography combined with electrochemical detection. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6748379/),min,87,22001,DB00477,Chlorpromazine
,6748379,biological half life,"The biological half life was estimated to be 87 and 65 min, in the blood and brain, respectively.",Determination of chlorpromazine in the blood and brain of mice by high performance liquid chromatography combined with electrochemical detection. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6748379/),min,65,22002,DB00477,Chlorpromazine
,849674,biologic availability,"The biologic availability of single oral doses relative to single intramuscular doses ranged from 10 to 69%, and was on average 32%.",Pharmacokinetics of chlorpromazine after single and chronic dosage. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/849674/),%,10 to 69,25910,DB00477,Chlorpromazine
,849674,biologic availability,"The biologic availability of single oral doses relative to single intramuscular doses ranged from 10 to 69%, and was on average 32%.",Pharmacokinetics of chlorpromazine after single and chronic dosage. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/849674/),%,32,25911,DB00477,Chlorpromazine
,8147942,absolute bioavailability,"the distribution-free confidence intervals for the absolute bioavailability of the three phenothiazines were within 10.5 to 24.7% for chlorpromazine, 7.8 to 24.9% for promazine and 12.3 to 40% for promethazine.","[Absolute bioavailability of chlorpromazine, promazine and promethazine]. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8147942/),%,10.5 to 24.7,26022,DB00477,Chlorpromazine
,8147942,absolute bioavailability,"the distribution-free confidence intervals for the absolute bioavailability of the three phenothiazines were within 10.5 to 24.7% for chlorpromazine, 7.8 to 24.9% for promazine and 12.3 to 40% for promethazine.","[Absolute bioavailability of chlorpromazine, promazine and promethazine]. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8147942/),%,7.8 to 24.9,26023,DB00477,Chlorpromazine
