Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15031600,"peak plasma 1,25-D(3) concentrations (Cp(max))","After 0.125 and 0.5 microg dosing, peak plasma 1,25-D(3) concentrations (Cp(max)) were 12.0 ng/ml (CI 95%, 10.8-12.6) and 41.6 ng/ml (CI 95%, 40.8-53.6), respectively.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[ng] / [ml],12.0,664,DB00169,Cholecalciferol
,15031600,"peak plasma 1,25-D(3) concentrations (Cp(max))","After 0.125 and 0.5 microg dosing, peak plasma 1,25-D(3) concentrations (Cp(max)) were 12.0 ng/ml (CI 95%, 10.8-12.6) and 41.6 ng/ml (CI 95%, 40.8-53.6), respectively.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[ng] / [ml],41.6,665,DB00169,Cholecalciferol
,15031600,areas under the curve (AUC(0->24 h)),"The corresponding areas under the curve (AUC(0->24 h)) were 47.0 (CI 95%, 43.2-51.1) and 128.0 (CI 95%, 127.0-130.0) ng.h/ml.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[h·ng] / [ml],47.0,666,DB00169,Cholecalciferol
,15031600,areas under the curve (AUC(0->24 h)),"The corresponding areas under the curve (AUC(0->24 h)) were 47.0 (CI 95%, 43.2-51.1) and 128.0 (CI 95%, 127.0-130.0) ng.h/ml.","Pharmacokinetics of 1alpha,25-dihydroxyvitamin D3 in normal mice after systemic exposure to effective and safe antitumor doses. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15031600/),[h·ng] / [ml],128.0,667,DB00169,Cholecalciferol
,17317832,C(max),Mean (+/-SD) serum calcitriol C(max) at the MTD was 6.68 +/- 1.42 ng/mL.,A phase I pharmacokinetic and pharmacodynamic study of intravenous calcitriol in combination with oral gefitinib in patients with advanced solid tumors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17317832/),[ng] / [ml],6.68,5382,DB00169,Cholecalciferol
,3631255,metabolic clearance rate,"By use of this technique we found that the metabolic clearance rate of 1,25-dihydroxyvitamin D3 in dogs was 6.3 +/- 1.2 ml/min (mean +/- SD); the production rate of the hormone was 0.40 +/- 0.25 microgram/day (20.4 +/- 14.4 ng . kg-1 . day-1).","A primed-infusion technique for rapid estimation of the metabolic clearance rate of 1,25(OH)2D3. ",CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3631255/),[ml] / [min],6.3,5713,DB00169,Cholecalciferol
,3631255,production rate,"By use of this technique we found that the metabolic clearance rate of 1,25-dihydroxyvitamin D3 in dogs was 6.3 +/- 1.2 ml/min (mean +/- SD); the production rate of the hormone was 0.40 +/- 0.25 microgram/day (20.4 +/- 14.4 ng . kg-1 . day-1).","A primed-infusion technique for rapid estimation of the metabolic clearance rate of 1,25(OH)2D3. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3631255/),[μg] / [d],0.40,5714,DB00169,Cholecalciferol
,3631255,production rate,"By use of this technique we found that the metabolic clearance rate of 1,25-dihydroxyvitamin D3 in dogs was 6.3 +/- 1.2 ml/min (mean +/- SD); the production rate of the hormone was 0.40 +/- 0.25 microgram/day (20.4 +/- 14.4 ng . kg-1 . day-1).","A primed-infusion technique for rapid estimation of the metabolic clearance rate of 1,25(OH)2D3. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3631255/),[ng] / [d·kg],20.4,5715,DB00169,Cholecalciferol
,3631255,metabolic clearance rate,"In eight normal women, aged 28-51 yr, the metabolic clearance rate for 1,25-dihydroxyvitamin D3 was 25.9 +/- 4.7 ml/min; the production rate was 1.38 +/- 0.45 microgram/day (20.7 ng . kg-1 . day-1).","A primed-infusion technique for rapid estimation of the metabolic clearance rate of 1,25(OH)2D3. ",CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3631255/),[ml] / [min],25.9,5716,DB00169,Cholecalciferol
,3631255,production rate,"In eight normal women, aged 28-51 yr, the metabolic clearance rate for 1,25-dihydroxyvitamin D3 was 25.9 +/- 4.7 ml/min; the production rate was 1.38 +/- 0.45 microgram/day (20.7 ng . kg-1 . day-1).","A primed-infusion technique for rapid estimation of the metabolic clearance rate of 1,25(OH)2D3. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3631255/),[μg] / [d],1.38,5717,DB00169,Cholecalciferol
