Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,20110752,maximum concentration,The maximum concentration of 12 h indicated a slow absorption and excretion.,"Absorption, distribution, metabolism and excretion of corifollitropin alfa, a recombinant hormone with a sustained follicle-stimulating activity. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20110752/),h,12,324,DB00097,Choriogonadotropin alfa
,18684735,number,"On Day 8, the mean (standard deviation) number of follicles >or=11 mm was 6.8 (4.4), 10.1 (6.1) and 12.8 (7.5), respectively.",A randomized dose-response trial of a single injection of corifollitropin alfa to sustain multifollicular growth during controlled ovarian stimulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18684735/),,6.8,14531,DB00097,Choriogonadotropin alfa
,18684735,number,"On Day 8, the mean (standard deviation) number of follicles >or=11 mm was 6.8 (4.4), 10.1 (6.1) and 12.8 (7.5), respectively.",A randomized dose-response trial of a single injection of corifollitropin alfa to sustain multifollicular growth during controlled ovarian stimulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18684735/),,10.1,14532,DB00097,Choriogonadotropin alfa
,18684735,number,"On Day 8, the mean (standard deviation) number of follicles >or=11 mm was 6.8 (4.4), 10.1 (6.1) and 12.8 (7.5), respectively.",A randomized dose-response trial of a single injection of corifollitropin alfa to sustain multifollicular growth during controlled ovarian stimulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18684735/),,12.8,14533,DB00097,Choriogonadotropin alfa
,33982429,apparent clearance (CL/F),"The apparent clearance (CL/F) was ~ 0.5 L/h, the mean terminal half-life (t½ ) ~ 45 h and the apparent distribution volume (Vz /F) ~ 30 L.",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),[l] / [h],0.5,17453,DB00097,Choriogonadotropin alfa
,33982429,terminal half-life (t½ ),"The apparent clearance (CL/F) was ~ 0.5 L/h, the mean terminal half-life (t½ ) ~ 45 h and the apparent distribution volume (Vz /F) ~ 30 L.",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),h,45,17454,DB00097,Choriogonadotropin alfa
,33982429,apparent distribution volume (Vz /F),"The apparent clearance (CL/F) was ~ 0.5 L/h, the mean terminal half-life (t½ ) ~ 45 h and the apparent distribution volume (Vz /F) ~ 30 L.",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),l,30,17455,DB00097,Choriogonadotropin alfa
,33982429,CL/F,"In accordance with the differences in AUC, the CL/F was lower for CG beta (CL/F 0.5 vs. 0.8 L/h), explained by a longer t½ (47 vs. 32 h).",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),[l] / [h],0.5,17456,DB00097,Choriogonadotropin alfa
,33982429,CL/F,"In accordance with the differences in AUC, the CL/F was lower for CG beta (CL/F 0.5 vs. 0.8 L/h), explained by a longer t½ (47 vs. 32 h).",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),[l] / [h],0.8,17457,DB00097,Choriogonadotropin alfa
,33982429,t½,"In accordance with the differences in AUC, the CL/F was lower for CG beta (CL/F 0.5 vs. 0.8 L/h), explained by a longer t½ (47 vs. 32 h).",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),h,47,17458,DB00097,Choriogonadotropin alfa
,33982429,t½,"In accordance with the differences in AUC, the CL/F was lower for CG beta (CL/F 0.5 vs. 0.8 L/h), explained by a longer t½ (47 vs. 32 h).",First-in-human trial assessing the pharmacokinetic-pharmacodynamic profile of a novel recombinant human chorionic gonadotropin in healthy women and men of reproductive age. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33982429/),h,32,17459,DB00097,Choriogonadotropin alfa
,21115001,circulating half-life,"From pharmacokinetic studies, circulating half-life of corifollitropin alfa was calculated to be 17.3h in rats and 46.9h in dogs, 1.5- to 2-fold longer than recombinant FSH.","Pharmacologic profiling of corifollitropin alfa, the first developed sustained follicle stimulant. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21115001/),h,17.3,86524,DB00097,Choriogonadotropin alfa
,21115001,circulating half-life,"From pharmacokinetic studies, circulating half-life of corifollitropin alfa was calculated to be 17.3h in rats and 46.9h in dogs, 1.5- to 2-fold longer than recombinant FSH.","Pharmacologic profiling of corifollitropin alfa, the first developed sustained follicle stimulant. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21115001/),h,46.9,86525,DB00097,Choriogonadotropin alfa
