Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26348083,50% inhibitory concentration (IC(50)),Cilostazol inhibited CYP2C9 activity in a concentration-dependent manner with 50% inhibitory concentration (IC(50)) of 8.7 μM.,Effects of cilostazol on the pharmacokinetics of carvedilol after oral and intravenous administration in rats. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26348083/),μM,8.7,1794,DB01166,Cilostazol
,23594300,maximum percent cumulative drug release,"The maximum percent cumulative drug release of the two CLT/silica solid dispersion (CLT-MCM-48 and CLT-MCM-41) was 63.41% and 85.78% within 60 min, respectively; while in the subsequent 12 h release experiment, almost 100% cumulative drug release were both obtained.",The investigation of MCM-48-type and MCM-41-type mesoporous silica as oral solid dispersion carriers for water insoluble cilostazol. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23594300/),%,63.41,4872,DB01166,Cilostazol
,23594300,maximum percent cumulative drug release,"The maximum percent cumulative drug release of the two CLT/silica solid dispersion (CLT-MCM-48 and CLT-MCM-41) was 63.41% and 85.78% within 60 min, respectively; while in the subsequent 12 h release experiment, almost 100% cumulative drug release were both obtained.",The investigation of MCM-48-type and MCM-41-type mesoporous silica as oral solid dispersion carriers for water insoluble cilostazol. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23594300/),%,85.78,4873,DB01166,Cilostazol
,23594300,maximum plasma concentrations,"In the pharmacokinetics aspect, the maximum plasma concentrations of CLT-MCM-48 reached 3.63 mg/L by 0.92 h.",The investigation of MCM-48-type and MCM-41-type mesoporous silica as oral solid dispersion carriers for water insoluble cilostazol. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23594300/),[mg] / [l],3.63,4874,DB01166,Cilostazol
,26185423,AUC T (96-120 hours),"The mean (standard deviation [SD]) AUC T (96-120 hours) values for SR and IR were 27,378.0 (10,301.6) ng·h/mL and 27,860.3 (7,152.3) ng·h/mL, respectively.",Pharmacokinetic comparison of sustained- and immediate-release formulations of cilostazol after multiple oral doses in fed healthy male Korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26185423/),[h·ng] / [ml],"27,378.0",18918,DB01166,Cilostazol
,26185423,AUC T (96-120 hours),"The mean (standard deviation [SD]) AUC T (96-120 hours) values for SR and IR were 27,378.0 (10,301.6) ng·h/mL and 27,860.3 (7,152.3) ng·h/mL, respectively.",Pharmacokinetic comparison of sustained- and immediate-release formulations of cilostazol after multiple oral doses in fed healthy male Korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26185423/),[h·ng] / [ml],"27,860.3",18919,DB01166,Cilostazol
,26185423,"C max,ss","The mean (SD) C max,ss values were 2,741.4 (836.0) ng/mL and 2,051.0 (433.2) ng/mL, respectively.",Pharmacokinetic comparison of sustained- and immediate-release formulations of cilostazol after multiple oral doses in fed healthy male Korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26185423/),[ng] / [ml],"2,741.4",18920,DB01166,Cilostazol
,26185423,"C max,ss","The mean (SD) C max,ss values were 2,741.4 (836.0) ng/mL and 2,051.0 (433.2) ng/mL, respectively.",Pharmacokinetic comparison of sustained- and immediate-release formulations of cilostazol after multiple oral doses in fed healthy male Korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26185423/),[ng] / [ml],"2,051.0",18921,DB01166,Cilostazol
,26185423,"t max,ss","The median t max,ss values were 8.0 hours and 4.0 hours, respectively.",Pharmacokinetic comparison of sustained- and immediate-release formulations of cilostazol after multiple oral doses in fed healthy male Korean volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26185423/),h,8.0,18922,DB01166,Cilostazol
,26185423,"t max,ss","The median t max,ss values were 8.0 hours and 4.0 hours, respectively.",Pharmacokinetic comparison of sustained- and immediate-release formulations of cilostazol after multiple oral doses in fed healthy male Korean volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26185423/),h,4.0,18923,DB01166,Cilostazol
