Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26165421,half-life,CNZ is characterized by short half-life (3-6 h).,Utilization of ionotropic gelation technique for bioavailability enhancement of cinnarizine: in-vitro optimization and in-vivo performance in human. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26165421/),h,3-6,37723,DB00568,Cinnarizine
,7616366,t1/2,Cinnarizine pharmacokinetics after iv administration as a 1.25 mg/mL SBE4-beta-CD solution followed triexponential behavior (t1/2 = 12.6 +/- 0.4 h and CI = 1.4 +/- 0.17 L/h/kg).,"beta-cyclodextrin derivatives, SBE4-beta-CD and HP-beta-CD, increase the oral bioavailability of cinnarizine in beagle dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7616366/),h,12.6,58177,DB00568,Cinnarizine
,7616366,CI,Cinnarizine pharmacokinetics after iv administration as a 1.25 mg/mL SBE4-beta-CD solution followed triexponential behavior (t1/2 = 12.6 +/- 0.4 h and CI = 1.4 +/- 0.17 L/h/kg).,"beta-cyclodextrin derivatives, SBE4-beta-CD and HP-beta-CD, increase the oral bioavailability of cinnarizine in beagle dogs. ",Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7616366/),[l] / [h·kg],1.4,58178,DB00568,Cinnarizine
,7616366,Fabs,A very low bioavailability of cinnarizine with a wide interanimal variation was observed after oral administration as a suspension (Fabs = 8 +/- 4%) or capsule containing only cinnarizine (Fabs = 0.8 +/- 0.4%).,"beta-cyclodextrin derivatives, SBE4-beta-CD and HP-beta-CD, increase the oral bioavailability of cinnarizine in beagle dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7616366/),%,8,58179,DB00568,Cinnarizine
,7616366,Fabs,A very low bioavailability of cinnarizine with a wide interanimal variation was observed after oral administration as a suspension (Fabs = 8 +/- 4%) or capsule containing only cinnarizine (Fabs = 0.8 +/- 0.4%).,"beta-cyclodextrin derivatives, SBE4-beta-CD and HP-beta-CD, increase the oral bioavailability of cinnarizine in beagle dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7616366/),%,0.8,58180,DB00568,Cinnarizine
,7616366,Fabs,Administration of cinnarizine as a CD complex either as a solution (Fabs = 55-60%) or in a capsule (Fabs = 38 +/- 12%) significantly enhanced the bioavailability.,"beta-cyclodextrin derivatives, SBE4-beta-CD and HP-beta-CD, increase the oral bioavailability of cinnarizine in beagle dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7616366/),%,55-60,58181,DB00568,Cinnarizine
,7616366,Fabs,Administration of cinnarizine as a CD complex either as a solution (Fabs = 55-60%) or in a capsule (Fabs = 38 +/- 12%) significantly enhanced the bioavailability.,"beta-cyclodextrin derivatives, SBE4-beta-CD and HP-beta-CD, increase the oral bioavailability of cinnarizine in beagle dogs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7616366/),%,38,58182,DB00568,Cinnarizine
,20636873,oral bioavailability,"The oral bioavailability of cinnarizine using the PHY formulation was 41%, compared to 19% for the GMO formulation and 6% for an aqueous suspension.",Phytantriol and glyceryl monooleate cubic liquid crystalline phases as sustained-release oral drug delivery systems for poorly water-soluble drugs II. In-vivo evaluation. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20636873/),%,41,58438,DB00568,Cinnarizine
,20636873,oral bioavailability,"The oral bioavailability of cinnarizine using the PHY formulation was 41%, compared to 19% for the GMO formulation and 6% for an aqueous suspension.",Phytantriol and glyceryl monooleate cubic liquid crystalline phases as sustained-release oral drug delivery systems for poorly water-soluble drugs II. In-vivo evaluation. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20636873/),%,19,58439,DB00568,Cinnarizine
,20636873,oral bioavailability,"The oral bioavailability of cinnarizine using the PHY formulation was 41%, compared to 19% for the GMO formulation and 6% for an aqueous suspension.",Phytantriol and glyceryl monooleate cubic liquid crystalline phases as sustained-release oral drug delivery systems for poorly water-soluble drugs II. In-vivo evaluation. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20636873/),%,6,58440,DB00568,Cinnarizine
